date,airport,seaport,not_specified
2020-01-01,150759,4863,98
2020-01-02,142820,4924,47
2020-01-03,137484,6089,75
2020-01-04,135505,4858,119
2020-01-05,148811,6573,132
2020-01-06,131114,3864,70
2020-01-07,117730,5319,93
2020-01-08,115749,3450,64
2020-01-09,126525,3930,92
2020-01-10,146158,6889,142
2020-01-11,140258,7658,150
2020-01-12,146816,7252,130
2020-01-13,135352,4234,144
2020-01-14,133405,5685,116
2020-01-15,137976,9610,93
2020-01-16,143906,4950,144
2020-01-17,157899,7617,95
2020-01-18,159895,7207,141
2020-01-19,157013,9197,140
2020-01-20,149034,7286,168
2020-01-21,159681,9484,190
2020-01-22,173803,5720,148
2020-01-23,174880,4073,153
2020-01-24,151064,4315,55
2020-01-25,135986,1419,49
2020-01-26,142477,4898,145
2020-01-27,154484,1770,241
2020-01-28,161875,1741,79
2020-01-29,166409,4942,43
2020-01-30,145455,2087,51
2020-01-31,139792,9880,46
2020-02-01,138072,1182,19
2020-02-02,144662,3905,44
2020-02-03,125720,3060,23
2020-02-04,116293,7400,17
2020-02-05,111815,2079,23
2020-02-06,103543,621,0
2020-02-07,99046,615,0
2020-02-08,97985,2515,3
2020-02-09,104110,942,4
2020-02-10,88717,117,0
2020-02-11,79324,148,0
2020-02-12,71680,155,0
2020-02-13,66751,126,0
2020-02-14,64493,125,0
2020-02-15,64908,70,0
2020-02-16,63937,77,0
2020-02-17,57045,56,0
2020-02-18,52287,143,0
2020-02-19,47718,227,0
2020-02-20,45543,178,0
2020-02-21,45212,131,0
2020-02-22,43194,93,0
2020-02-23,44352,62,0
2020-02-24,38978,165,0
2020-02-25,34669,164,0
2020-02-26,30804,183,0
2020-02-27,28261,127,0
2020-02-28,29676,108,0
2020-02-29,28594,113,0
2020-03-01,31101,59,0
2020-03-02,24905,92,0
2020-03-03,23201,143,0
2020-03-04,20998,135,0
2020-03-05,19823,107,0
2020-03-06,19445,137,0
2020-03-07,18953,73,0
2020-03-08,21149,72,0
2020-03-09,17135,165,0
2020-03-10,17293,79,0
2020-03-11,15776,169,0
2020-03-12,15373,159,0
2020-03-13,14855,139,0
2020-03-14,16340,103,0
2020-03-15,18941,97,0
2020-03-16,14985,114,0
