date,moving_avg,airport,seaport,not_specified
2020-01-01,10611.4286,72215,2013,52
2020-01-02,20642.2857,67356,2839,21
2020-01-03,30233.7143,64392,2720,28
2020-01-04,39866.0,64955,2418,53
2020-01-05,50350.0,69684,3617,87
2020-01-06,59513.2857,62125,1979,39
2020-01-07,68448.0,60323,2162,58
2020-01-08,67278.7143,63983,2075,37
2020-01-09,68532.2857,76336,2592,63
2020-01-10,72037.8571,86684,4892,103
2020-01-11,72243.4286,65439,3391,35
2020-01-12,70101.5714,55970,2412,13
2020-01-13,68429.2857,50743,1645,49
2020-01-14,67443.2857,53168,2427,46
2020-01-15,67270.7143,59950,4886,51
2020-01-16,65907.5714,66569,2801,79
2020-01-17,64109.2857,75638,3423,30
2020-01-18,65782.5714,76891,3645,42
2020-01-19,68905.2857,75698,4513,43
2020-01-20,72494.4286,73381,4120,60
2020-01-21,76087.7143,76347,4415,32
2020-01-22,79394.2857,85035,2964,34
2020-01-23,81933.1429,84995,2206,20
2020-01-24,81473.7143,73563,2303,9
2020-01-25,78904.8571,61837,739,20
2020-01-26,77300.2857,66432,2472,118
2020-01-27,77010.5714,74284,1029,220
2020-01-28,77242.1429,81193,1160,62
2020-01-29,77307.2857,85608,2852,29
2020-01-30,75399.8571,72666,1168,35
2020-01-31,75217.8571,69385,5180,36
2020-02-01,76584.0,71376,767,16
2020-02-02,77874.4286,75871,2150,34
2020-02-03,76859.7143,65640,2768,22
2020-02-04,74531.4286,62644,3459,14
2020-02-05,70657.2857,61039,308,23
2020-02-06,68380.4286,57617,314,0
2020-02-07,65542.8571,54404,334,0
2020-02-08,63489.7143,55744,2043,0
2020-02-09,60924.1429,59602,494,0
2020-02-10,58400.2857,50710,53,0
2020-02-11,55278.1429,44203,59,0
2020-02-12,52213.5714,39850,68,0
2020-02-13,49262.5714,37214,60,0
2020-02-14,46412.2857,34724,62,0
2020-02-15,43331.4286,36205,16,0
2020-02-16,39791.4286,35287,29,0
2020-02-17,37005.4286,31245,16,0
2020-02-18,34928.8571,29685,41,0
2020-02-19,33002.7143,26364,71,0
2020-02-20,31240.7143,24881,59,0
2020-02-21,29732.0,24169,56,0
2020-02-22,28070.7143,24584,8,0
2020-02-23,26506.2857,24354,11,0
2020-02-24,24601.7143,17886,43,0
2020-02-25,22771.8571,16840,77,0
2020-02-26,21198.8571,15385,39,0
2020-02-27,19652.0,14071,41,0
2020-02-28,18306.2857,14780,25,0
2020-02-29,17104.7143,16141,40,0
2020-03-01,15954.0,16276,34,0
2020-03-02,15147.5714,12253,31,0
2020-03-03,14420.4286,11777,50,0
2020-03-04,13649.2857,9969,57,0
2020-03-05,12960.5714,9248,43,0
2020-03-06,12111.0,8798,60,0
2020-03-07,11157.1429,9471,33,0
2020-03-08,10355.5714,10680,19,0
2020-03-09,9753.8571,8017,55,0
2020-03-10,9216.4286,8034,31,0
2020-03-11,8867.1429,7537,44,0
2020-03-12,8640.1429,7622,80,0
2020-03-13,8453.2857,7495,55,0
2020-03-14,8420.8571,9239,38,0
2020-03-15,8433.1429,10735,50,0
2020-03-16,8464.8571,8266,28,0
2020-03-17,8516.0,8361,62,0
2020-03-18,8648.4286,8446,62,0
2020-03-19,8478.2857,6501,10,0
2020-03-20,8200.7143,5600,7,0
2020-03-21,7584.7143,4951,14,0
2020-03-22,6674.4286,4400,13,0
2020-03-23,5919.0,3005,1,0
2020-03-24,5142.2857,2980,6,0
2020-03-25,4323.4286,2771,5,0
2020-03-26,3792.1429,2784,8,0
2020-03-27,3320.1429,2287,16,0
2020-03-28,2885.4286,1913,9,0
2020-03-29,2506.5714,1750,11,0
2020-03-30,2357.0,1951,8,0
2020-03-31,2187.4286,1787,11,1
2020-04-01,2017.7143,1585,3,0
2020-04-02,1815.1429,1359,15,0
2020-04-03,1631.7143,1008,11,0
2020-04-04,1447.0,625,4,0
2020-04-05,1355.5714,1117,4,0
2020-04-06,1176.5714,696,10,0
2020-04-07,1019.5714,694,6,0
2020-04-08,886.0,647,6,0
2020-04-09,787.0,680,1,0
2020-04-10,765.2857,862,5,0
2020-04-11,787.4286,770,14,0
2020-04-12,807.5714,1259,3,0
2020-04-13,792.7143,599,3,0
2020-04-14,745.7143,369,2,0
2020-04-15,763.4286,772,5,0
2020-04-16,759.4286,651,2,0
2020-04-17,757.1429,850,1,0
2020-04-18,747.1429,697,17,0
2020-04-19,665.2857,686,3,0
2020-04-20,717.5714,965,3,0
2020-04-21,746.2857,563,9,0
2020-04-22,732.8571,662,21,0
2020-04-23,727.2857,604,10,0
2020-04-24,675.8571,484,7,0
2020-04-25,618.1429,295,15,0
2020-04-26,641.4286,852,0,0
2020-04-27,533.7143,206,8,0
2020-04-28,494.7143,290,9,0
2020-04-29,509.0,781,2,0
2020-04-30,533.4286,778,7,0
2020-05-01,643.1429,1252,7,0
2020-05-02,743.1429,999,11,0
2020-05-03,768.8571,1030,2,0
2020-05-04,844.5714,739,5,0
2020-05-05,844.5714,257,42,0
2020-05-06,861.7143,896,7,0
2020-05-07,835.1429,585,14,0
2020-05-08,730.0,519,4,0
2020-05-09,668.0,569,7,0
2020-05-10,685.0,1148,3,0
2020-05-11,657.0,539,9,0
2020-05-12,643.4286,200,4,0
2020-05-13,623.8571,761,5,0
2020-05-14,662.4286,855,14,0
2020-05-15,701.1429,784,10,0
2020-05-16,739.7143,827,19,0
2020-05-17,722.2857,1018,11,0
2020-05-18,725.8571,564,9,0
2020-05-19,726.4286,198,10,0
2020-05-20,794.2857,1234,7,0
2020-05-21,760.7143,627,7,0
2020-05-22,750.0,708,11,0
2020-05-23,681.8571,360,9,0
2020-05-24,672.4286,943,20,0
2020-05-25,653.2857,434,5,0
2020-05-26,667.8571,302,8,0
2020-05-27,601.5714,772,5,0
2020-05-28,614.8571,711,16,0
2020-05-29,642.7143,907,7,0
2020-05-30,669.5714,541,16,0
2020-05-31,689.0,1097,2,0
2020-06-01,763.2857,950,9,0
2020-06-02,820.1429,687,21,0
2020-06-03,904.8571,1362,8,0
2020-06-04,966.2857,1146,11,0
2020-06-05,981.1429,1003,15,0
2020-06-06,1000.2857,666,25,0
2020-06-07,1063.0,1529,9,0
2020-06-08,1114.0,1300,16,0
2020-06-09,1091.7143,490,62,0
2020-06-10,1108.7143,1482,7,0
2020-06-11,1069.7143,852,32,0
2020-06-12,1035.7143,747,33,0
2020-06-13,1067.2857,905,7,0
2020-06-14,1051.1429,1418,7,0
2020-06-15,986.8571,847,19,0
2020-06-16,1003.4286,653,15,0
2020-06-17,1026.8571,1644,9,0
2020-06-18,976.5714,522,10,0
2020-06-19,1009.0,1004,3,0
2020-06-20,1006.1429,863,29,0
2020-06-21,953.1429,1013,41,0
2020-06-22,1047.1429,1506,18,0
2020-06-23,1032.4286,556,9,0
2020-06-24,1002.0,1424,16,0
2020-06-25,1006.7143,560,5,0
2020-06-26,984.5714,849,3,0
2020-06-27,1003.4286,1019,5,0
2020-06-28,1042.1429,1319,6,0
2020-06-29,929.7143,700,37,0
2020-06-30,955.2857,692,52,0
2020-07-01,978.0,1580,19,0
2020-07-02,1091.1429,1328,29,0
2020-07-03,1241.2857,1880,23,0
2020-07-04,1257.8571,1131,9,0
2020-07-05,1407.2857,2369,2,0
2020-07-06,1444.8571,997,3,0
2020-07-07,1464.2857,872,8,0
2020-07-08,1450.8571,1486,19,0
2020-07-09,1425.5714,1171,9,0
2020-07-10,1359.0,1419,18,0
2020-07-11,1352.7143,1085,11,0
2020-07-12,1307.1429,2049,3,0
2020-07-13,1294.8571,896,18,0
2020-07-14,1271.8571,707,12,0
2020-07-15,1261.0,1419,10,0
2020-07-16,1260.4286,1142,34,0
2020-07-17,1291.0,1617,34,0
2020-07-18,1275.2857,963,23,0
2020-07-19,1281.1429,2084,9,0
2020-07-20,1314.0,1098,46,0
2020-07-21,1311.7143,672,31,0
2020-07-22,1287.0,1249,7,0
2020-07-23,1288.8571,1169,20,0
2020-07-24,1221.0,1155,21,0
2020-07-25,1162.8571,560,19,0
2020-07-26,1175.1429,2176,3,0
2020-07-27,1135.0,833,30,0
2020-07-28,1134.1429,670,27,0
2020-07-29,1162.5714,1429,26,0
2020-07-30,1171.1429,1226,23,0
2020-07-31,1242.1429,1657,16,0
2020-08-01,1275.7143,801,13,0
2020-08-02,1335.4286,2589,8,0
2020-08-03,1349.1429,953,6,0
2020-08-04,1391.1429,968,23,0
2020-08-05,1470.4286,1976,34,0
2020-08-06,1490.5714,1368,22,0
2020-08-07,1589.5714,2338,28,0
2020-08-08,1551.2857,535,11,0
2020-08-09,1554.5714,2618,2,0
2020-08-10,1525.7143,736,21,0
2020-08-11,1498.0,790,7,0
2020-08-12,1441.7143,1597,19,0
2020-08-13,1439.4286,1340,34,0
2020-08-14,1403.0,2088,23,0
2020-08-15,1406.8571,554,19,0
2020-08-16,1458.7143,2962,21,0
2020-08-17,1484.8571,927,13,0
2020-08-18,1481.7143,761,14,0
2020-08-19,1499.7143,1730,12,0
2020-08-20,1552.2857,1670,72,0
2020-08-21,1533.4286,1952,27,0
2020-08-22,1530.8571,510,45,0
2020-08-23,1497.7143,2745,6,0
2020-08-24,1485.2857,831,22,0
2020-08-25,1491.5714,796,23,0
2020-08-26,1555.4286,2080,109,0
2020-08-27,1503.1429,1345,31,0
2020-08-28,1537.4286,2192,27,0
2020-08-29,1555.0,675,3,0
2020-08-30,1588.2857,2965,19,0
2020-08-31,1641.1429,1190,33,0
2020-09-01,1711.8571,1240,74,0
2020-09-02,1647.5714,1713,26,0
2020-09-03,1638.7143,1293,21,0
2020-09-04,1650.0,2271,27,0
2020-09-05,1629.2857,518,15,0
2020-09-06,1574.0,2585,12,0
2020-09-07,1564.7143,1140,18,0
2020-09-08,1570.8571,1311,46,0
2020-09-09,1609.5714,1964,46,0
2020-09-10,1699.8571,1919,27,0
2020-09-11,1740.7143,2528,56,0
2020-09-12,1780.1429,793,16,0
2020-09-13,1780.4286,2591,8,0
2020-09-14,1856.8571,1651,42,0
2020-09-15,1927.2857,1799,51,0
2020-09-16,1963.5714,2238,26,0
2020-09-17,1903.7143,1458,69,0
2020-09-18,1878.4286,2340,67,0
2020-09-19,1874.2857,675,105,0
2020-09-20,1861.0,2501,5,0
2020-09-21,1796.4286,1209,32,0
2020-09-22,1731.8571,1352,46,0
2020-09-23,1703.8571,2053,15,0
2020-09-24,1727.2857,1644,47,0
2020-09-25,1709.2857,2240,41,0
2020-09-26,1739.1429,960,29,0
2020-09-27,1723.4286,2387,9,0
2020-09-28,1738.5714,1329,18,0
2020-09-29,1733.4286,1352,10,0
2020-09-30,1846.2857,2818,40,0
2020-10-01,1771.1429,1150,15,0
2020-10-02,1693.1429,1706,29,0
2020-10-03,1655.5714,712,14,0
2020-10-04,1622.8571,2125,42,0
2020-10-05,1574.2857,991,16,0
2020-10-06,1546.1429,1125,40,0
2020-10-07,1417.1429,1938,17,0
2020-10-08,1424.5714,1181,36,0
2020-10-09,1429.7143,1731,40,0
2020-10-10,1409.5714,576,9,0
2020-10-11,1459.5714,2506,11,0
2020-10-12,1434.5714,807,25,0
2020-10-13,1393.0,850,24,0
2020-10-14,1337.5714,1526,41,0
2020-10-15,1344.0,1214,48,0
2020-10-16,1387.2857,2056,18,0
2020-10-17,1415.5714,750,33,0
2020-10-18,1349.5714,2045,10,0
2020-10-19,1361.5714,900,16,0
