date,moving_avg,imported,linked,unlinked,fleet,plane,unknown
2020-01-01,0.0,0,0,0,0,0,0
2020-01-02,0.0,0,0,0,0,0,0
2020-01-03,0.0,0,0,0,0,0,0
2020-01-04,0.0,0,0,0,0,0,0
2020-01-05,0.0,0,0,0,0,0,0
2020-01-06,0.0,0,0,0,0,0,0
2020-01-07,0.0,0,0,0,0,0,0
2020-01-08,0.0,0,0,0,0,0,0
2020-01-09,0.0,0,0,0,0,0,0
2020-01-10,0.0,0,0,0,0,0,0
2020-01-11,0.143,1,0,0,0,0,0
2020-01-12,0.143,0,0,0,0,0,0
2020-01-13,0.143,0,0,0,0,0,0
2020-01-14,0.143,0,0,0,0,0,0
2020-01-15,0.143,0,0,0,0,0,0
2020-01-16,0.143,0,0,0,0,0,0
2020-01-17,0.143,0,0,0,0,0,0
2020-01-18,0.0,0,0,0,0,0,0
2020-01-19,0.0,0,0,0,0,0,0
2020-01-20,0.143,1,0,0,0,0,0
2020-01-21,0.286,1,0,0,0,0,0
2020-01-22,0.571,1,0,1,0,0,0
2020-01-23,0.714,1,0,0,0,0,0
2020-01-24,0.714,0,0,0,0,0,0
2020-01-25,1.143,3,0,0,0,0,0
2020-01-26,1.429,1,1,0,0,0,0
2020-01-27,1.714,1,2,0,0,0,0
2020-01-28,2.0,1,2,0,0,0,0
2020-01-29,1.857,0,1,0,0,0,0
2020-01-30,1.714,0,0,0,0,0,0
2020-01-31,1.857,0,1,0,0,0,0
2020-02-01,1.714,2,0,0,0,0,0
2020-02-02,1.429,0,0,0,0,0,0
2020-02-03,1.143,1,0,0,0,0,0
2020-02-04,0.714,0,0,0,0,0,0
2020-02-05,0.571,0,0,0,0,0,0
2020-02-06,0.857,0,2,0,0,0,0
2020-02-07,0.714,0,0,0,0,0,0
2020-02-08,0.429,0,0,0,0,0,0
2020-02-09,0.429,0,0,0,0,0,0
2020-02-10,0.286,0,0,0,0,0,0
2020-02-11,0.286,0,0,0,0,0,0
2020-02-12,0.286,0,0,0,0,0,0
2020-02-13,0.0,0,0,0,0,0,0
2020-02-14,0.0,0,0,0,0,0,0
2020-02-15,0.0,0,0,0,0,0,0
2020-02-16,0.143,0,0,1,0,0,0
