county,code,population,label,label_fr,label_zh
Keelung,10017,371878,Keelung,Keelung,基隆
Taipei,63000,2635286,Taipei,Taipei,台北
New_Taipei,65000,4023620,New Taipei,Nouveau Taipei,新北
Taoyuan,68000,2254363,Taoyuan,Taoyuan,桃園
Hsinchu,10004,565272,Hsinchu County,Comté de Hsinchu,竹縣
Hsinchu_C,10018,448207,Hsinchu City,Ville de Hsinchu,竹市
Miaoli,10005,544762,Miaoli,Miaoli,苗栗
Taichung,66000,2816667,Taichung,Taichung,台中
Changhua,10007,1271015,Changhua,Changhua,彰化
Nantou,10008,493403,Nantou,Nantou,南投
Yunlin,10009,680050,Yunlin,Yunlin,雲林
Chiayi,10010,502007,Chiayi County,Comté de Chiayi,嘉縣
Chiayi_C,10020,270254,Chiayi City,Ville de Chiayi,嘉市
Tainan,67000,1879115,Tainan,Tainan,台南
Kaohsiung,64000,2773984,Kaohsiung,Kaohsiung,高雄
Pingtung,10013,817193,Pingtung,Pingtung,屏東
Yilan,10002,453951,Yilan,Yilan,宜蘭
Hualien,10015,325706,Hualien,Hualien,花蓮
Taitung,10014,216308,Taitung,Taitung,台東
Penghu,10016,105117,Penghu,Penghu,澎湖
Kinmen,09020,127723,Kinmen,Kinmen,金門
Matsu,09007,12716,Matsu,Matsu,馬祖
