county,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
Keelung,0,0,0,1,0,0,0,0,0,0,0,0,1
Taipei,0,0,0,5,3,0,0,0,0,0,0,0,8
New_Taipei,0,0,9,7,2,0,0,0,0,0,0,0,18
Taoyuan,0,0,5,7,2,0,0,0,0,0,0,0,16
Hsinchu,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsinchu_C,0,0,0,1,2,0,0,0,0,0,0,0,3
Miaoli,0,0,0,0,0,0,0,0,0,0,0,0,0
Taichung,0,0,2,3,0,0,0,0,0,0,0,0,5
Changhua,0,1,3,0,0,0,0,0,0,0,0,0,4
Nantou,0,1,0,0,0,0,0,0,0,0,0,0,1
Yunlin,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiayi,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiayi_C,0,0,0,0,0,0,0,0,0,0,0,0,0
Tainan,0,0,0,1,0,0,0,0,0,0,0,0,1
Kaohsiung,0,0,0,0,0,0,0,0,0,0,0,0,0
Pingtung,0,0,0,0,0,0,0,0,0,0,0,0,0
Yilan,0,0,0,0,0,0,0,0,0,0,0,0,0
Hualien,0,0,0,0,0,0,0,0,0,0,0,0,0
Taitung,0,0,0,0,0,0,0,0,0,0,0,0,0
Penghu,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinmen,0,0,0,0,0,0,0,0,0,0,0,0,0
Matsu,0,0,0,0,0,0,0,0,0,0,0,0,0
