symptom,trav_hist,value,label
cough,USA,0.13583211555450095,64
fever,USA,0.14661209624297478,61
asymptomatic,USA,-0.27335692895057273,5
sneezing,USA,0.030717549438050287,37
throatache,USA,0.0841806237941846,42
anosmia,USA,0.08471060261898715,26
fatigue,USA,-0.0028731841286747453,17
soreness,USA,0.12573624107049505,26
headache,USA,0.058839460483185294,17
ageusia,USA,0.04100084173515918,14
cough,Indonesia,-0.26835250997365967,12
fever,Indonesia,-0.23495448945140365,13
asymptomatic,Indonesia,0.5169176934759038,98
sneezing,Indonesia,-0.20828614642794585,9
throatache,Indonesia,-0.18378639618298953,11
anosmia,Indonesia,-0.12074593317075955,7
fatigue,Indonesia,-0.11223593600266901,7
soreness,Indonesia,-0.10803541086147717,6
headache,Indonesia,-0.10747173326532423,4
ageusia,Indonesia,-0.09395338267810659,4
cough,Philippines,-0.06370920277186994,27
fever,Philippines,-0.11185850045521686,19
asymptomatic,Philippines,0.2324861902793392,52
sneezing,Philippines,-0.112521225643155,13
throatache,Philippines,-0.11614140617364059,12
anosmia,Philippines,-0.029264863560355417,11
fatigue,Philippines,-0.02033042812179996,11
soreness,Philippines,0.023723084686489385,13
headache,Philippines,-0.06034931279718374,5
ageusia,Philippines,-0.0628715358615104,4
cough,UK,0.12187363579432725,43
fever,UK,0.043226453920126445,32
asymptomatic,UK,-0.2315783574171702,1
sneezing,UK,0.20246498423114762,41
throatache,UK,0.13820188413008244,34
anosmia,UK,0.09506846043623565,19
fatigue,UK,0.07955061785671591,17
soreness,UK,0.0016724048547942204,10
headache,UK,0.09285571839255297,14
ageusia,UK,0.097154945882925,13
cough,France,0.09246402009537796,18
fever,France,0.0646965437049167,15
asymptomatic,France,-0.12815483441600048,1
sneezing,France,0.10686364445583021,15
throatache,France,0.1444616720636211,17
anosmia,France,-0.03106184046805312,3
fatigue,France,0.09754184521445107,9
soreness,France,-0.017771148873506316,3
headache,France,0.06925855557530125,6
ageusia,France,-0.04375145659239861,1
cough,Spain,0.03334196545960336,9
fever,Spain,-0.010520593536999061,6
asymptomatic,Spain,-0.09228539134697289,1
sneezing,Spain,0.037589202497548393,7
throatache,Spain,0.06155938302871072,8
anosmia,Spain,-0.020426619198474848,2
fatigue,Spain,-0.04283107824058076,1
soreness,Spain,-0.06452637010954919,0
headache,Spain,-0.027388323496796613,1
ageusia,Spain,-0.053653854935848073,0
cough,Turkey,-0.009622728614288867,5
fever,Turkey,0.06377327955782905,8
asymptomatic,Turkey,-0.05289179248266678,2
sneezing,Turkey,-0.02085613048019781,3
throatache,Turkey,0.004927382380172155,4
anosmia,Turkey,-0.03294252996965977,1
fatigue,Turkey,0.0886928466840814,5
soreness,Turkey,-0.02487711608367727,1
headache,Turkey,-0.015653518880778337,1
ageusia,Turkey,-0.010397336015639289,1
cough,Czechia,0.011168675178551885,6
fever,Czechia,0.04250476172958481,7
asymptomatic,Czechia,-0.030803268245608237,3
sneezing,Czechia,-0.043801355833203576,2
throatache,Czechia,-0.018266510395067097,3
anosmia,Czechia,-0.06192667850104282,0
fatigue,Czechia,-0.03016548776393026,1
soreness,Czechia,0.006349587724214399,2
headache,Czechia,-0.04992484427092104,0
ageusia,Czechia,-0.010397336015638983,1
cough,China,-0.0023243476570216845,4
fever,China,0.10402376221343917,8
asymptomatic,China,-0.0838038212435015,0
sneezing,China,-0.05102206490673859,1
throatache,China,-0.04914414071153741,1
anosmia,China,-0.05346403896607447,0
fatigue,China,-0.051697112566441716,0
soreness,China,-0.012491049404377785,1
headache,China,-0.0036517247522290168,1
ageusia,China,-0.0402754225394873,0
cough,Egypt,0.021609169623872933,5
fever,Egypt,0.030575555822021358,5
asymptomatic,Egypt,-0.032950489568117226,2
sneezing,Egypt,0.02821644437890345,4
throatache,Egypt,0.030953110885090118,4
anosmia,Egypt,-0.05346403896607484,0
fatigue,Egypt,0.01671332354055671,2
soreness,Egypt,0.02345480892525103,2
headache,Egypt,-0.003651724752229011,1
ageusia,Egypt,-0.04027542253948729,0
