key,count,label,label_fr,label_zh
N_total,14450,,,
N_data,1459,,,
100+,2,100+,100+,100+歲
90s,59,90s,90aine,90-99歲
80s,154,80s,80aine,80-89歲
70s,242,70s,70aine,70-79歲
60s,258,60s,60aine,60-69歲
50s,164,50s,50aine,50-59歲
40s,132,40s,40aine,40-49歲
30s,179,30s,30aine,30-39歲
20s,206,20s,20aine,20-29歲
10s,36,10s,10aine,10-19歲
0s,27,0s,0-9 ans,0-9歲
fever,577,Fever,Fièvre,發燒
cough,491,Cough,Toux,咳嗽
asymptomatic,359,Asymptomatic,Asymptomatique,無症狀
dyspnea,273,Dyspnea,Dyspnée,呼吸困難
throatache,203,Throatache,Mal de gorge,喉嚨症狀
fatigue,128,Fatigue,Fatigue,倦怠
sneezing,125,Sneezing,Éternuement,鼻腔症狀
diarrhea,105,Diarrhea,Diarrhée,腹瀉
soreness,75,Soreness,Myalgie,痠痛
headache,74,Headache,Mal de tête,頭痛
