label,count,label_zh,label_fr
N_total,39,合計,Total
N_data,36,有資料案例數,Données complètes
90s,0,90-99歲,90aine
80s,0,80-89歲,80aine
70s,2,70-79歲,70aine
60s,2,60-69歲,60aine
50s,1,50-59歲,50aine
40s,2,40-49歲,40aine
30s,13,30-39歲,30aine
20s,13,20-29歲,20aine
10s,2,10-19歲,10aine
0s,1,<10歲,< 10 ans
asymptomatic,18,無症狀,asymptomatique
sneezing,8,鼻腔症狀,éternuement
throatache,8,喉嚨症狀,mal de gorge
fever,5,發燒,fièvre
cough,5,咳嗽,toux
headache,4,頭痛,mal de tête
dysnosmia,3,嗅覺異常,dysosmie
fatigue,2,倦怠,fatigue
dysgeusia,2,味覺異常,dysgueusie
diarrhea,1,腹瀉,diarrhée
