date,moving_avg,airport,seaport,not_specified
2021-01-01,2496.4286,2791,74,0
2021-01-02,2459.5714,998,130,0
2021-01-03,2501.1429,3293,114,0
2021-01-04,2486.4286,1640,101,0
2021-01-05,2552.4286,2263,137,0
2021-01-06,2589.5714,4011,88,0
2021-01-07,2795.7143,3629,301,0
2021-01-08,3151.7143,5223,134,0
2021-01-09,3324.2857,2252,84,0
2021-01-10,3567.1429,4564,543,0
2021-01-11,3719.8571,2769,41,0
2021-01-12,3892.1429,3250,356,0
2021-01-13,4334.5714,7133,63,0
2021-01-14,4776.0,6793,227,0
2021-01-15,4687.0,4432,302,0
2021-01-16,4717.0,2282,264,0
2021-01-17,4590.7143,4189,34,0
2021-01-18,4563.0,2426,190,0
2021-01-19,4448.2857,2639,164,0
2021-01-20,4204.1429,5245,242,0
2021-01-21,3815.7143,4059,242,0
2021-01-22,4020.4286,5875,292,0
2021-01-23,4322.1429,4592,66,0
2021-01-24,4537.1429,5619,109,0
2021-01-25,4638.0,3283,39,0
2021-01-26,4841.1429,4035,190,0
2021-01-27,4615.7143,3829,80,0
2021-01-28,4238.7143,1563,99,0
2021-01-29,3624.4286,1827,40,0
2021-01-30,3079.0,822,18,0
2021-01-31,2538.1429,1923,19,0
2021-02-01,2171.0,725,27,0
2021-02-02,1751.0,1043,242,0
2021-02-03,1537.0,2343,68,0
2021-02-04,1572.0,1821,86,0
2021-02-05,1676.7143,2502,98,0
2021-02-06,1686.1429,891,15,0
2021-02-07,1714.5714,2111,30,0
2021-02-08,1716.2857,687,77,0
2021-02-09,1686.8571,989,90,0
2021-02-10,1554.0,1448,33,0
2021-02-11,1397.5714,715,97,0
2021-02-12,1149.5714,823,41,0
2021-02-13,1082.0,410,23,0
2021-02-14,1033.0,1750,48,0
2021-02-15,1075.1429,1021,38,0
2021-02-16,1084.5714,1127,18,0
2021-02-17,1468.5714,4109,60,0
2021-02-18,1918.0,3885,73,0
2021-02-19,2544.1429,5169,78,0
2021-02-20,2997.1429,3513,91,0
2021-02-21,3593.4286,5942,30,0
2021-02-22,3995.5714,3802,72,0
2021-02-23,4144.4286,2104,83,0
2021-02-24,4226.7143,4598,147,0
2021-02-25,4146.1429,3353,41,0
2021-02-26,3949.1429,3758,110,0
2021-02-27,3805.0,2522,73,0
