date,not_specified,seaport,airport
2021-01-01,0,48,1697
2021-01-02,0,13,565
2021-01-03,0,40,1820
2021-01-04,0,7,959
2021-01-05,0,36,1538
2021-01-06,0,70,2183
2021-01-07,0,13,2171
2021-01-08,0,18,3392
2021-01-09,0,10,1578
2021-01-10,0,31,3261
2021-01-11,0,17,1865
2021-01-12,0,43,2643
2021-01-13,0,40,5191
2021-01-14,0,45,5752
2021-01-15,0,52,3024
2021-01-16,0,2,1488
2021-01-17,0,16,2810
2021-01-18,0,29,1666
2021-01-19,0,27,2057
2021-01-20,0,78,3384
2021-01-21,0,78,3078
2021-01-22,0,37,4584
2021-01-23,0,47,3586
2021-01-24,0,31,4195
2021-01-25,0,22,2619
2021-01-26,0,54,3398
2021-01-27,0,25,2722
2021-01-28,0,51,895
2021-01-29,0,18,924
2021-01-30,0,15,399
2021-01-31,0,9,1133
2021-02-01,0,0,0
2021-02-02,0,0,0
2021-02-03,0,0,0
2021-02-04,0,0,0
2021-02-05,0,0,0
2021-02-06,0,0,0
2021-02-07,0,0,0
2021-02-08,0,0,0
2021-02-09,0,0,0
2021-02-10,0,0,0
2021-02-11,0,0,0
2021-02-12,0,0,0
2021-02-13,0,0,0
2021-02-14,0,0,0
2021-02-15,0,0,0
2021-02-16,0,0,0
2021-02-17,0,0,0
2021-02-18,0,0,0
2021-02-19,0,0,0
2021-02-20,0,0,0
2021-02-21,0,0,0
2021-02-22,0,0,0
2021-02-23,0,0,0
2021-02-24,0,0,0
2021-02-25,0,0,0
2021-02-26,0,0,0
2021-02-27,0,0,0
2021-02-28,0,0,0
2021-03-01,0,0,0
