date,not_specified,seaport,airport
2021-01-01,0,26,1094
2021-01-02,0,117,433
2021-01-03,0,74,1473
2021-01-04,0,94,681
2021-01-05,0,101,725
2021-01-06,0,18,1828
2021-01-07,0,288,1458
2021-01-08,0,116,1831
2021-01-09,0,74,674
2021-01-10,0,512,1303
2021-01-11,0,24,904
2021-01-12,0,313,607
2021-01-13,0,23,1942
2021-01-14,0,182,1041
2021-01-15,0,250,1408
2021-01-16,0,262,794
2021-01-17,0,18,1379
2021-01-18,0,161,760
2021-01-19,0,137,582
2021-01-20,0,164,1861
2021-01-21,0,164,981
2021-01-22,0,255,1291
2021-01-23,0,19,1006
2021-01-24,0,78,1424
2021-01-25,0,17,664
2021-01-26,0,136,637
2021-01-27,0,55,1107
2021-01-28,0,48,668
2021-01-29,0,22,903
2021-01-30,0,3,423
2021-01-31,0,10,790
2021-02-01,0,21,271
2021-02-02,0,139,181
2021-02-03,0,28,1181
2021-02-04,0,47,694
2021-02-05,0,82,1567
2021-02-06,0,11,442
2021-02-07,0,21,765
2021-02-08,0,52,214
2021-02-09,0,69,347
2021-02-10,0,13,962
2021-02-11,0,49,391
2021-02-12,0,22,433
2021-02-13,0,17,255
2021-02-14,0,35,1047
2021-02-15,0,11,763
2021-02-16,0,14,837
2021-02-17,0,38,2787
2021-02-18,0,49,2943
2021-02-19,0,59,3681
2021-02-20,0,73,2972
2021-02-21,0,26,3979
2021-02-22,0,51,3312
2021-02-23,0,60,1605
2021-02-24,0,100,3541
2021-02-25,0,18,2444
2021-02-26,0,61,2739
2021-02-27,0,53,2003
2021-02-28,0,34,3012
2021-03-01,0,26,2313
2021-03-02,0,6,1130
2021-03-03,0,71,2669
2021-03-04,0,81,2045
2021-03-05,0,26,3039
2021-03-06,0,43,1219
2021-03-07,0,26,1874
2021-03-08,0,58,1290
2021-03-09,0,123,832
2021-03-10,0,31,2599
2021-03-11,0,75,1520
2021-03-12,0,60,2416
2021-03-13,0,38,923
2021-03-14,0,23,1507
2021-03-15,0,73,1137
2021-03-16,0,59,824
2021-03-17,0,49,2151
2021-03-18,0,95,1560
2021-03-19,0,55,2095
2021-03-20,0,46,794
2021-03-21,0,102,1061
2021-03-22,0,34,667
2021-03-23,0,16,821
2021-03-24,0,98,1967
2021-03-25,0,56,2013
2021-03-26,0,47,1976
2021-03-27,0,48,660
2021-03-28,0,7,1356
2021-03-29,0,8,689
2021-03-30,0,114,560
2021-03-31,0,124,2453
2021-04-01,0,135,2134
2021-04-02,0,48,1353
2021-04-03,0,32,544
2021-04-04,0,29,868
2021-04-05,0,13,559
2021-04-06,0,86,980
2021-04-07,0,79,1918
2021-04-08,0,51,2065
2021-04-09,0,51,2304
2021-04-10,0,40,941
2021-04-11,0,46,1808
2021-04-12,0,44,1375
2021-04-13,0,23,1002
2021-04-14,0,29,2186
2021-04-15,0,52,1818
2021-04-16,0,84,1938
2021-04-17,0,28,705
2021-04-18,0,20,980
2021-04-19,0,21,824
2021-04-20,0,56,708
2021-04-21,0,73,2323
2021-04-22,0,201,2188
2021-04-23,0,70,1925
2021-04-24,0,73,772
2021-04-25,0,60,991
2021-04-26,0,57,741
2021-04-27,0,72,586
2021-04-28,0,84,2507
2021-04-29,0,43,1287
2021-04-30,0,74,1992
2021-05-01,0,31,707
2021-05-02,0,8,1163
2021-05-03,0,55,783
2021-05-04,0,114,655
2021-05-05,0,68,1740
2021-05-06,0,201,1393
2021-05-07,0,217,1707
2021-05-08,0,77,914
2021-05-09,0,55,940
2021-05-10,0,58,932
2021-05-11,0,93,685
2021-05-12,0,40,1525
2021-05-13,0,80,1171
2021-05-14,0,129,1512
2021-05-15,0,77,790
2021-05-16,0,8,1351
2021-05-17,0,182,950
2021-05-18,0,29,634
2021-05-19,0,47,1868
2021-05-20,0,49,1648
2021-05-21,0,114,2158
2021-05-22,0,39,1095
2021-05-23,0,17,879
2021-05-24,0,10,1055
2021-05-25,0,66,759
2021-05-26,0,77,2277
2021-05-27,0,61,1428
2021-05-28,0,200,2520
2021-05-29,0,84,1044
2021-05-30,0,20,1454
2021-05-31,0,138,1455
2021-06-01,0,0,0
2021-06-02,0,0,0
