age,total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0-4,238,0,0,0,1,98,136,3,0,0,0,0,0
5-9,212,5,0,0,0,72,135,0,0,0,0,0,0
10-14,220,2,0,0,1,92,125,0,0,0,0,0,0
15-19,302,2,0,1,2,139,156,2,0,0,0,0,0
20-24,589,19,10,16,19,240,281,4,0,0,0,0,0
25-29,937,19,10,20,16,353,515,4,0,0,0,0,0
30-34,1010,16,5,12,14,396,563,4,0,0,0,0,0
35-39,1071,13,2,13,8,482,549,4,0,0,0,0,0
40-44,1105,10,4,4,11,539,533,4,0,0,0,0,0
45-49,1045,5,3,2,10,555,464,6,0,0,0,0,0
50-54,1160,8,2,4,4,721,417,4,0,0,0,0,0
55-59,1414,1,3,2,5,842,559,2,0,0,0,0,0
60-64,1428,3,3,0,3,924,493,2,0,0,0,0,0
65-69,1369,4,2,0,0,862,498,3,0,0,0,0,0
70+,1954,5,0,1,4,1058,878,8,0,0,0,0,0
