date,moving_avg,airport,quarantine,isolation,monitoring,hospital,overseas,no_data
2021-01-01,2.0,3,0,0,0,0,0,0
2021-01-02,1.7143,0,0,0,0,0,0,0
2021-01-03,1.8571,0,0,1,0,0,1,0
2021-01-04,2.0,1,1,0,0,0,0,0
2021-01-05,1.5714,0,0,0,0,0,0,0
2021-01-06,1.4286,0,0,0,0,1,0,0
2021-01-07,1.5714,0,0,3,0,0,0,0
2021-01-08,1.2857,0,0,1,0,0,0,0
2021-01-09,1.5714,0,1,1,0,0,0,0
2021-01-10,1.5714,0,2,0,0,0,0,0
2021-01-11,1.2857,0,0,0,0,0,0,0
2021-01-12,1.2857,0,0,0,0,0,0,0
2021-01-13,1.4286,1,0,0,0,1,0,0
2021-01-14,1.2857,0,0,1,0,1,0,0
2021-01-15,1.1429,0,0,0,0,0,0,0
2021-01-16,1.1429,0,0,1,0,1,0,0
2021-01-17,1.0,0,1,0,0,0,0,0
2021-01-18,1.5714,0,2,2,0,0,0,0
2021-01-19,1.8571,0,1,0,0,1,0,0
2021-01-20,1.8571,0,0,1,0,1,0,0
2021-01-21,1.5714,0,0,0,0,0,0,0
2021-01-22,2.0,0,3,0,0,0,0,0
2021-01-23,1.7143,0,0,0,0,0,0,0
2021-01-24,1.8571,0,1,0,0,1,0,0
2021-01-25,1.5714,0,2,0,0,0,0,0
2021-01-26,1.2857,0,0,0,0,0,0,0
2021-01-27,1.5714,0,4,0,0,0,0,0
2021-01-28,1.8571,0,1,1,0,0,0,0
2021-01-29,1.7143,0,2,0,0,0,0,0
2021-01-30,1.8571,0,1,0,0,0,0,0
2021-01-31,1.5714,0,0,0,0,0,0,0
2021-02-01,1.4286,0,0,1,0,0,0,0
2021-02-02,1.4286,0,0,0,0,0,0,0
2021-02-03,0.8571,0,0,0,0,0,0,0
2021-02-04,0.7143,0,1,0,0,0,0,0
2021-02-05,0.4286,0,0,0,0,0,0,0
2021-02-06,0.2857,0,0,0,0,0,0,0
2021-02-07,0.4286,0,0,1,0,0,0,0
2021-02-08,0.2857,0,0,0,0,0,0,0
2021-02-09,0.4286,0,1,0,0,0,0,0
2021-02-10,0.4286,0,0,0,0,0,0,0
2021-02-11,0.2857,0,0,0,0,0,0,0
2021-02-12,0.2857,0,0,0,0,0,0,0
2021-02-13,0.4286,0,1,0,0,0,0,0
2021-02-14,0.2857,0,0,0,0,0,0,0
2021-02-15,0.2857,0,0,0,0,0,0,0
2021-02-16,0.1429,0,0,0,0,0,0,0
2021-02-17,0.1429,0,0,0,0,0,0,0
2021-02-18,0.1429,0,0,0,0,0,0,0
2021-02-19,0.1429,0,0,0,0,0,0,0
2021-02-20,0.0,0,0,0,0,0,0,0
2021-02-21,0.0,0,0,0,0,0,0,0
2021-02-22,0.0,0,0,0,0,0,0,0
2021-02-23,0.0,0,0,0,0,0,0,0
2021-02-24,0.0,0,0,0,0,0,0,0
2021-02-25,0.0,0,0,0,0,0,0,0
2021-02-26,0.0,0,0,0,0,0,0,0
2021-02-27,0.0,0,0,0,0,0,0,0
2021-02-28,0.1429,0,1,0,0,0,0,0
2021-03-01,0.5714,0,2,0,0,1,0,0
2021-03-02,0.5714,0,0,0,0,0,0,0
