county,total,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Keelung,0,0,0,0,0,130,136,0,0,0,0,0,266
Taipei,0,0,0,0,1,2713,1281,0,0,0,0,0,3995
New_Taipei,0,0,0,0,2,3464,2312,0,0,0,0,0,5778
Taoyuan,0,19,2,0,7,312,241,0,0,0,0,0,581
Hsinchu,0,0,0,0,0,20,36,0,0,0,0,0,56
Hsinchu_C,0,0,0,0,0,18,14,0,0,0,0,0,32
Miaoli,0,0,0,0,0,23,422,0,0,0,0,0,445
Taichung,0,0,0,0,0,128,48,0,0,0,0,0,176
Changhua,0,0,0,0,0,153,97,0,0,0,0,0,250
Nantou,0,0,0,0,0,19,11,0,0,0,0,0,30
Yunlin,0,0,0,0,0,11,9,0,0,0,0,0,20
Chiayi,0,0,0,0,0,8,10,0,0,0,0,0,18
Chiayi_C,0,0,0,0,0,7,2,0,0,0,0,0,9
Tainan,0,0,0,0,0,27,14,0,0,0,0,0,41
Kaohsiung,0,0,0,0,0,47,15,0,0,0,0,0,62
Pingtung,0,0,0,0,0,27,6,0,0,0,0,0,33
Yilan,0,0,0,0,0,67,27,0,0,0,0,0,94
Hualien,0,0,0,0,0,32,25,0,0,0,0,0,57
Taitung,0,0,0,0,0,14,8,0,0,0,0,0,22
Penghu,0,0,0,0,0,1,4,0,0,0,0,0,5
Kinmen,0,0,0,0,0,0,0,0,0,0,0,0,0
Matsu,0,0,0,0,0,4,0,0,0,0,0,0,4
