symptom,trav_hist,corr,count
asymptomatic,Philippines,0.2437,112
cough,Philippines,-0.1778,7
fever,Philippines,-0.0886,10
sneezing,Philippines,-0.1618,3
throatache,Philippines,-0.1539,3
dysnosmia,Philippines,-0.0982,5
dysgeusia,Philippines,-0.0321,6
headache,Philippines,-0.102,2
diarrhea,Philippines,-0.1337,0
fatigue,Philippines,-0.0719,2
asymptomatic,Indonesia,0.2293,75
cough,Indonesia,-0.1553,3
fever,Indonesia,-0.1275,3
sneezing,Indonesia,-0.1169,2
throatache,Indonesia,-0.0896,3
dysnosmia,Indonesia,-0.1215,1
dysgeusia,Indonesia,-0.0968,1
headache,Indonesia,-0.054,2
diarrhea,Indonesia,-0.0983,0
fatigue,Indonesia,-0.0948,0
asymptomatic,USA,-0.1969,16
cough,USA,0.1658,13
fever,USA,0.057,7
sneezing,USA,0.0664,6
throatache,USA,0.132,8
dysnosmia,USA,0.0595,5
dysgeusia,USA,0.0963,5
headache,USA,-0.0339,1
diarrhea,USA,0.1089,4
fatigue,USA,0.0723,3
asymptomatic,India,0.0108,22
cough,India,0.0634,7
fever,India,-0.0198,3
sneezing,India,0.0998,6
throatache,India,0.0098,3
dysnosmia,India,0.0553,4
dysgeusia,India,0.0484,3
headache,India,-0.0633,0
diarrhea,India,0.0892,3
fatigue,India,0.0461,2
asymptomatic,UK,-0.0723,8
cough,UK,0.026,3
fever,UK,0.1232,5
sneezing,UK,0.0252,2
throatache,UK,0.0293,2
dysnosmia,UK,0.0383,2
dysgeusia,UK,0.0062,1
headache,UK,0.1358,3
diarrhea,UK,0.0953,2
fatigue,UK,0.1012,2
asymptomatic,Japan,-0.1075,4
cough,Japan,0.0617,3
fever,Japan,0.081,3
sneezing,Japan,0.001,1
throatache,Japan,0.0039,1
dysnosmia,Japan,-0.0469,0
dysgeusia,Japan,-0.04,0
headache,Japan,0.0356,1
diarrhea,Japan,0.1288,2
fatigue,Japan,0.1353,2
asymptomatic,UAE,0.0101,7
cough,UAE,0.026,2
fever,UAE,-0.0568,0
sneezing,UAE,-0.0492,0
throatache,UAE,-0.0477,0
dysnosmia,UAE,-0.0446,0
dysgeusia,UAE,-0.0381,0
headache,UAE,0.0408,1
diarrhea,UAE,-0.0304,0
fatigue,UAE,-0.0294,0
asymptomatic,Egypt,-0.1769,1
cough,Egypt,0.1289,4
fever,Egypt,-0.0021,1
sneezing,Egypt,0.2437,5
throatache,Egypt,0.2525,5
dysnosmia,Egypt,-0.0423,0
dysgeusia,Egypt,-0.0361,0
headache,Egypt,0.284,4
diarrhea,Egypt,0.1484,2
fatigue,Egypt,0.0638,1
asymptomatic,Brazil,-0.0362,5
cough,Brazil,-0.0606,0
fever,Brazil,-0.0021,1
sneezing,Brazil,-0.0466,0
throatache,Brazil,0.0143,1
dysnosmia,Brazil,-0.0423,0
dysgeusia,Brazil,-0.0361,0
headache,Brazil,-0.0326,0
diarrhea,Brazil,-0.0288,0
fatigue,Brazil,-0.0278,0
asymptomatic,Paraguay,-0.0008,4
cough,Paraguay,0.0663,2
fever,Paraguay,0.0824,2
sneezing,Paraguay,0.0329,1
throatache,Paraguay,-0.0368,0
dysnosmia,Paraguay,-0.0344,0
dysgeusia,Paraguay,-0.0293,0
headache,Paraguay,-0.0265,0
diarrhea,Paraguay,-0.0235,0
fatigue,Paraguay,0.0892,1
