symptom,trav_hist,value,label
asymptomatic,Philippines,0.28665590451853035,+29%
cough,Philippines,-0.16873916847503692,-17%
throatache,Philippines,-0.1618004377622961,-16%
fever,Philippines,-0.08952769757989484,-9%
dysnosmia,Philippines,-0.05246323078181835,-5%
sneezing,Philippines,-0.19485003968831524,-19%
dysgeusia,Philippines,0.012998715255242961,+1%
headache,Philippines,-0.0424348519402021,-4%
diarrhea,Philippines,-0.13461200956970049,-13%
fatigue,Philippines,-0.10908693625340166,-11%
asymptomatic,Indonesia,0.2570883331179268,+26%
cough,Indonesia,-0.17016976565939448,-17%
throatache,Indonesia,-0.1421162962691524,-14%
fever,Indonesia,-0.0740271734094852,-7%
dysnosmia,Indonesia,-0.11600970737048061,-12%
sneezing,Indonesia,-0.15337099490085854,-15%
dysgeusia,Indonesia,-0.07868629315950734,-8%
headache,Indonesia,-0.11197079745451724,-11%
diarrhea,Indonesia,-0.10595624135531924,-11%
fatigue,Indonesia,-0.08586486289986657,-9%
asymptomatic,USA,-0.2394771634577083,-24%
cough,USA,0.18040753210303154,+18%
throatache,USA,0.15869408784760133,+16%
fever,USA,0.1244290663496003,+12%
dysnosmia,USA,0.03515067212302439,+4%
sneezing,USA,0.04375218935919149,+4%
dysgeusia,USA,0.09572779270740626,+10%
headache,USA,-0.04152452552665137,-4%
diarrhea,USA,0.09342633901370637,+9%
fatigue,USA,0.15253514609384544,+15%
asymptomatic,UK,-0.04046843710934319,-4%
cough,UK,-0.09753091555023122,-10%
throatache,UK,-0.018523340568249433,-2%
fever,UK,0.0738709625004042,+7%
dysnosmia,UK,-0.0007206923170770337,-0%
sneezing,UK,0.0033231578942802893,+0%
dysgeusia,UK,-0.061325220452770404,-6%
headache,UK,0.14750817581646414,+15%
diarrhea,UK,0.05509922970284801,+6%
fatigue,UK,-0.040930391941263106,-4%
asymptomatic,UAE,0.03355336773312898,+3%
cough,UAE,0.03524718822438455,+4%
throatache,UAE,-0.08159188429570773,-8%
fever,UAE,-0.07162502107519426,-7%
dysnosmia,UAE,-0.07162502107519424,-7%
sneezing,UAE,-0.06953000128056866,-7%
dysgeusia,UAE,-0.05832271034552699,-6%
headache,UAE,0.054314720812182554,+5%
diarrhea,UAE,-0.048034751302760303,-5%
fatigue,UAE,-0.038926421721674265,-4%
asymptomatic,Brazil,-0.053106452363219196,-5%
cough,Brazil,-0.08254531885743471,-8%
throatache,Brazil,0.005672683608271144,+1%
fever,Brazil,0.02306404266101651,+2%
dysnosmia,Brazil,-0.06374062699044471,-6%
sneezing,Brazil,-0.06187622439394695,-6%
dysgeusia,Brazil,-0.051902618238718785,-5%
headache,Brazil,-0.04517366659415287,-5%
diarrhea,Brazil,-0.04274714505359392,-4%
fatigue,Brazil,-0.03464144917219858,-3%
asymptomatic,Egypt,-0.1649164316744554,-16%
cough,Egypt,0.0924687406586039,+9%
throatache,Egypt,0.29720169509182015,+30%
fever,Egypt,0.04480779467166859,+4%
dysnosmia,Egypt,-0.05492568379107741,-5%
sneezing,Egypt,0.3554607786498204,+36%
dysgeusia,Egypt,-0.044724800051562846,-4%
headache,Egypt,0.3639620430976527,+36%
diarrhea,Egypt,0.2455698228945861,+25%
fatigue,Egypt,0.14179104477611995,+14%
asymptomatic,France,-0.07422227764657652,-7%
cough,France,0.113997671197394,+11%
throatache,France,0.041307356232857945,+4%
fever,France,-0.05001579695684691,-5%
dysnosmia,France,0.058965992201756516,+6%
sneezing,France,0.17479023597223894,+17%
dysgeusia,France,-0.04072678506513077,-4%
headache,France,-0.03544673221536019,-4%
diarrhea,France,0.12075370862136965,+12%
fatigue,France,-0.02718234460334624,-3%
asymptomatic,South Africa,-0.1097865870157305,-11%
cough,South Africa,0.04189806608769243,+4%
throatache,South Africa,0.16839063693041478,+17%
fever,South Africa,-0.04462516681256162,-4%
dysnosmia,South Africa,-0.044625166812561616,-4%
sneezing,South Africa,0.08122479038345409,+8%
dysgeusia,South Africa,-0.036337311166687036,-4%
headache,South Africa,-0.03162633476450272,-3%
diarrhea,South Africa,0.14215568942474982,+14%
fatigue,South Africa,-0.024252670877711532,-2%
asymptomatic,Myanmar,0.03542634277504421,+4%
cough,Myanmar,0.041898066087692365,+4%
throatache,Myanmar,-0.0508349092620121,-5%
fever,Myanmar,0.07691969542691596,+8%
dysnosmia,Myanmar,-0.044625166812561616,-4%
sneezing,Myanmar,-0.043319888204508654,-4%
dysgeusia,Myanmar,-0.03633731116668709,-4%
headache,Myanmar,-0.0316263347645026,-3%
diarrhea,Myanmar,-0.02992751356310555,-3%
fatigue,Myanmar,-0.024252670877711532,-2%
