label,count,label_zh,label_fr
N_total,13895,合計,Total
N_imported,466,境外移入總數,Importés
N_data,405,有資料案例數,Données complètes
Philippines,133,菲律賓,Philippines
Indonesia,82,印尼,Indonésie
USA,40,美國,États-Unis
India,31,印度,Inde
UK,15,英國,Royaume-Uni
Japan,10,日本,Japon
UAE,10,阿拉伯聯合大公國,EAU
Egypt,9,埃及,Égypte
Brazil,9,巴西,Brésil
Paraguay,6,巴拉圭,Paraguay
asymptomatic,271,無症狀,asymptomatique
cough,58,咳嗽,toux
fever,46,發燒,fièvre
sneezing,36,鼻腔症狀,éternuement
throatache,34,喉嚨症狀,mal de gorge
dysnosmia,31,嗅覺異常,dysosmie
dysgeusia,23,味覺異常,dysgueusie
headache,17,頭痛,mal de tête
diarrhea,15,腹瀉,diarrhée
fatigue,13,倦怠,fatigue
