date,interpolated,total,AZ,Moderna,Medigen,total_avg,AZ_avg,Moderna_avg,Medigen_avg
2021-01-01,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-02,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-03,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-04,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-05,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-06,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-07,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-08,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-09,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-10,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-11,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-12,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-13,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-14,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-15,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-16,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-17,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-18,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-19,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-20,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-21,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-22,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-23,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-24,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-25,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-26,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-27,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-28,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-29,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-30,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-01-31,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-01,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-02,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-03,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-04,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-05,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-06,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-07,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-08,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-09,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-10,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-11,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-12,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-13,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-14,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-15,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-16,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-17,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-18,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-19,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-20,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-21,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-22,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-23,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-24,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-25,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-26,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-27,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-02-28,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-01,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-02,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-03,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-04,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-05,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-06,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-07,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-08,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-09,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-10,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-11,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-12,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-13,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-14,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-15,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-16,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-17,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-18,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-19,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-20,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-21,1,0,0,0,0,0.0,0.0,0.0,0.0
2021-03-22,,,,,,,,,
2021-03-23,,,,,,,,,
2021-03-24,,,,,,,,,
2021-03-25,,,,,,,,,
2021-03-26,,,,,,,,,
2021-03-27,,,,,,,,,
2021-03-28,,,,,,,,,
2021-03-29,,,,,,,,,
2021-03-30,,,,,,,,,
2021-03-31,,,,,,,,,
2021-04-01,,,,,,,,,
2021-04-02,,,,,,,,,
2021-04-03,,,,,,,,,
2021-04-04,,,,,,,,,
2021-04-05,,,,,,,,,
2021-04-06,,,,,,,,,
2021-04-07,,,,,,,,,
2021-04-08,,,,,,,,,
2021-04-09,,,,,,,,,
2021-04-10,,,,,,,,,
2021-04-11,,,,,,,,,
2021-04-12,,,,,,,,,
2021-04-13,,,,,,,,,
2021-04-14,,,,,,,,,
2021-04-15,,,,,,,,,
2021-04-16,,,,,,,,,
2021-04-17,,,,,,,,,
2021-04-18,,,,,,,,,
2021-04-19,,,,,,,,,
2021-04-20,,,,,,,,,
2021-04-21,,,,,,,,,
2021-04-22,,,,,,,,,
2021-04-23,,,,,,,,,
2021-04-24,,,,,,,,,
2021-04-25,,,,,,,,,
2021-04-26,,,,,,,,,
2021-04-27,,,,,,,,,
2021-04-28,,,,,,,,,
2021-04-29,,,,,,,,,
2021-04-30,,,,,,,,,
2021-05-01,,,,,,,,,
2021-05-02,,,,,,,,,
2021-05-03,,,,,,,,,
2021-05-04,,,,,,,,,
2021-05-05,,,,,,,,,
2021-05-06,,,,,,,,,
2021-05-07,,,,,,,,,
2021-05-08,,,,,,,,,
2021-05-09,,,,,,,,,
2021-05-10,,,,,,,,,
2021-05-11,,,,,,,,,
2021-05-12,,,,,,,,,
2021-05-13,,,,,,,,,
2021-05-14,,,,,,,,,
2021-05-15,,,,,,,,,
2021-05-16,,,,,,,,,
2021-05-17,,,,,,,,,
2021-05-18,,,,,,,,,
2021-05-19,,,,,,,,,
2021-05-20,,,,,,,,,
2021-05-21,,,,,,,,,
2021-05-22,,,,,,,,,
2021-05-23,,,,,,,,,
2021-05-24,,,,,,,,,
2021-05-25,,,,,,,,,
2021-05-26,,,,,,,,,
2021-05-27,,,,,,,,,
2021-05-28,,,,,,,,,
2021-05-29,,,,,,,,,
2021-05-30,,,,,,,,,
2021-05-31,,,,,,,,,
2021-06-01,,,,,,,,,
2021-06-02,,,,,,,,,
2021-06-03,,,,,,,,,
2021-06-04,,,,,,,,,
2021-06-05,,,,,,,,,
2021-06-06,,,,,,,,,
2021-06-07,,,,,,,,,
2021-06-08,,,,,,,,,
2021-06-09,,,,,,,,,
2021-06-10,,,,,,,,,
2021-06-11,,,,,,,,,
2021-06-12,,,,,,,,,
2021-06-13,,,,,,,,,
2021-06-14,,,,,,,,,
2021-06-15,,,,,,,,,
2021-06-16,,,,,,,,,
2021-06-17,,,,,,,,,
2021-06-18,,,,,,,,,
2021-06-19,,,,,,,,,
2021-06-20,,,,,,,,,
2021-06-21,,,,,,,,,
2021-06-22,,,,,,,,,
2021-06-23,,,,,,,,,
2021-06-24,,,,,,,,,
2021-06-25,,,,,,,,,
2021-06-26,,,,,,,,,
2021-06-27,,,,,,,,,
2021-06-28,,,,,,,,,
2021-06-29,,,,,,,,,
2021-06-30,,,,,,,,,
2021-07-01,,,,,,,,,
2021-07-02,,,,,,,,,
2021-07-03,,,,,,,,,
2021-07-04,,,,,,,,,
2021-07-05,,,,,,,,,
2021-07-06,,,,,,,,,
2021-07-07,,,,,,,,,
2021-07-08,,,,,,,,,
2021-07-09,,,,,,,,,
2021-07-10,,,,,,,,,
2021-07-11,,,,,,,,,
2021-07-12,,,,,,,,,
2021-07-13,,,,,,,,,
2021-07-14,,,,,,,,,
2021-07-15,,,,,,,,,
2021-07-16,,,,,,,,,
2021-07-17,,,,,,,,,
2021-07-18,,,,,,,,,
2021-07-19,,,,,,,,,
2021-07-20,,,,,,,,,
2021-07-21,,,,,,,,,
2021-07-22,,,,,,,,,
2021-07-23,,,,,,,,,
2021-07-24,,,,,,,,,
2021-07-25,,,,,,,,,
2021-07-26,,,,,,,,,
2021-07-27,,,,,,,,,
2021-07-28,,,,,,,,,
2021-07-29,,,,,,,,,
2021-07-30,,,,,,,,,
2021-07-31,,,,,,,,,
2021-08-01,,,,,,,,,
2021-08-02,,,,,,,,,
2021-08-03,,,,,,,,,
2021-08-04,,,,,,,,,
2021-08-05,,,,,,,,,
2021-08-06,,,,,,,,,
2021-08-07,,,,,,,,,
2021-08-08,,,,,,,,,
2021-08-09,,,,,,,,,
2021-08-10,,,,,,,,,
2021-08-11,,,,,,,,,
2021-08-12,,,,,,,,,
2021-08-13,,,,,,,,,
2021-08-14,,,,,,,,,
2021-08-15,,,,,,,,,
2021-08-16,,,,,,,,,
2021-08-17,,,,,,,,,
2021-08-18,,,,,,,,,
2021-08-19,,,,,,,,,
2021-08-20,,,,,,,,,
2021-08-21,,,,,,,,,
2021-08-22,,,,,,,,,
2021-08-23,,,,,,,,,
2021-08-24,,,,,,,,,
2021-08-25,,,,,,,,,
2021-08-26,,,,,,,,,
