date,updated_new,updated_tot
2021-03-22,1580.0,1580.0
2021-03-23,1201.0,2781.0
2021-03-24,1734.0,4515.0
2021-03-25,,
2021-03-26,,
2021-03-27,,
2021-03-28,,
2021-03-29,,
2021-03-30,,
2021-03-31,,
2021-04-01,,16450.0
2021-04-02,606.0,17056.0
2021-04-03,,
2021-04-04,22.0,17078.0
2021-04-05,167.0,17245.0
2021-04-06,1435.0,18680.0
2021-04-07,1395.0,20075.0
2021-04-08,,
2021-04-09,,
2021-04-10,,
2021-04-11,,
2021-04-12,,
2021-04-13,,
2021-04-14,,28497.0
2021-04-15,1658.0,30155.0
2021-04-16,2234.0,32389.0
2021-04-17,,
2021-04-18,,
2021-04-19,,
2021-04-20,,
2021-04-21,,
2021-04-22,,
2021-04-23,,42536.0
2021-04-24,,
2021-04-25,136.0,42672.0
2021-04-26,,
2021-04-27,,48226.0
2021-04-28,2739.0,50965.0
2021-04-29,3229.0,54194.0
2021-04-30,3771.0,57965.0
2021-05-01,,
2021-05-02,306.0,58271.0
2021-05-03,4345.0,62616.0
2021-05-04,5445.0,68061.0
2021-05-05,6339.0,74400.0
2021-05-06,6737.0,81137.0
2021-05-07,9865.0,91002.0
2021-05-08,,
2021-05-09,1331.0,92333.0
2021-05-10,9192.0,101525.0
2021-05-11,11964.0,113489.0
2021-05-12,17114.0,130603.0
2021-05-13,23195.0,153798.0
2021-05-14,33395.0,187193.0
2021-05-15,,
2021-05-16,10164.0,197357.0
2021-05-17,26439.0,223796.0
2021-05-18,23661.0,247457.0
2021-05-19,18958.0,266415.0
2021-05-20,15776.0,282191.0
2021-05-21,18284.0,300475.0
2021-05-22,,
2021-05-23,3093.0,303568.0
2021-05-24,8111.0,311679.0
2021-05-25,8116.0,319795.0
2021-05-26,6224.0,326019.0
2021-05-27,9338.0,335357.0
2021-05-28,46526.0,381883.0
2021-05-29,,
2021-05-30,45449.0,427332.0
2021-05-31,39886.0,467218.0
2021-06-01,38654.0,505872.0
2021-06-02,60714.0,566586.0
2021-06-03,57546.0,624132.0
2021-06-04,57850.0,681982.0
2021-06-05,,
2021-06-06,29025.0,711007.0
2021-06-07,19324.0,730331.0
2021-06-08,16667.0,746998.0
2021-06-09,12748.0,759746.0
2021-06-10,,
2021-06-11,,
2021-06-12,,
2021-06-13,,
2021-06-14,,
2021-06-15,,
2021-06-16,,
2021-06-17,,
2021-06-18,,
