index,date,ppl_vacc_rate,ppl_fully_vacc_rate
446,2021-03-22,0.0001,0.0
447,2021-03-23,0.0001,0.0
448,2021-03-24,0.0002,0.0
449,2021-03-25,0.0003,0.0
450,2021-03-26,0.0004,0.0
451,2021-03-27,0.0004,0.0
452,2021-03-28,0.0004,0.0
453,2021-03-29,0.0005,0.0
454,2021-03-30,0.0005,0.0
455,2021-03-31,0.0006,0.0
456,2021-04-01,0.0007,0.0
457,2021-04-02,0.0007,0.0
458,2021-04-03,0.0007,0.0
459,2021-04-04,0.0007,0.0
460,2021-04-05,0.0007,0.0
461,2021-04-06,0.0008,0.0
462,2021-04-07,0.0009,0.0
463,2021-04-08,0.0009,0.0
464,2021-04-09,0.001,0.0
465,2021-04-10,0.001,0.0
466,2021-04-11,0.001,0.0
467,2021-04-12,0.0011,0.0
468,2021-04-13,0.0011,0.0
469,2021-04-14,0.0012,0.0
470,2021-04-15,0.0013,0.0
471,2021-04-16,0.0014,0.0
472,2021-04-17,0.0014,0.0
475,2021-04-20,0.0014,0.0
476,2021-04-21,0.0016,0.0
477,2021-04-22,0.0017,0.0
478,2021-04-23,0.0018,0.0
479,2021-04-24,0.0018,0.0
481,2021-04-26,0.0019,0.0
482,2021-04-27,0.002,0.0
483,2021-04-28,0.0022,0.0
484,2021-04-29,0.0023,0.0
485,2021-04-30,0.0025,0.0
487,2021-05-02,0.0025,0.0
488,2021-05-03,0.0026,0.0
489,2021-05-04,0.0029,0.0
490,2021-05-05,0.0031,0.0
491,2021-05-06,0.0034,0.0
492,2021-05-07,0.0039,0.0
494,2021-05-09,0.0039,0.0
496,2021-05-11,0.0048,0.0
497,2021-05-12,0.0055,0.0
498,2021-05-13,0.0064,0.0
499,2021-05-14,0.0079,0.0
501,2021-05-16,0.0083,0.0
502,2021-05-17,0.0093,0.0
503,2021-05-18,0.0104,0.0
504,2021-05-19,0.0112,0.0
505,2021-05-20,0.0119,0.0
506,2021-05-21,0.0127,0.0
508,2021-05-23,0.0128,0.0
509,2021-05-24,0.0132,0.0
510,2021-05-25,0.0136,0.0
518,2021-06-02,0.0238,0.0
519,2021-06-03,0.0265,0.0
520,2021-06-04,0.0288,0.0
522,2021-06-06,0.0296,0.0
523,2021-06-07,0.0307,0.0
524,2021-06-08,0.0315,0.0
525,2021-06-09,0.0322,0.0
526,2021-06-10,0.0332,0.0
527,2021-06-11,0.0339,0.0
530,2021-06-14,0.0363,0.0
531,2021-06-15,0.0428,0.0
532,2021-06-16,0.0499,0.0
533,2021-06-17,0.056,0.0
534,2021-06-18,0.0606,0.0
536,2021-06-20,0.0654,0.0
537,2021-06-21,0.0685,0.0
538,2021-06-22,0.07,0.0013
539,2021-06-23,0.0727,0.0014
540,2021-06-24,0.0764,0.0014
541,2021-06-25,0.0792,0.0015
543,2021-06-27,0.0801,0.0016
544,2021-06-28,0.0817,0.0016
545,2021-06-29,0.0832,0.0017
546,2021-06-30,0.0848,0.0018
547,2021-07-01,0.0867,0.0018
548,2021-07-02,0.0946,0.002
550,2021-07-04,0.1048,0.002
551,2021-07-05,0.1094,0.002
552,2021-07-06,0.1141,0.0021
553,2021-07-07,0.1207,0.0022
554,2021-07-08,0.1297,0.0026
555,2021-07-09,0.1392,0.0031
557,2021-07-11,0.148,0.0031
558,2021-07-12,0.1587,0.0033
559,2021-07-13,0.1695,0.0036
560,2021-07-14,0.1798,0.004
561,2021-07-15,0.1906,0.0046
562,2021-07-16,0.2031,0.0053
564,2021-07-18,0.2147,0.0055
565,2021-07-19,0.2238,0.006
566,2021-07-20,0.234,0.0065
567,2021-07-21,0.2424,0.0075
568,2021-07-22,0.2484,0.0085
569,2021-07-23,0.2593,0.0097
571,2021-07-25,0.2727,0.0102
572,2021-07-26,0.2862,0.0111
573,2021-07-27,0.298,0.0122
574,2021-07-28,0.3083,0.0134
575,2021-07-29,0.3173,0.0145
576,2021-07-30,0.3268,0.0162
578,2021-08-01,0.3341,0.0165
579,2021-08-02,0.3392,0.0171
580,2021-08-03,0.3427,0.0177
581,2021-08-04,0.3464,0.0185
582,2021-08-05,0.3569,0.0194
583,2021-08-06,0.3672,0.0209
585,2021-08-08,0.3679,0.0212
586,2021-08-09,0.3692,0.022
587,2021-08-10,0.3699,0.0229
588,2021-08-11,0.3759,0.024
589,2021-08-12,0.3818,0.0253
590,2021-08-13,0.3858,0.0275
592,2021-08-15,0.3884,0.0281
593,2021-08-16,0.3902,0.029
594,2021-08-17,0.392,0.0298
595,2021-08-18,0.3926,0.0307
596,2021-08-19,0.393,0.0316
597,2021-08-20,0.3937,0.0327
599,2021-08-22,0.3939,0.0329
600,2021-08-23,0.4012,0.0332
601,2021-08-24,0.4071,0.034
602,2021-08-25,0.4103,0.0347
603,2021-08-26,0.413,0.0357
604,2021-08-27,0.4201,0.0369
606,2021-08-29,0.4242,0.0373
607,2021-08-30,0.4251,0.0382
608,2021-08-31,0.4255,0.039
609,2021-09-01,0.4259,0.0397
610,2021-09-02,0.4261,0.0404
611,2021-09-03,0.4355,0.0412
613,2021-09-05,0.4409,0.0416
614,2021-09-06,0.4438,0.0419
615,2021-09-07,0.4474,0.0422
616,2021-09-08,0.4516,0.0428
617,2021-09-09,0.4638,0.0433
618,2021-09-10,0.4775,0.044
620,2021-09-12,0.484,0.0444
621,2021-09-13,0.4847,0.0447
622,2021-09-14,0.4851,0.045
623,2021-09-15,0.4868,0.0519
624,2021-09-16,0.4891,0.0594
625,2021-09-17,0.4915,0.0669
629,2021-09-21,0.4956,0.0727
630,2021-09-22,0.4987,0.0774
631,2021-09-23,0.505,0.0824
632,2021-09-24,0.5119,0.0876
634,2021-09-26,0.5205,0.0912
635,2021-09-27,0.5321,0.0938
636,2021-09-28,0.5432,0.0966
637,2021-09-29,0.5539,0.1007
638,2021-09-30,0.5614,0.1118
639,2021-10-01,0.5691,0.1209
641,2021-10-03,0.5714,0.1306
