date,interpolated,total,AZ,Moderna,Medigen,Pfizer
2021-01-01,1,0,0,0,0,0
2021-01-02,1,0,0,0,0,0
2021-01-03,1,0,0,0,0,0
2021-01-04,1,0,0,0,0,0
2021-01-05,1,0,0,0,0,0
2021-01-06,1,0,0,0,0,0
2021-01-07,1,0,0,0,0,0
2021-01-08,1,0,0,0,0,0
2021-01-09,1,0,0,0,0,0
2021-01-10,1,0,0,0,0,0
2021-01-11,1,0,0,0,0,0
2021-01-12,1,0,0,0,0,0
2021-01-13,1,0,0,0,0,0
2021-01-14,1,0,0,0,0,0
2021-01-15,1,0,0,0,0,0
2021-01-16,1,0,0,0,0,0
2021-01-17,1,0,0,0,0,0
2021-01-18,1,0,0,0,0,0
2021-01-19,1,0,0,0,0,0
2021-01-20,1,0,0,0,0,0
2021-01-21,1,0,0,0,0,0
2021-01-22,1,0,0,0,0,0
2021-01-23,1,0,0,0,0,0
2021-01-24,1,0,0,0,0,0
2021-01-25,1,0,0,0,0,0
2021-01-26,1,0,0,0,0,0
2021-01-27,1,0,0,0,0,0
2021-01-28,1,0,0,0,0,0
2021-01-29,1,0,0,0,0,0
2021-01-30,1,0,0,0,0,0
2021-01-31,1,0,0,0,0,0
2021-02-01,1,0,0,0,0,0
2021-02-02,1,0,0,0,0,0
2021-02-03,1,0,0,0,0,0
2021-02-04,1,0,0,0,0,0
2021-02-05,1,0,0,0,0,0
2021-02-06,1,0,0,0,0,0
2021-02-07,1,0,0,0,0,0
2021-02-08,1,0,0,0,0,0
2021-02-09,1,0,0,0,0,0
2021-02-10,1,0,0,0,0,0
2021-02-11,1,0,0,0,0,0
2021-02-12,1,0,0,0,0,0
2021-02-13,1,0,0,0,0,0
2021-02-14,1,0,0,0,0,0
2021-02-15,1,0,0,0,0,0
2021-02-16,1,0,0,0,0,0
2021-02-17,1,0,0,0,0,0
2021-02-18,1,0,0,0,0,0
2021-02-19,1,0,0,0,0,0
2021-02-20,1,0,0,0,0,0
2021-02-21,1,0,0,0,0,0
2021-02-22,1,0,0,0,0,0
2021-02-23,1,0,0,0,0,0
2021-02-24,1,0,0,0,0,0
2021-02-25,1,0,0,0,0,0
2021-02-26,1,0,0,0,0,0
2021-02-27,1,0,0,0,0,0
2021-02-28,1,0,0,0,0,0
2021-03-01,1,0,0,0,0,0
2021-03-02,1,0,0,0,0,0
2021-03-03,1,0,0,0,0,0
2021-03-04,1,0,0,0,0,0
2021-03-05,1,0,0,0,0,0
2021-03-06,1,0,0,0,0,0
2021-03-07,1,0,0,0,0,0
2021-03-08,1,0,0,0,0,0
2021-03-09,1,0,0,0,0,0
2021-03-10,1,0,0,0,0,0
2021-03-11,1,0,0,0,0,0
2021-03-12,1,0,0,0,0,0
2021-03-13,1,0,0,0,0,0
2021-03-14,1,0,0,0,0,0
2021-03-15,1,0,0,0,0,0
2021-03-16,1,0,0,0,0,0
2021-03-17,1,0,0,0,0,0
2021-03-18,1,0,0,0,0,0
2021-03-19,1,0,0,0,0,0
2021-03-20,1,0,0,0,0,0
2021-03-21,0,0,0,0,0,0
2021-03-22,0,1578,1578,0,0,0
2021-03-23,0,3218,3218,0,0,0
2021-03-24,0,5169,5169,0,0,0
2021-03-25,0,7053,7053,0,0,0
2021-03-26,0,9232,9232,0,0,0
2021-03-27,0,9377,9377,0,0,0
2021-03-28,0,9412,9412,0,0,0
2021-03-29,0,10891,10891,0,0,0
2021-03-30,0,12648,12648,0,0,0
2021-03-31,0,14400,14400,0,0,0
2021-04-01,0,16450,16450,0,0,0
2021-04-02,0,17056,17056,0,0,0
2021-04-03,0,17078,17078,0,0,0
2021-04-04,0,17078,17078,0,0,0
2021-04-05,0,17245,17245,0,0,0
2021-04-06,0,18657,18657,0,0,0
2021-04-07,0,20075,20075,0,0,0
2021-04-08,0,21873,21873,0,0,0
2021-04-09,0,24450,24450,0,0,0
2021-04-10,0,24658,24658,0,0,0
2021-04-11,0,24701,24701,0,0,0
2021-04-12,0,25882,25882,0,0,0
2021-04-13,0,27113,27113,0,0,0
2021-04-14,0,28497,28497,0,0,0
