date,entry,exit,total,entry_avg,exit_avg,total_avg
2022-01-01,1556,1582,3138,2070.8571,1298.1429,3369.0
2022-01-02,1659,1151,2810,1983.8571,1245.2857,3229.1429
2022-01-03,1614,857,2471,2003.0,1265.8571,3268.8571
2022-01-04,1926,967,2893,2016.0,1231.8571,3247.8571
2022-01-05,2790,1857,4647,2024.5714,1280.5714,3305.1429
2022-01-06,2649,1442,4091,2131.0,1321.5714,3452.5714
2022-01-07,3883,2241,6124,2296.7143,1442.4286,3739.1429
2022-01-08,3231,2062,5293,2536.0,1511.0,4047.0
2022-01-09,2787,1553,4340,2697.1429,1568.4286,4265.5714
2022-01-10,2741,1027,3768,2858.1429,1592.7143,4450.8571
2022-01-11,2065,1248,3313,2878.0,1632.8571,4510.8571
2022-01-12,2773,2097,4870,2875.5714,1667.1429,4542.7143
2022-01-13,2804,1470,4274,2897.7143,1671.1429,4568.8571
2022-01-14,3886,1975,5861,2898.1429,1633.1429,4531.2857
2022-01-15,3887,1951,5838,2991.8571,1617.2857,4609.1429
2022-01-16,2905,1612,4517,3008.7143,1625.7143,4634.4286
2022-01-17,1059,673,1732,2768.4286,1575.1429,4343.5714
2022-01-18,1075,1350,2425,2627.0,1589.7143,4216.7143
2022-01-19,1284,1876,3160,2414.2857,1558.1429,3972.4286
2022-01-20,1438,1390,2828,2219.1429,1546.7143,3765.8571
2022-01-21,1720,2001,3721,1909.7143,1550.4286,3460.1429
2022-01-22,1375,1518,2893,1550.8571,1488.5714,3039.4286
2022-01-23,1619,1498,3117,1367.1429,1472.2857,2839.4286
2022-01-24,946,555,1501,1351.0,1455.4286,2806.4286
2022-01-25,802,941,1743,1312.0,1397.0,2709.0
2022-01-26,1276,1633,2909,1310.8571,1362.2857,2673.1429
2022-01-27,848,1242,2090,1226.5714,1341.1429,2567.7143
2022-01-28,1559,1634,3193,1203.5714,1288.7143,2492.2857
2022-01-29,629,1024,1653,1097.0,1218.1429,2315.1429
2022-01-30,1107,795,1902,1023.8571,1117.7143,2141.5714
2022-01-31,459,270,729,954.2857,1077.0,2031.2857
2022-02-01,729,399,1128,943.8571,999.5714,1943.4286
2022-02-02,839,662,1501,881.4286,860.8571,1742.2857
2022-02-03,1055,1149,2204,911.0,847.5714,1758.5714
2022-02-04,1531,1641,3172,907.0,848.5714,1755.5714
2022-02-05,1233,2060,3293,993.2857,996.5714,1989.8571
2022-02-06,1700,2768,4468,1078.0,1278.4286,2356.4286
2022-02-07,1220,2443,3663,1186.7143,1588.8571,2775.5714
2022-02-08,1296,2625,3921,1267.7143,1906.8571,3174.5714
2022-02-09,1689,3783,5472,1389.1429,2352.7143,3741.8571
2022-02-10,1778,4155,5933,1492.4286,2782.1429,4274.5714
2022-02-11,2265,3389,5654,1597.2857,3031.8571,4629.1429
2022-02-12,1750,3165,4915,1671.1429,3189.7143,4860.8571
2022-02-13,2233,3714,5947,1747.2857,3324.8571,5072.1429
2022-02-14,1195,2664,3859,1743.7143,3356.4286,5100.1429
2022-02-15,707,2730,3437,1659.5714,3371.4286,5031.0
2022-02-16,1629,4192,5821,1651.0,3429.8571,5080.8571
2022-02-17,1056,2936,3992,1547.8571,3255.7143,4803.5714
2022-02-18,1528,3492,5020,1442.5714,3270.4286,4713.0
2022-02-19,918,2841,3759,1323.7143,3224.1429,4547.8571
2022-02-20,1233,2665,3898,1180.8571,3074.2857,4255.1429
2022-02-21,709,1983,2692,1111.4286,2977.0,4088.4286
2022-02-22,760,2202,2962,1119.0,2901.5714,4020.5714
2022-02-23,1342,3272,4614,1078.0,2770.1429,3848.1429
2022-02-24,1193,2427,3620,1097.5714,2697.4286,3795.0
2022-02-25,1526,2845,4371,1097.2857,2605.0,3702.2857
2022-02-26,1110,2562,3672,1124.7143,2565.1429,3689.8571
2022-02-27,1363,2032,3395,1143.2857,2474.7143,3618.0
2022-02-28,839,1878,2717,1161.8571,2459.7143,3621.5714
2022-03-01,734,2023,2757,1158.1429,2434.1429,3592.2857
2022-03-02,1079,2977,4056,1120.5714,2392.0,3512.5714
2022-03-03,942,2597,3539,1084.7143,2416.2857,3501.0
2022-03-04,1026,2626,3652,1013.2857,2385.0,3398.2857
2022-03-05,558,2557,3115,934.4286,2384.2857,3318.7143
2022-03-06,481,1714,2195,808.4286,2338.8571,3147.2857
2022-03-07,2088,1502,3590,986.8571,2285.1429,3272.0
2022-03-08,1800,1693,3493,1139.1429,2238.0,3377.1429
2022-03-09,2634,3019,5653,1361.2857,2244.0,3605.2857
2022-03-10,2090,2494,4584,1525.2857,2229.2857,3754.5714
2022-03-11,2204,2464,4668,1693.5714,2206.1429,3899.7143
2022-03-12,1800,2427,4227,1871.0,2187.5714,4058.5714
2022-03-13,1739,1773,3512,2050.7143,2196.0,4246.7143
2022-03-14,962,1279,2241,1889.8571,2164.1429,4054.0
2022-03-15,1403,2127,3530,1833.1429,2226.1429,4059.2857
2022-03-16,2105,2971,5076,1757.5714,2219.2857,3976.8571
2022-03-17,1751,1981,3732,1709.1429,2146.0,3855.1429
2022-03-18,2329,2515,4844,1727.0,2153.2857,3880.2857
2022-03-19,1835,1889,3724,1732.0,2076.4286,3808.4286
2022-03-20,2250,1559,3809,1805.0,2045.8571,3850.8571
2022-03-21,1181,1039,2220,1836.2857,2011.5714,3847.8571
2022-03-22,1286,1533,2819,1819.5714,1926.7143,3746.2857
2022-03-23,1776,2582,4358,1772.5714,1871.1429,3643.7143
2022-03-24,1522,2206,3728,1739.8571,1903.2857,3643.1429
2022-03-25,1936,2459,4395,1683.7143,1895.2857,3579.0
2022-03-26,1859,1963,3822,1687.1429,1905.8571,3593.0
2022-03-27,1829,1328,3157,1627.0,1872.8571,3499.8571
2022-03-28,1066,998,2064,1610.5714,1867.0,3477.5714
2022-03-29,1265,1684,2949,1607.5714,1888.5714,3496.1429
2022-03-30,1760,2885,4645,1605.2857,1931.8571,3537.1429
2022-03-31,2127,2314,4441,1691.7143,1947.2857,3639.0
2022-04-01,2622,3165,5787,1789.7143,2048.1429,3837.8571
2022-04-02,2260,2005,4265,1847.0,2054.1429,3901.1429
2022-04-03,1839,1547,3386,1848.4286,2085.4286,3933.8571
2022-04-04,842,893,1735,1816.4286,2070.4286,3886.8571
2022-04-05,1463,1211,2674,1844.7143,2002.8571,3847.5714
2022-04-06,2088,2558,4646,1891.5714,1956.1429,3847.7143
2022-04-07,2135,2368,4503,1892.7143,1963.8571,3856.5714
