date,imported,linked,unlinked,fleet,plane,unknown
2022-01-01,21,0,0,0,0,0
2022-01-02,19,1,0,0,0,0
2022-01-03,25,0,0,0,0,0
2022-01-04,30,3,1,0,0,0
2022-01-05,25,1,0,0,0,0
2022-01-06,39,4,0,0,0,0
2022-01-07,58,3,1,0,0,0
2022-01-08,42,1,1,0,0,0
2022-01-09,49,6,5,0,0,0
2022-01-10,26,6,0,0,0,0
2022-01-11,58,12,0,0,0,0
2022-01-12,92,3,1,0,0,0
2022-01-13,51,14,0,0,0,0
2022-01-14,57,11,0,0,0,0
2022-01-15,72,6,0,0,0,0
2022-01-16,41,7,3,0,0,0
2022-01-17,48,15,2,0,0,0
2022-01-18,49,15,2,0,0,0
2022-01-19,44,9,0,0,0,0
2022-01-20,24,11,2,0,0,0
