date,total,imported,local,others,total_avg,imported_avg,local_avg,others_avg
2022-01-01,21,21,0,0,22.7143,22.1429,0.5714,0.0
2022-01-02,20,19,1,0,22.1429,21.5714,0.5714,0.0
2022-01-03,25,25,0,0,23.4286,22.8571,0.5714,0.0
2022-01-04,34,30,4,0,25.5714,24.5714,1.0,0.0
2022-01-05,26,25,1,0,27.2857,26.1429,1.1429,0.0
2022-01-06,43,39,4,0,30.0,28.4286,1.5714,0.0
2022-01-07,62,58,4,0,33.0,31.0,2.0,0.0
2022-01-08,44,42,2,0,36.2857,34.0,2.2857,0.0
2022-01-09,60,49,11,0,42.0,38.2857,3.7143,0.0
2022-01-10,32,26,6,0,43.0,38.4286,4.5714,0.0
2022-01-11,70,58,12,0,48.1429,42.4286,5.7143,0.0
2022-01-12,96,92,4,0,58.1429,52.0,6.1429,0.0
2022-01-13,65,51,14,0,61.2857,53.7143,7.5714,0.0
2022-01-14,68,57,11,0,62.1429,53.5714,8.5714,0.0
2022-01-15,78,72,6,0,67.0,57.8571,9.1429,0.0
2022-01-16,50,41,9,0,65.5714,56.7143,8.8571,0.0
2022-01-17,64,48,16,0,70.1429,59.8571,10.2857,0.0
2022-01-18,66,49,17,0,69.5714,58.5714,11.0,0.0
2022-01-19,53,44,9,0,63.4286,51.7143,11.7143,0.0
2022-01-20,37,24,13,0,59.4286,47.8571,11.5714,0.0
2022-01-21,64,45,19,0,58.8571,46.1429,12.7143,0.0
2022-01-22,130,48,82,0,66.2857,42.7143,23.5714,0.0
2022-01-23,89,37,52,0,71.8571,42.1429,29.7143,0.0
2022-01-24,51,36,15,0,70.0,40.4286,29.5714,0.0
2022-01-25,38,25,13,0,66.0,37.0,29.0,0.0
2022-01-26,92,46,46,0,71.5714,37.2857,34.2857,0.0
2022-01-27,64,43,21,0,75.4286,40.0,35.4286,0.0
