difference,total
0,1
1,0
2,45
3,607
4,756
5,788
6,780
7,763
8,748
9,758
10,683
11,604
12,600
13,529
14,474
15,463
16,380
17,373
18,310
19,273
20,245
21,247
22,182
23,173
24,158
25,161
26,129
27,114
28,103
29,100
30,91
31,92
32,79
33,57
34,57
35,52
36,56
37,51
38,44
39,51
40,41
41,27
42,38
43,22
44,34
45,26
46,25
47,19
48,23
49,20
50,16
51,11
52,11
53,15
54,11
55,15
56,14
57,13
58,14
59,8
60,13
61,18
62,9
63,14
64,6
65,7
66,5
67,5
68,5
69,3
70,7
71,5
72,5
73,5
74,2
75,4
76,2
77,6
78,5
79,1
80,101
