county,total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
total,8326729,478,361,495,105521,1985970,1680298,796240,729591,1155672,1241092,580727,50284
Keelung,153054,2,0,101,6063,51018,22267,11423,12560,22399,18928,7681,612
Taipei,829797,24,26,35,21731,245942,102699,69289,80764,134178,121494,49452,4163
New_Taipei,1734540,19,87,114,39010,569399,236140,136248,154202,253862,240486,96881,8092
Taoyuan,912984,304,127,64,16151,264616,151450,81886,80028,124693,127771,60315,5579
Hsinchu,225919,5,4,61,1387,53497,42051,21876,22313,34686,32055,16253,1731
Hsinchu_C,180157,6,0,5,963,34950,33749,17586,19538,29707,27574,14582,1497
Miaoli,185095,0,14,0,563,32582,39194,21100,20591,27340,28608,13741,1362
Taichung,1021041,2,1,2,4660,178114,248287,104335,88200,148555,163505,78606,6774
Changhua,398860,0,1,8,1071,59585,119973,40333,30036,51803,64496,28649,2905
Nantou,138045,0,0,0,371,20041,38089,15152,11818,20733,20975,9997,869
Yunlin,174115,0,0,6,792,24999,42266,21186,16524,24205,28994,13898,1245
Chiayi,127743,0,0,6,322,16840,32267,16008,11648,17139,22001,10646,866
Chiayi_C,81424,0,0,4,212,10676,20799,9395,7314,11250,14225,7009,540
Tainan,584494,4,8,23,1687,106292,148208,60755,48135,66068,96132,53413,3769
Kaohsiung,925947,105,87,39,3400,178054,254727,92561,65413,101447,142987,80505,6622
Pingtung,239810,1,3,0,1028,47036,67064,25366,16990,27176,35514,18077,1555
Yilan,167019,6,3,5,2310,41996,29433,18250,15572,26189,24122,8408,725
Hualien,127917,0,0,4,3100,30672,24977,14426,13078,18647,15791,6513,709
Taitung,69907,0,0,17,547,13989,17406,9699,7044,8643,8528,3650,384
Penghu,24285,0,0,0,47,2980,5509,4246,4139,3409,2968,897,90
Kinmen,20969,0,0,1,71,2145,3047,4407,3301,2972,3458,1379,188
Matsu,3607,0,0,0,35,547,696,713,383,571,480,175,7
