date,discharged,hospitalized,death
2022-01-01,14875,1328,847
2022-01-02,14875,1348,847
2022-01-03,14875,1373,847
2022-01-04,14875,1407,847
2022-01-05,14875,1433,847
2022-01-06,14875,1474,847
2022-01-07,14875,1536,847
2022-01-08,14875,1580,847
2022-01-09,14875,1639,847
2022-01-10,14875,1671,847
2022-01-11,14875,1741,847
2022-01-12,14875,1837,847
2022-01-13,14875,1902,847
2022-01-14,14875,1969,847
2022-01-15,14875,2047,847
2022-01-16,14875,2097,847
2022-01-17,14875,2160,848
2022-01-18,14875,2226,848
2022-01-19,14875,2279,848
2022-01-20,14875,2316,848
2022-01-21,14875,2380,848
2022-01-22,14875,2508,848
2022-01-23,14875,2594,848
2022-01-24,14875,2645,848
2022-01-25,14875,2683,848
2022-01-26,14875,2775,848
2022-01-27,14875,2839,848
2022-01-28,14875,2909,848
2022-01-29,14875,2956,848
2022-01-30,14875,3010,848
2022-01-31,14875,3065,848
2022-02-01,14875,3125,848
2022-02-02,14875,3178,848
2022-02-03,14875,3233,848
2022-02-04,14875,3303,849
2022-02-05,14875,3375,849
2022-02-06,14875,3418,849
2022-02-07,14875,3467,849
2022-02-08,14875,3515,849
2022-02-09,14875,3569,849
2022-02-10,14875,3652,849
2022-02-11,14875,3731,849
2022-02-12,14875,3789,849
2022-02-13,14875,3839,849
2022-02-14,14875,3893,849
2022-02-15,14875,3938,849
2022-02-16,14875,4005,849
2022-02-17,14875,4073,849
2022-02-18,14875,4140,849
2022-02-19,14875,4213,849
2022-02-20,14875,4283,849
2022-02-21,14875,4332,849
2022-02-22,14875,4376,849
2022-02-23,14875,4432,850
2022-02-24,14875,4512,850
2022-02-25,14875,4580,850
2022-02-26,14875,4648,850
2022-02-27,14875,4708,850
2022-02-28,14875,4764,850
2022-03-01,14875,4808,850
2022-03-02,14875,4857,850
2022-03-03,14875,4928,850
2022-03-04,14875,4992,850
2022-03-05,14875,5072,850
2022-03-06,14875,5115,850
2022-03-07,14875,5144,850
2022-03-08,14875,5197,850
2022-03-09,14875,5274,850
2022-03-10,14875,5356,850
2022-03-11,14875,5438,850
2022-03-12,14875,5500,850
2022-03-13,14875,5563,850
2022-03-14,14875,5638,850
2022-03-15,14875,5677,850
2022-03-16,14875,5767,850
2022-03-17,14875,5858,850
2022-03-18,14875,5933,850
2022-03-19,14875,6059,850
2022-03-20,14875,6180,850
2022-03-21,14875,6278,850
2022-03-22,14875,6367,850
2022-03-23,14875,6464,850
2022-03-24,14875,6603,850
2022-03-25,14875,6739,850
2022-03-26,14875,6842,850
2022-03-27,14875,7045,850
2022-03-28,14875,7172,850
2022-03-29,14875,7268,850
2022-03-30,14875,7431,850
2022-03-31,14875,7670,850
2022-04-01,14875,7906,850
2022-04-02,14875,8310,850
2022-04-03,14875,8590,850
2022-04-04,14875,8865,850
2022-04-05,14875,9146,850
2022-04-06,14875,9505,850
2022-04-07,14875,10035,851
2022-04-08,14875,10541,851
2022-04-09,14875,11119,851
2022-04-10,14875,11689,851
2022-04-11,14875,12319,851
2022-04-12,14875,12944,851
2022-04-13,14875,13877,851
2022-04-14,14875,14858,851
2022-04-15,14875,15986,851
2022-04-16,14875,17333,852
2022-04-17,14875,18630,853
2022-04-18,14875,20103,853
2022-04-19,14875,21981,854
2022-04-20,14875,24455,856
2022-04-21,14875,27512,856
2022-04-22,14875,31368,857
2022-04-23,14875,35566,857
2022-04-24,14875,40736,857
2022-04-25,14875,45954,857
2022-04-26,14875,52290,857
2022-04-27,14875,61204,859
2022-04-28,14875,72711,860
2022-04-29,14875,84616,862
2022-04-30,14875,100143,865
2022-05-01,14875,117212,868
2022-05-02,14875,135062,871
2022-05-03,14875,158191,876
2022-05-04,14875,186662,881
2022-05-05,14875,216641,886
2022-05-06,14875,252798,896
2022-05-07,14875,299201,907
2022-05-08,14875,341477,919
2022-05-09,14875,381698,931
2022-05-10,14875,432505,943
2022-05-11,14875,489629,951
2022-05-12,14875,555027,968
2022-05-13,14875,619986,1009
2022-05-14,14875,683900,1049
2022-05-15,14875,752600,1068
2022-05-16,14875,814285,1097
2022-05-17,14875,880049,1135
2022-05-18,14875,965090,1176
2022-05-19,14875,1054451,1235
2022-05-20,14875,1140132,1284
2022-05-21,14875,1224679,1343
2022-05-22,14875,1304100,1396
2022-05-23,14875,1370329,1436
2022-05-24,14875,1452666,1478
2022-05-25,14875,1541951,1554
2022-05-26,14875,1623738,1658
2022-05-27,14875,1718408,1784
2022-05-28,14875,1798917,1911
2022-05-29,14875,1875341,2056
2022-05-30,14875,1935315,2165
2022-05-31,14875,2015853,2255
2022-06-01,14875,2103979,2377
2022-06-02,14875,2180765,2521
2022-06-03,14875,2257128,2663
2022-06-04,14875,2325104,2815
2022-06-05,14875,2387057,2939
2022-06-06,14875,2439916,3090
2022-06-07,14875,2522782,3214
2022-06-08,14875,2602693,3373
2022-06-09,14875,2675328,3584
2022-06-10,14875,2743408,3797
2022-06-11,14875,2822813,4008
2022-06-12,14875,2873217,4171
2022-06-13,14875,2918208,4280
2022-06-14,14875,2984223,4403
2022-06-15,14875,3053011,4546
2022-06-16,14875,3115976,4714
2022-06-17,14875,3171044,4868
2022-06-18,14875,3224529,5049
2022-06-19,14875,3274980,5221
2022-06-20,14875,3310455,5365
2022-06-21,14875,3366706,5480
2022-06-22,14875,3418753,5651
2022-06-23,14875,3466907,5817
2022-06-24,14875,3512491,5969
2022-06-25,14875,3552708,6120
2022-06-26,14875,3592216,6254
2022-06-27,14875,3620701,6345
2022-06-28,14875,3665015,6448
2022-06-29,14875,3706955,6533
2022-06-30,14875,3745757,6651
2022-07-01,14875,3781402,6772
2022-07-02,14875,3816113,6868
2022-07-03,14875,3848697,6956
2022-07-04,14875,3871743,7025
2022-07-05,14875,3907624,7128
2022-07-06,14875,3942090,7223
2022-07-07,14875,3973418,7328
2022-07-08,14875,4003733,7459
2022-07-09,14875,4031761,7553
2022-07-10,14875,4059529,7624
2022-07-11,14875,4078561,7720
2022-07-12,14875,4109774,7780
2022-07-13,14875,4139586,7829
2022-07-14,14875,4167136,7918
2022-07-15,14875,4192293,8032
2022-07-16,14875,4217487,8104
2022-07-17,14875,4241736,8177
2022-07-18,14875,4259677,8225
2022-07-19,14875,4286767,8262
2022-07-20,14875,4313882,8319
2022-07-21,14875,4338959,8393
2022-07-22,14875,4362932,8479
2022-07-23,14875,4385450,8532
2022-07-24,14875,4407111,8597
2022-07-25,14875,4424182,8650
2022-07-26,14875,4449193,8687
2022-07-27,14875,4474826,8715
2022-07-28,14875,4498713,8777
2022-07-29,14875,4521927,8834
2022-07-30,14875,4543353,8894
2022-07-31,14875,4564382,8928
2022-08-01,14875,4580922,8964
2022-08-02,14875,4604424,8995
2022-08-03,14875,4628284,9027
2022-08-04,14875,4651170,9083
2022-08-05,14875,4672957,9137
2022-08-06,14875,4692756,9188
2022-08-07,14875,4714756,9230
2022-08-08,14875,4730137,9256
2022-08-09,14875,4753754,9274
2022-08-10,14875,4777502,9299
2022-08-11,14875,4800332,9343
2022-08-12,14875,4822252,9374
2022-08-13,14875,4843477,9414
2022-08-14,14875,4864529,9436
2022-08-15,14875,4880289,9458
2022-08-16,14875,4903405,9474
2022-08-17,14875,4928188,9507
2022-08-18,14875,4951554,9541
2022-08-19,14875,4974317,9573
2022-08-20,14875,4996411,9609
2022-08-21,14875,5018765,9635
2022-08-22,14875,5035645,9658
2022-08-23,14875,5061972,9674
2022-08-24,14875,5090485,9692
2022-08-25,14875,5117675,9729
2022-08-26,14875,5144348,9774
2022-08-27,14875,5170161,9814
2022-08-28,14875,5196865,9845
2022-08-29,14875,5217267,9867
2022-08-30,14875,5248680,9894
2022-08-31,14875,5283239,9915
2022-09-01,14875,5317280,9951
2022-09-02,14875,5351021,9987
2022-09-03,14875,5383737,10029
2022-09-04,14875,5418042,10064
2022-09-05,14875,5442089,10095
2022-09-06,14875,5478734,10116
2022-09-07,14875,5519957,10142
2022-09-08,14875,5554981,10171
2022-09-09,14875,5589126,10226
2022-09-10,14875,5624897,10256
2022-09-11,14875,5656973,10285
2022-09-12,14875,5682500,10313
2022-09-13,14875,5729478,10330
2022-09-14,14875,5779101,10367
2022-09-15,14875,5824449,10424
2022-09-16,14875,5866010,10470
2022-09-17,14875,5905542,10510
2022-09-18,14875,5945014,10549
2022-09-19,14875,5973405,10580
2022-09-20,14875,6018059,10605
2022-09-21,14875,6064854,10644
2022-09-22,14875,6107216,10703
2022-09-23,14875,6147150,10744
2022-09-24,14875,6185423,10795
2022-09-25,14875,6224347,10829
2022-09-26,14875,6253034,10885
2022-09-27,14875,6298790,10913
2022-09-28,14875,6347295,10951
2022-09-29,14875,6392062,11004
2022-09-30,14875,6435471,11054
2022-10-01,14875,6478445,11102
2022-10-02,14875,6521669,11164
2022-10-03,14875,6555040,11202
2022-10-04,14875,6604534,11233
2022-10-05,14875,6659360,11281
2022-10-06,14875,6705726,11338
2022-10-07,14875,6756399,11390
2022-10-08,14875,6800648,11466
2022-10-09,14875,6845135,11528
2022-10-10,14875,6877150,11585
2022-10-11,14875,6918522,11621
2022-10-12,14875,6970843,11658
2022-10-13,14875,7024188,11687
2022-10-14,14875,7072328,11767
2022-10-15,14875,7115699,11844
2022-10-16,14875,7157128,11909
2022-10-17,14875,7185901,11962
2022-10-18,14875,7230722,11995
2022-10-19,14875,7275276,12037
2022-10-20,14875,7314962,12129
2022-10-21,14875,7352123,12207
2022-10-22,14875,7387695,12259
2022-10-23,14875,7422959,12324
2022-10-24,14875,7449217,12386
2022-10-25,14875,7488327,12428
2022-10-26,14875,7528529,12480
2022-10-27,14875,7564102,12564
2022-10-28,14875,7598607,12621
2022-10-29,14875,7631008,12697
2022-10-30,14875,7662462,12773
2022-10-31,14875,7685019,12832
2022-11-01,14875,7719216,12878
2022-11-02,14875,7752319,12931
2022-11-03,14875,7782190,13012
2022-11-04,14875,7809697,13086
2022-11-05,14875,7835165,13153
2022-11-06,14875,7859463,13200
2022-11-07,14875,7875985,13234
2022-11-08,14875,7900928,13249
2022-11-09,14875,7925695,13315
2022-11-10,14875,7947949,13381
2022-11-11,14875,7968172,13443
2022-11-12,14875,7987320,13503
2022-11-13,14875,8005856,13564
2022-11-14,14875,8022422,13604
2022-11-15,14875,8040920,13647
2022-11-16,14875,8063527,13716
2022-11-17,14875,8083566,13793
2022-11-18,14875,8101505,13851
2022-11-19,14875,8118005,13910
2022-11-20,,,
2022-11-21,,,
2022-11-22,,,
2022-11-23,,,
2022-11-24,,,
2022-11-25,,,
2022-11-26,,,
