age,total,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0-4,37279,24775,12504,0,0,0,0,0,0,0,0,0,0
5-9,42124,27808,14316,0,0,0,0,0,0,0,0,0,0
10-14,43556,30901,12655,0,0,0,0,0,0,0,0,0,0
15-19,43467,31672,11795,0,0,0,0,0,0,0,0,0,0
20-24,72730,51243,21487,0,0,0,0,0,0,0,0,0,0
25-29,98699,69811,28888,0,0,0,0,0,0,0,0,0,0
30-34,95752,67260,28492,0,0,0,0,0,0,0,0,0,0
35-39,90997,63524,27473,0,0,0,0,0,0,0,0,0,0
40-44,95528,66499,29029,0,0,0,0,0,0,0,0,0,0
45-49,76043,52961,23082,0,0,0,0,0,0,0,0,0,0
50-54,65669,45367,20302,0,0,0,0,0,0,0,0,0,0
55-59,59128,40540,18588,0,0,0,0,0,0,0,0,0,0
60-64,51480,34969,16511,0,0,0,0,0,0,0,0,0,0
65-69,46250,31357,14893,0,0,0,0,0,0,0,0,0,0
70+,87435,58160,29275,0,0,0,0,0,0,0,0,0,0
