date,death,death_avg
2023-01-01,20,24.8571
2023-01-02,0,22.8571
2023-01-03,22,25.0
2023-01-04,17,23.8571
2023-01-05,45,25.1429
2023-01-06,62,29.1429
2023-01-07,61,32.4286
2023-01-08,144,50.1429
2023-01-09,40,55.8571
2023-01-10,26,56.4286
2023-01-11,46,60.5714
2023-01-12,48,61.0
2023-01-13,53,59.7143
2023-01-14,47,57.7143
2023-01-15,31,41.5714
2023-01-16,40,41.5714
2023-01-17,30,42.1429
2023-01-18,26,39.2857
2023-01-19,48,39.2857
2023-01-20,0,31.7143
2023-01-21,0,25.0
2023-01-22,0,20.5714
2023-01-23,0,14.8571
2023-01-24,0,10.5714
2023-01-25,0,6.8571
2023-01-26,0,0.0
2023-01-27,0,0.0
2023-01-28,0,0.0
2023-01-29,0,0.0
2023-01-30,0,0.0
2023-01-31,0,0.0
2023-02-01,0,0.0
2023-02-02,0,0.0
2023-02-03,0,0.0
2023-02-04,0,0.0
2023-02-05,0,0.0
2023-02-06,0,0.0
