symptom,age,value,label
cough,80s,0.032663320374969176,+3%
fever,80s,0.03581255618917122,+4%
throatache,80s,-0.05297238355200972,-5%
sneezing,80s,0.06511585959125224,+7%
fatigue,80s,0.037105909089312314,+4%
anosmia,80s,-0.033068619134772506,-3%
soreness,80s,-0.030245378019245615,-3%
headache,80s,-0.0281901773494046,-3%
diarrhea,80s,-0.025733430104767634,-3%
ageusia,80s,-0.024449915182049725,-2%
pneumonia,80s,0.08098970391801477,+8%
asymptomatic,80s,-0.021736277193516913,-2%
dyspnea,80s,0.10584983673261181,+11%
chest pain,80s,-0.017945058315848365,-2%
cough,70s,-0.07073885126683344,-7%
fever,70s,0.10532218056459247,+11%
throatache,70s,-0.04174702012653704,-4%
sneezing,70s,-0.09004431034764021,-9%
fatigue,70s,-0.013927338632600686,-1%
anosmia,70s,-0.07489988830437674,-7%
soreness,70s,0.04018977175907325,+4%
headache,70s,-0.06385029644406146,-6%
diarrhea,70s,-0.017183518397546692,-2%
ageusia,70s,-0.055378663037711544,-6%
pneumonia,70s,0.09005254598220774,+9%
asymptomatic,70s,-0.04923231681710724,-5%
dyspnea,70s,-0.04064526728481486,-4%
chest pain,70s,0.015433420331335799,+2%
cough,60s,0.03939408086898376,+4%
fever,60s,-0.017938945541859565,-2%
throatache,60s,-0.0260638130188764,-3%
sneezing,60s,-0.13960904933521517,-14%
fatigue,60s,0.004458037414799974,+0%
anosmia,60s,-0.11935502719133793,-12%
soreness,60s,0.14608334582432958,+15%
headache,60s,-0.11854042645297114,-12%
diarrhea,60s,0.10640624493274331,+11%
ageusia,60s,-0.07794526952179355,-8%
pneumonia,60s,0.17802198858792856,+18%
asymptomatic,60s,0.12833155204467236,+13%
dyspnea,60s,0.11975084307128986,+12%
chest pain,60s,-0.010389342549563812,-1%
cough,50s,0.047443146667050656,+5%
fever,50s,0.11375524249364741,+11%
throatache,50s,-0.03484493344942119,-3%
sneezing,50s,-0.09606778464503557,-10%
fatigue,50s,0.013696123386998903,+1%
anosmia,50s,-0.025256281968343938,-3%
soreness,50s,-0.04259578335066662,-4%
headache,50s,-0.027701639404647333,-3%
diarrhea,50s,0.013520839506163222,+1%
ageusia,50s,-0.04404360783984648,-4%
pneumonia,50s,0.09870668667438223,+10%
asymptomatic,50s,-0.0497178616643237,-5%
dyspnea,50s,0.0074170021245334415,+1%
chest pain,50s,-0.022758151818012995,-2%
cough,40s,-0.05057156810013326,-5%
fever,40s,0.03172149128073018,+3%
throatache,40s,0.04453526430713626,+4%
sneezing,40s,-0.08211078887806192,-8%
fatigue,40s,-0.054942362308900275,-5%
anosmia,40s,-0.004018852447898805,-0%
soreness,40s,-0.045334151055319835,-5%
headache,40s,-0.031997285664037006,-3%
diarrhea,40s,-0.038571288703970405,-4%
ageusia,40s,0.06848749942925532,+7%
pneumonia,40s,-0.06710955988741985,-7%
asymptomatic,40s,-0.01080664770073388,-1%
dyspnea,40s,-0.011852584280295725,-1%
chest pain,40s,0.02038644496210852,+2%
cough,30s,0.0047822809985880186,+0%
fever,30s,0.014848666927962032,+1%
throatache,30s,0.03069987723517808,+3%
sneezing,30s,0.09026551345199568,+9%
fatigue,30s,0.05523918626152503,+6%
anosmia,30s,0.06521779220650174,+7%
soreness,30s,0.05746906223363918,+6%
headache,30s,0.004974250037814244,+0%
diarrhea,30s,0.018590642688470972,+2%
ageusia,30s,0.03532088037060631,+4%
pneumonia,30s,-0.06885616006507052,-7%
asymptomatic,30s,-0.06541275875018421,-7%
dyspnea,30s,-0.025364498312620595,-3%
chest pain,30s,0.045517113410318694,+5%
cough,20s,0.01382319459795734,+1%
fever,20s,-0.19433501302524356,-19%
throatache,20s,0.034342526709882554,+3%
sneezing,20s,0.1610691297884394,+16%
fatigue,20s,-0.0017421603844991196,-0%
anosmia,20s,0.07897586601127796,+8%
soreness,20s,-0.09111996699282465,-9%
headache,20s,0.07802330784979752,+8%
diarrhea,20s,-0.036523766937693686,-4%
ageusia,20s,0.031293263469389036,+3%
pneumonia,20s,-0.10889118842420972,-11%
asymptomatic,20s,0.033265495163002506,+3%
dyspnea,20s,-0.028634109938398808,-3%
chest pain,20s,-0.008291070638879534,-1%
cough,10s,-0.014484136487558074,-1%
fever,10s,0.07601376627653597,+8%
throatache,10s,-0.031972409900377155,-3%
sneezing,10s,-0.0039621442587516875,-0%
fatigue,10s,-0.03881275663823232,-4%
anosmia,10s,-0.002548718714785859,-0%
soreness,10s,0.01087856586440841,+1%
headache,10s,0.15161209119917776,+15%
diarrhea,10s,-0.03445185455179291,-3%
ageusia,10s,0.006970910226374383,+1%
pneumonia,10s,-0.019861453057473825,-2%
asymptomatic,10s,0.021914198204381046,+2%
dyspnea,10s,-0.048408181253029633,-5%
chest pain,10s,-0.04840818125302965,-5%
cough,0s,-0.08533955110645275,-9%
fever,0s,0.10316697715215292,+10%
throatache,0s,-0.06123200132811379,-6%
sneezing,0s,-0.059422836067691026,-6%
fatigue,0s,-0.04044062986109748,-4%
anosmia,0s,-0.038224780442269755,-4%
soreness,0s,-0.034961330845636296,-3%
headache,0s,-0.032585676934921065,-3%
diarrhea,0s,-0.029745866066324338,-3%
ageusia,0s,-0.028262221529631853,-3%
pneumonia,0s,-0.025532146059408227,-3%
asymptomatic,0s,-0.025125464718326232,-3%
dyspnea,0s,-0.0207431072749495,-2%
chest pain,0s,-0.0207431072749495,-2%
