symptom,age,value,label
cough,80s,0.03468490813779662,2
fever,80s,0.03679316754524574,2
throatache,80s,-0.05727345281573191,0
sneezing,80s,0.06957723065920703,2
fatigue,80s,0.04520622887243918,1
anosmia,80s,-0.03369745520121401,0
soreness,80s,-0.030545527248945062,0
headache,80s,-0.02982211646824348,0
pneumonia,80s,0.07842998758595741,1
diarrhea,80s,-0.025236147425134883,0
ageusia,80s,-0.02358304006112906,0
asymptomatic,80s,-0.02315691265152358,0
chest pain,80s,-0.01950662222899425,0
dyspnea,80s,0.11375898546200118,1
cough,70s,-0.11094692509002091,2
fever,70s,0.11441133408121687,10
throatache,70s,-0.03160590817885965,3
sneezing,70s,-0.08512338847917322,1
fatigue,70s,-0.034836176192138545,1
anosmia,70s,-0.0710054692607761,0
soreness,70s,0.06529222124526986,3
headache,70s,-0.06283956344872231,0
pneumonia,70s,0.09805124049693638,3
diarrhea,70s,-0.053176255582387456,0
ageusia,70s,-0.04969291645725861,0
asymptomatic,70s,-0.04879500364742646,0
chest pain,70s,0.021981988657471058,1
dyspnea,70s,-0.04006242274207573,0
cough,60s,0.04038999718376629,21
fever,60s,-0.017023035946752817,17
throatache,60s,-0.026384439150543334,11
sneezing,60s,-0.13808065345629564,4
fatigue,60s,-0.01896107969469605,5
anosmia,60s,-0.10522163827693598,1
soreness,60s,0.11265468164220126,9
headache,60s,-0.11408666648861567,0
pneumonia,60s,0.20089402105351933,10
diarrhea,60s,0.11166300180819336,7
ageusia,60s,-0.0902186278129087,0
asymptomatic,60s,0.16740161622825311,8
chest pain,60s,-0.00017767618131316314,2
dyspnea,60s,0.07964399929488168,4
cough,50s,0.026053380011300677,23
fever,50s,0.11123965100887694,28
throatache,50s,-0.039225213656784184,12
sneezing,50s,-0.09226299746231403,8
fatigue,50s,-0.036730753545730147,5
anosmia,50s,-0.028008223952149955,5
soreness,50s,-0.054405099849611796,3
headache,50s,-0.025644014453898877,4
pneumonia,50s,0.11930656980442236,8
diarrhea,50s,0.007473342180143151,4
ageusia,50s,-0.03830280035050926,2
asymptomatic,50s,-0.035605496182326814,2
chest pain,50s,-0.010688713945232636,2
dyspnea,50s,0.028800174784971988,3
cough,40s,-0.07362719409629762,14
fever,40s,0.03194253884745384,20
throatache,40s,0.026175370694516874,14
sneezing,40s,-0.08457652848879757,7
fatigue,40s,-0.04198917358477634,4
anosmia,40s,0.013230447800538909,6
soreness,40s,-0.06585216938782364,2
headache,40s,-0.036148112262425675,3
pneumonia,40s,-0.06679903668246004,1
diarrhea,40s,-0.03705536360068443,2
ageusia,40s,0.0672880599104608,5
asymptomatic,40s,0.0074078269955020135,3
chest pain,40s,-0.00017767618131320218,2
dyspnea,40s,-0.034639684624828936,1
cough,30s,0.010830632591987495,44
fever,30s,0.012120138483933826,43
throatache,30s,0.06099820595242693,34
sneezing,30s,0.09709920575066826,35
fatigue,30s,0.08891997153127446,19
anosmia,30s,0.022589491788513757,14
soreness,30s,0.09640291597029946,16
headache,30s,0.01451257201133053,11
pneumonia,30s,-0.07459310954146715,4
diarrhea,30s,0.030570123627693922,9
ageusia,30s,-0.03694869484752842,5
asymptomatic,30s,-0.07776441608351697,3
chest pain,30s,0.06156368650245097,7
dyspnea,30s,-0.011829492221384798,4
cough,20s,0.04845917257115617,79
fever,20s,-0.19913829980968878,52
throatache,20s,0.02094057350817132,52
sneezing,20s,0.14056731781820397,60
fatigue,20s,0.009839553849639988,24
anosmia,20s,0.08932470408214188,28
soreness,20s,-0.09762388189787599,12
headache,20s,0.053965671925585074,21
pneumonia,20s,-0.1256303660395213,6
diarrhea,20s,-0.035679710929201074,11
ageusia,20s,0.08658080963177503,16
asymptomatic,20s,0.017922168236783147,12
chest pain,20s,-0.02294387765885567,7
dyspnea,20s,-0.01468249772831267,7
cough,10s,-0.005840270039172703,9
fever,10s,0.08950335892989952,13
throatache,10s,-0.030257007020161937,5
sneezing,10s,0.0031680636822684002,6
fatigue,10s,-0.02893713206877856,2
anosmia,10s,0.009117855452913277,3
soreness,10s,0.02491422774841935,3
headache,10s,0.1720319045761079,7
pneumonia,10s,-0.025536962479261113,1
diarrhea,10s,-0.025536962479261193,1
ageusia,10s,0.024662669516862093,2
asymptomatic,10s,-0.016947011645615403,1
chest pain,10s,-0.0514276478382915,0
dyspnea,10s,-0.05012531328320816,0
cough,0s,-0.09116235865683181,0
fever,0s,0.10830262006336716,4
throatache,0s,-0.06621331800015032,0
sneezing,0s,-0.06328672869809601,0
fatigue,0s,-0.040525590481566696,0
anosmia,0s,-0.038957321539743406,0
soreness,0s,-0.03531340629529983,0
headache,0s,-0.034477077669864895,0
pneumonia,0s,-0.02917528056035295,0
diarrhea,0s,-0.029175280560352956,0
ageusia,0s,-0.027264138168895155,0
asymptomatic,0s,-0.026771496145520733,0
chest pain,0s,-0.02255142858092911,0
dyspnea,0s,-0.02198034462235903,0
