label,count,label_zh,label_fr
N_total,544,合計,Total
N_data,523,有資料案例數,Données complètes
80s,3,80-89歲,80aine
70s,16,70-79歲,70aine
60s,50,60-69歲,60aine
50s,61,50-59歲,50aine
40s,57,40-49歲,40aine
30s,120,30-39歲,30aine
20s,188,20-29歲,20aine
10s,24,10-19歲,10aine
0s,4,<10歲,< 10 ans
cough,232,咳嗽,toux
fever,221,發燒,fièvre
throatache,156,喉嚨症狀,mal de gorge
sneezing,149,鼻腔症狀,éternuement
fatigue,79,倦怠,fatigue
anosmia,76,嗅覺異常,anosmie
soreness,64,痠痛,myalgie
headache,55,頭痛,mal de tête
asymptomatic,53,無症狀,asymptomatique
diarrhea,52,腹瀉,diarrhée
ageusia,44,味覺異常,agueusie
pneumonia,35,肺炎,pneumonie
dyspnea,25,呼吸困難,dyspnée
chest pain,24,胸痛,mal à la poitrine
