date,not_specified,seaport,airport
2020-09-04,0,60,4650
2020-09-05,0,62,1138
2020-09-06,0,29,4298
2020-09-07,0,60,2728
2020-09-08,0,101,2432
2020-09-09,0,218,4401
2020-09-10,0,64,3940
2020-09-11,0,189,4171
2020-09-12,0,39,1251
2020-09-13,0,21,4230
2020-09-14,0,57,3108
2020-09-15,0,104,2911
2020-09-16,0,80,3826
2020-09-17,0,148,3286
2020-09-18,0,129,4349
2020-09-19,0,175,1253
2020-09-20,0,15,3838
2020-09-21,0,69,2717
2020-09-22,0,114,2104
2020-09-23,0,50,3525
2020-09-24,0,90,3132
2020-09-25,0,86,4320
2020-09-26,0,54,1560
2020-09-27,0,17,3711
2020-09-28,0,39,2493
2020-09-29,0,27,2134
2020-09-30,0,115,4497
2020-10-01,0,32,2347
2020-10-02,0,83,3212
2020-10-03,0,52,1117
2020-10-04,0,95,3525
2020-10-05,0,24,2659
2020-10-06,0,66,2066
2020-10-07,0,39,3944
2020-10-08,0,99,4029
2020-10-09,0,74,3344
2020-10-10,0,16,1775
2020-10-11,0,23,4895
2020-10-12,0,52,1643
2020-10-13,0,40,1516
2020-10-14,0,102,3207
2020-10-15,0,132,2917
2020-10-16,0,60,3865
2020-10-17,0,120,1724
2020-10-18,0,20,3518
2020-10-19,0,56,2280
2020-10-20,0,76,1803
2020-10-21,0,121,3037
2020-10-22,0,216,2647
2020-10-23,0,73,3713
2020-10-24,0,71,1222
2020-10-25,0,21,3422
2020-10-26,0,99,1755
2020-10-27,0,182,1733
2020-10-28,0,73,3300
2020-10-29,0,110,2390
2020-10-30,0,111,3893
2020-10-31,0,25,1418
2020-11-01,0,0,0
2020-11-02,0,0,0
2020-11-03,0,0,0
2020-11-04,0,0,0
2020-11-05,0,0,0
2020-11-06,0,0,0
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,0,0,0
2020-11-10,0,0,0
2020-11-11,0,0,0
2020-11-12,0,0,0
2020-11-13,0,0,0
2020-11-14,0,0,0
2020-11-15,0,0,0
2020-11-16,0,0,0
2020-11-17,0,0,0
2020-11-18,0,0,0
2020-11-19,0,0,0
2020-11-20,0,0,0
2020-11-21,0,0,0
2020-11-22,0,0,0
2020-11-23,0,0,0
2020-11-24,0,0,0
2020-11-25,0,0,0
2020-11-26,0,0,0
2020-11-27,0,0,0
2020-11-28,0,0,0
2020-11-29,0,0,0
2020-11-30,0,0,0
2020-12-01,0,0,0
2020-12-02,0,0,0
