date,not_specified,seaport,airport
2020-01-11,35,3391,65439
2020-01-12,13,2412,55970
2020-01-13,49,1645,50743
2020-01-14,46,2427,53168
2020-01-15,51,4886,59950
2020-01-16,79,2801,66569
2020-01-17,30,3423,75638
2020-01-18,42,3645,76891
2020-01-19,43,4513,75698
2020-01-20,60,4120,73381
2020-01-21,32,4415,76347
2020-01-22,34,2964,85035
2020-01-23,20,2206,84995
2020-01-24,9,2303,73563
2020-01-25,20,739,61837
2020-01-26,118,2472,66432
2020-01-27,220,1029,74284
2020-01-28,62,1160,81193
2020-01-29,29,2852,85608
2020-01-30,35,1168,72666
2020-01-31,36,5180,69385
2020-02-01,16,767,71376
2020-02-02,34,2150,75871
2020-02-03,22,2768,65640
2020-02-04,14,3459,62644
2020-02-05,23,308,61039
2020-02-06,0,314,57617
2020-02-07,0,334,54404
2020-02-08,0,2043,55744
2020-02-09,0,494,59602
2020-02-10,0,53,50710
2020-02-11,0,59,44203
2020-02-12,0,68,39850
2020-02-13,0,60,37214
2020-02-14,0,62,34724
2020-02-15,0,16,36205
2020-02-16,0,29,35287
2020-02-17,0,16,31245
2020-02-18,0,41,29685
2020-02-19,0,71,26364
2020-02-20,0,59,24881
2020-02-21,0,56,24169
2020-02-22,0,8,24584
2020-02-23,0,11,24354
2020-02-24,0,43,17886
2020-02-25,0,77,16840
2020-02-26,0,39,15385
2020-02-27,0,41,14071
2020-02-28,0,25,14780
2020-02-29,0,40,16141
2020-03-01,0,34,16276
2020-03-02,0,31,12253
2020-03-03,0,50,11777
2020-03-04,0,57,9969
2020-03-05,0,43,9248
2020-03-06,0,60,8798
2020-03-07,0,33,9471
2020-03-08,0,19,10680
2020-03-09,0,55,8017
2020-03-10,0,31,8034
2020-03-11,0,44,7537
2020-03-12,0,80,7622
2020-03-13,0,55,7495
2020-03-14,0,38,9239
2020-03-15,0,50,10735
2020-03-16,0,28,8266
2020-03-17,0,62,8361
2020-03-18,0,62,8446
2020-03-19,0,10,6501
2020-03-20,0,7,5600
2020-03-21,0,14,4951
2020-03-22,0,13,4400
2020-03-23,0,1,3005
2020-03-24,0,6,2980
2020-03-25,0,5,2771
2020-03-26,0,8,2784
2020-03-27,0,16,2287
2020-03-28,0,9,1913
2020-03-29,0,11,1750
2020-03-30,0,8,1951
2020-03-31,1,11,1787
2020-04-01,0,3,1585
2020-04-02,0,15,1359
2020-04-03,0,11,1008
2020-04-04,0,4,625
2020-04-05,0,4,1117
2020-04-06,0,10,696
2020-04-07,0,6,694
2020-04-08,0,6,647
2020-04-09,0,1,680
2020-04-10,0,5,862
2020-04-11,0,14,770
2020-04-12,0,3,1259
2020-04-13,0,3,599
2020-04-14,0,2,369
2020-04-15,0,5,772
2020-04-16,0,2,651
2020-04-17,0,1,850
2020-04-18,0,17,697
2020-04-19,0,3,686
2020-04-20,0,3,965
2020-04-21,0,9,563
2020-04-22,0,21,662
2020-04-23,0,10,604
2020-04-24,0,7,484
2020-04-25,0,15,295
2020-04-26,0,0,852
2020-04-27,0,8,206
2020-04-28,0,9,290
2020-04-29,0,2,781
2020-04-30,0,7,778
2020-05-01,0,7,1252
2020-05-02,0,11,999
2020-05-03,0,2,1030
2020-05-04,0,5,739
2020-05-05,0,42,257
2020-05-06,0,7,896
2020-05-07,0,14,585
2020-05-08,0,4,519
2020-05-09,0,7,569
2020-05-10,0,3,1148
2020-05-11,0,9,539
2020-05-12,0,4,200
2020-05-13,0,5,761
2020-05-14,0,14,855
2020-05-15,0,10,784
2020-05-16,0,19,827
2020-05-17,0,11,1018
2020-05-18,0,9,564
2020-05-19,0,10,198
2020-05-20,0,7,1234
2020-05-21,0,7,627
2020-05-22,0,11,708
2020-05-23,0,9,360
2020-05-24,0,20,943
2020-05-25,0,0,0
2020-05-26,0,0,0
2020-05-27,0,0,0
2020-05-28,0,0,0
2020-05-29,0,0,0
2020-05-30,0,0,0
