date,not_specified,seaport,airport
2020-09-05,0,47,620
2020-09-06,0,17,1713
2020-09-07,0,42,1588
2020-09-08,0,55,1121
2020-09-09,0,172,2437
2020-09-10,0,37,2021
2020-09-11,0,133,1643
2020-09-12,0,23,458
2020-09-13,0,13,1639
2020-09-14,0,15,1457
2020-09-15,0,53,1112
2020-09-16,0,54,1588
2020-09-17,0,79,1828
2020-09-18,0,62,2009
2020-09-19,0,70,578
2020-09-20,0,10,1337
2020-09-21,0,37,1508
2020-09-22,0,68,752
2020-09-23,0,35,1472
2020-09-24,0,43,1488
2020-09-25,0,45,2080
2020-09-26,0,25,600
2020-09-27,0,8,1324
2020-09-28,0,21,1164
2020-09-29,0,17,782
2020-09-30,0,75,1679
2020-10-01,0,17,1197
2020-10-02,0,54,1506
2020-10-03,0,38,405
2020-10-04,0,53,1400
2020-10-05,0,8,1668
2020-10-06,0,26,941
2020-10-07,0,22,2006
2020-10-08,0,63,2848
2020-10-09,0,34,1613
2020-10-10,0,7,1199
2020-10-11,0,12,2389
2020-10-12,0,27,836
2020-10-13,0,16,666
2020-10-14,0,61,1681
2020-10-15,0,84,1703
2020-10-16,0,42,1809
2020-10-17,0,87,974
2020-10-18,0,10,1473
2020-10-19,0,40,1380
2020-10-20,0,50,717
2020-10-21,0,73,1496
2020-10-22,0,108,1403
2020-10-23,0,41,1805
2020-10-24,0,53,654
2020-10-25,0,18,1392
2020-10-26,0,92,921
2020-10-27,0,119,875
2020-10-28,0,43,1579
2020-10-29,0,82,1265
2020-10-30,0,92,1638
2020-10-31,0,15,697
2020-11-01,0,0,0
2020-11-02,0,0,0
2020-11-03,0,0,0
2020-11-04,0,0,0
2020-11-05,0,0,0
2020-11-06,0,0,0
2020-11-07,0,0,0
2020-11-08,0,0,0
2020-11-09,0,0,0
2020-11-10,0,0,0
2020-11-11,0,0,0
2020-11-12,0,0,0
2020-11-13,0,0,0
2020-11-14,0,0,0
2020-11-15,0,0,0
2020-11-16,0,0,0
2020-11-17,0,0,0
2020-11-18,0,0,0
2020-11-19,0,0,0
2020-11-20,0,0,0
2020-11-21,0,0,0
2020-11-22,0,0,0
2020-11-23,0,0,0
2020-11-24,0,0,0
2020-11-25,0,0,0
2020-11-26,0,0,0
2020-11-27,0,0,0
2020-11-28,0,0,0
2020-11-29,0,0,0
2020-11-30,0,0,0
2020-12-01,0,0,0
2020-12-02,0,0,0
2020-12-03,0,0,0
