symptom,age,corr,count
fever,100+,-0.0363,0
cough,100+,0.0115,1
dyspnea,100+,-0.0213,0
asymptomatic,100+,-0.0201,0
throatache,100+,-0.0168,0
fatigue,100+,0.056,1
sneezing,100+,-0.0121,0
diarrhea,100+,-0.0118,0
soreness,100+,-0.0102,0
headache,100+,-0.0091,0
fever,90s,0.0314,28
cough,90s,0.0326,24
dyspnea,90s,0.1115,23
asymptomatic,90s,-0.0977,1
throatache,90s,-0.0899,0
fatigue,90s,-0.0587,1
sneezing,90s,-0.0355,2
diarrhea,90s,-0.0184,3
soreness,90s,-0.0377,1
headache,90s,-0.0491,0
fever,80s,0.0516,74
cough,80s,-0.0336,47
dyspnea,80s,0.1326,52
asymptomatic,80s,-0.0988,13
throatache,80s,-0.0793,10
fatigue,80s,0.094,25
sneezing,80s,-0.0633,5
diarrhea,80s,-0.0309,8
soreness,80s,-0.0602,3
headache,80s,-0.0229,5
fever,70s,0.0854,116
cough,70s,0.0842,99
dyspnea,70s,0.1192,69
asymptomatic,70s,-0.1345,18
throatache,70s,-0.0642,21
fatigue,70s,0.0709,31
sneezing,70s,-0.0369,13
diarrhea,70s,0.0336,21
soreness,70s,0.0111,14
headache,70s,-0.0449,6
fever,60s,0.1005,129
cough,60s,0.1281,117
dyspnea,60s,0.0935,69
asymptomatic,60s,-0.1401,20
throatache,60s,0.0228,38
fatigue,60s,0.0264,27
sneezing,60s,-0.0095,18
diarrhea,60s,0.0283,22
soreness,60s,0.0541,20
headache,60s,-0.0033,11
fever,50s,-0.004,58
cough,50s,0.0004,49
dyspnea,50s,-0.0349,23
asymptomatic,50s,-0.0396,20
throatache,50s,0.0831,30
fatigue,50s,0.0091,14
sneezing,50s,0.0026,11
diarrhea,50s,0.0172,12
soreness,50s,-0.0091,7
headache,50s,-0.0167,5
fever,40s,-0.013,43
cough,40s,-0.0597,28
dyspnea,40s,-0.0938,9
asymptomatic,40s,0.0767,30
throatache,40s,0.0627,22
fatigue,40s,-0.0505,5
sneezing,40s,0.0524,13
diarrhea,40s,-0.0102,7
soreness,40s,0.0257,8
headache,40s,0.0725,10
fever,30s,-0.1015,32
cough,30s,-0.0492,33
dyspnea,30s,-0.14,4
asymptomatic,30s,0.1396,41
throatache,30s,0.0567,23
fatigue,30s,-0.0481,6
sneezing,30s,0.0206,11
diarrhea,30s,0.0251,11
soreness,30s,0.0175,8
headache,30s,-0.0316,3
fever,20s,-0.1463,27
cough,20s,-0.111,25
dyspnea,20s,-0.1678,1
asymptomatic,20s,0.2868,64
throatache,20s,-0.0019,17
fatigue,20s,-0.0728,4
sneezing,20s,0.0339,13
diarrhea,20s,-0.0344,6
soreness,20s,-0.0005,7
headache,20s,0.0563,10
fever,10s,-0.0629,7
cough,10s,-0.0407,7
dyspnea,10s,-0.0687,1
asymptomatic,10s,0.0609,10
throatache,10s,0.0604,8
fatigue,10s,-0.0334,1
sneezing,10s,0.074,6
diarrhea,10s,-0.0456,0
soreness,10s,-0.016,1
headache,10s,0.1192,6
fever,0s,-0.0503,6
cough,0s,-0.0685,3
dyspnea,0s,-0.0729,0
asymptomatic,0s,0.1171,12
throatache,0s,-0.0573,0
fatigue,0s,-0.0461,0
sneezing,0s,0.0261,3
diarrhea,0s,-0.0176,1
soreness,0s,-0.035,0
headache,0s,-0.0313,0
