symptom,age,value,label
asymptomatic,90s,,0%
cough,90s,,0%
fever,90s,,0%
throatache,90s,,0%
dysnosmia,90s,,0%
sneezing,90s,,0%
dysgeusia,90s,,0%
headache,90s,,0%
diarrhea,90s,,0%
dyspnea,90s,,0%
asymptomatic,80s,-0.08677218312746342,-9%
cough,80s,0.15984827364796728,+16%
fever,80s,0.19455503695379484,+19%
throatache,80s,-0.02711630722733191,-3%
dysnosmia,80s,-0.0271163072273322,-3%
sneezing,80s,-0.025482359571881264,-3%
dysgeusia,80s,-0.023782574707724633,-2%
headache,80s,-0.01911448499748372,-2%
diarrhea,80s,-0.01699130480071328,-2%
dyspnea,80s,0.3712345970547747,+37%
asymptomatic,70s,0.0961538461538461,+10%
cough,70s,-0.052196241826459794,-5%
fever,70s,-0.04288493003063675,-4%
throatache,70s,-0.03846153846153844,-4%
dysnosmia,70s,-0.038461538461538436,-4%
sneezing,70s,-0.03614396106918185,-4%
dysgeusia,70s,-0.03373300074257801,-3%
headache,70s,-0.027111822186547733,-3%
diarrhea,70s,-0.02410032153809104,-2%
dyspnea,70s,-0.022474950376568374,-2%
asymptomatic,60s,-0.1815136495389378,-18%
cough,60s,0.07212104016522816,+7%
fever,60s,0.12088675554641087,+12%
throatache,60s,0.14979281758067686,+15%
dysnosmia,60s,-0.08811342210627973,-9%
sneezing,60s,0.00048708217973721156,+0%
dysgeusia,60s,0.010819281685365823,+1%
headache,60s,-0.062111801242236225,-6%
diarrhea,60s,0.06280434037053896,+6%
dyspnea,60s,0.20007140500387113,+20%
asymptomatic,50s,-0.042443734381358234,-4%
cough,50s,-0.018000152818272566,-2%
fever,50s,0.032333926810340016,+3%
throatache,50s,0.12126781251816647,+12%
dysnosmia,50s,-0.12126781251816646,-12%
sneezing,50s,-0.05027672490866367,-5%
dysgeusia,50s,-0.10635890745287943,-11%
headache,50s,-0.08548257561854758,-9%
diarrhea,50s,-0.07598742512162704,-8%
dyspnea,50s,0.12147889677281236,+12%
asymptomatic,40s,-0.22839147436564664,-23%
cough,40s,0.15197401400839067,+15%
fever,40s,0.12319663579307313,+12%
throatache,40s,0.16083906645467935,+16%
dysnosmia,40s,0.10293700253099557,+10%
sneezing,40s,0.12234047151416164,+12%
dysgeusia,40s,0.14445075768518054,+14%
headache,40s,-0.013151690753834572,-1%
diarrhea,40s,0.17788217794851427,+18%
dyspnea,40s,-0.07518888077339689,-8%
asymptomatic,30s,0.09099763966659415,+9%
cough,30s,-0.03878552291065915,-4%
fever,30s,0.015517627018352761,+2%
throatache,30s,-0.10060040566156107,-10%
dysnosmia,30s,-0.018290982847556595,-2%
sneezing,30s,-0.037663744231908595,-4%
dysgeusia,30s,-0.05935633679359037,-6%
headache,30s,0.11765271974414,+12%
diarrhea,30s,-0.07915448409384282,-8%
dyspnea,30s,-0.0003817254367062786,-0%
asymptomatic,20s,0.21249559070911742,+21%
cough,20s,-0.14476244272105895,-14%
fever,20s,-0.18022491432362214,-18%
throatache,20s,-0.13518606168373237,-14%
dysnosmia,20s,0.09294041740756645,+9%
sneezing,20s,0.009574717452448641,+1%
dysgeusia,20s,0.043721219689980245,+4%
headache,20s,-0.04973137470440155,-5%
diarrhea,20s,-0.010257696127192245,-1%
dyspnea,20s,-0.16786607654399432,-17%
asymptomatic,10s,-0.12307692307692313,-12%
cough,10s,0.08726559180361255,+9%
fever,10s,-0.04288493003063678,-4%
throatache,10s,-0.03846153846153846,-4%
dysnosmia,10s,-0.03846153846153842,-4%
sneezing,10s,-0.03614396106918181,-4%
dysgeusia,10s,-0.033733000742578005,-3%
headache,10s,0.20469425750843456,+20%
diarrhea,10s,-0.024100321538091083,-2%
dyspnea,10s,-0.022474950376568395,-2%
asymptomatic,0s,-0.0867721831274626,-9%
cough,0s,0.15984827364796694,+16%
fever,0s,-0.030234904391467934,-3%
throatache,0s,-0.02711630722733207,-3%
dysnosmia,0s,-0.02711630722733204,-3%
sneezing,0s,-0.02548235957188129,-3%
dysgeusia,0s,-0.02378257470772471,-2%
headache,0s,-0.019114484997483843,-2%
diarrhea,0s,-0.016991304800713397,-2%
dyspnea,0s,-0.0158453791425818,-2%
