date,entry,exit,total,entry_avg,exit_avg,total_avg
2021-07-21,1139,2110,3249,956.2857,1723.4286,2679.7143
2021-07-22,616,1878,2494,933.1429,1695.7143,2628.8571
2021-07-23,1180,1585,2765,884.1429,1499.0,2383.1429
2021-07-24,550,1013,1563,870.8571,1482.1429,2353.0
2021-07-25,1143,1362,2505,845.2857,1428.5714,2273.8571
2021-07-26,342,1010,1352,822.0,1404.0,2226.0
2021-07-27,788,1205,1993,822.5714,1451.8571,2274.4286
2021-07-28,1221,2752,3973,834.2857,1543.5714,2377.8571
2021-07-29,753,1948,2701,853.8571,1553.5714,2407.4286
2021-07-30,2076,2262,4338,981.8571,1650.2857,2632.1429
2021-07-31,856,1431,2287,1025.5714,1710.0,2735.5714
2021-08-01,1601,1994,3595,1091.0,1800.2857,2891.2857
2021-08-02,830,1392,2222,1160.7143,1854.8571,3015.5714
2021-08-03,1040,1094,2134,1196.7143,1839.0,3035.7143
2021-08-04,1534,2301,3835,1241.4286,1774.5714,3016.0
2021-08-05,1002,2157,3159,1277.0,1804.4286,3081.4286
2021-08-06,1754,1824,3578,1231.0,1741.8571,2972.8571
2021-08-07,650,860,1510,1201.5714,1660.2857,2861.8571
2021-08-08,1711,2455,4166,1217.2857,1726.1429,2943.4286
2021-08-09,741,1355,2096,1204.5714,1720.8571,2925.4286
2021-08-10,1032,1228,2260,1203.4286,1740.0,2943.4286
2021-08-11,1447,2664,4111,1191.0,1791.8571,2982.8571
2021-08-12,1368,2187,3555,1243.2857,1796.1429,3039.4286
2021-08-13,1623,1856,3479,1224.5714,1800.7143,3025.2857
2021-08-14,838,1358,2196,1251.4286,1871.8571,3123.2857
2021-08-15,1730,2263,3993,1254.1429,1844.4286,3098.5714
2021-08-16,774,1474,2248,1258.8571,1861.4286,3120.2857
2021-08-17,1422,1024,2446,1314.5714,1832.2857,3146.8571
2021-08-18,1723,2909,4632,1354.0,1867.2857,3221.2857
2021-08-19,976,2110,3086,1298.0,1856.2857,3154.2857
2021-08-20,1847,2299,4146,1330.0,1919.5714,3249.5714
2021-08-21,961,1176,2137,1347.5714,1893.5714,3241.1429
2021-08-22,1549,1530,3079,1321.7143,1788.8571,3110.5714
2021-08-23,667,1099,1766,1306.4286,1735.2857,3041.7143
2021-08-24,995,968,1963,1245.4286,1727.2857,2972.7143
2021-08-25,1474,1891,3365,1209.8571,1581.8571,2791.7143
2021-08-26,1029,1851,2880,1217.4286,1544.8571,2762.2857
2021-08-27,2067,1693,3760,1248.8571,1458.2857,2707.1429
2021-08-28,1055,1515,2570,1262.2857,1506.7143,2769.0
2021-08-29,1524,1442,2966,1258.7143,1494.1429,2752.8571
2021-08-30,724,1041,1765,1266.8571,1485.8571,2752.7143
2021-08-31,1080,1128,2208,1279.0,1508.7143,2787.7143
2021-09-01,2093,2071,4164,1367.4286,1534.4286,2901.8571
2021-09-02,1350,1862,3212,1413.2857,1536.0,2949.2857
2021-09-03,2296,1578,3874,1446.0,1519.5714,2965.5714
2021-09-04,1134,1118,2252,1457.2857,1462.8571,2920.1429
2021-09-05,1798,1330,3128,1496.4286,1446.8571,2943.2857
2021-09-06,807,881,1688,1508.2857,1424.0,2932.2857
2021-09-07,1099,943,2042,1511.0,1397.5714,2908.5714
2021-09-08,1415,1474,2889,1414.1429,1312.2857,2726.4286
2021-09-09,1224,1653,2877,1396.1429,1282.4286,2678.5714
2021-09-10,1870,1823,3693,1335.2857,1317.4286,2652.7143
2021-09-11,1024,1680,2704,1319.5714,1397.7143,2717.2857
2021-09-12,498,378,876,1133.8571,1261.7143,2395.5714
2021-09-13,1142,1090,2232,1181.7143,1291.5714,2473.2857
2021-09-14,1151,983,2134,1189.1429,1297.2857,2486.4286
2021-09-15,1825,1885,3710,1247.7143,1356.0,2603.7143
2021-09-16,1308,1690,2998,1259.7143,1361.2857,2621.0
2021-09-17,2296,1804,4100,1320.5714,1358.5714,2679.1429
2021-09-18,938,936,1874,1308.2857,1252.2857,2560.5714
2021-09-19,1286,1289,2575,1420.8571,1382.4286,2803.2857
2021-09-20,673,347,1020,1353.8571,1276.2857,2630.1429
2021-09-21,1019,483,1502,1335.0,1204.8571,2539.8571
2021-09-22,1281,917,2198,1257.2857,1066.5714,2323.8571
2021-09-23,1293,1693,2986,1255.1429,1067.0,2322.1429
2021-09-24,2439,2140,4579,1275.5714,1115.0,2390.5714
2021-09-25,933,1473,2406,1274.8571,1191.7143,2466.5714
2021-09-26,1910,1070,2980,1364.0,1160.4286,2524.4286
2021-09-27,663,677,1340,1362.5714,1207.5714,2570.1429
2021-09-28,1133,809,1942,1378.8571,1254.1429,2633.0
2021-09-29,1874,1555,3429,1463.5714,1345.2857,2808.8571
2021-09-30,1252,1874,3126,1457.7143,1371.1429,2828.8571
2021-10-01,,,,,,
2021-10-02,,,,,,
2021-10-03,,,,,,
2021-10-04,,,,,,
2021-10-05,,,,,,
2021-10-06,,,,,,
2021-10-07,,,,,,
2021-10-08,,,,,,
2021-10-09,,,,,,
2021-10-10,,,,,,
2021-10-11,,,,,,
2021-10-12,,,,,,
2021-10-13,,,,,,
2021-10-14,,,,,,
2021-10-15,,,,,,
2021-10-16,,,,,,
2021-10-17,,,,,,
2021-10-18,,,,,,
