date,moving_avg,airport,seaport,not_specified
2021-04-10,2624.8571,1572,58,0
2021-04-11,2872.1429,3876,78,0
2021-04-12,3032.8571,2194,82,0
2021-04-13,2964.5714,1674,40,0
2021-04-14,2978.5714,3760,64,0
2021-04-15,2925.7143,2955,70,0
2021-04-16,2905.4286,3765,150,0
2021-04-17,2872.1429,1343,54,0
2021-04-18,2702.2857,2703,62,0
2021-04-19,2606.2857,1564,40,0
2021-04-20,2589.5714,1510,87,0
2021-04-21,2592.1429,3744,98,0
2021-04-22,2665.2857,3280,257,0
2021-04-23,2644.7143,3677,94,0
2021-04-24,2643.1429,1308,78,0
2021-04-25,2660.2857,2773,112,0
2021-04-26,2674.2857,1631,71,0
2021-04-27,2686.7143,1551,133,0
2021-04-28,2745.5714,4159,95,0
2021-04-29,2595.7143,2383,105,0
2021-04-30,2653.1429,4075,98,0
2021-05-01,2651.1429,1333,39,0
2021-05-02,2648.8571,2835,34,0
2021-05-03,2623.2857,1425,98,0
2021-05-04,2607.4286,1413,160,0
2021-05-05,2488.1429,3317,102,0
2021-05-06,2499.4286,2257,310,0
2021-05-07,2450.0,3507,320,0
2021-05-08,2523.0,1780,103,0
2021-05-09,2507.8571,2656,107,0
2021-05-10,2583.7143,1968,86,0
2021-05-11,2628.8571,1779,109,1
2021-05-12,2651.0,3489,85,0
2021-05-13,2613.7143,2146,160,0
2021-05-14,2592.7143,3489,191,0
2021-05-15,2568.2857,1624,88,0
2021-05-16,2653.4286,3343,16,0
2021-05-17,2647.4286,1811,201,0
2021-05-18,2576.5714,1291,102,0
2021-05-19,2480.2857,2848,52,0
2021-05-20,2457.4286,2088,58,0
2021-05-21,2419.0,3280,131,0
2021-05-22,2395.8571,1500,50,0
2021-05-23,2150.5714,1622,20,0
2021-05-24,2067.7143,1418,14,0
2021-05-25,2026.8571,1034,73,0
2021-05-26,2061.7143,3059,85,0
2021-05-27,2017.8571,1777,62,0
2021-05-28,2120.1429,3923,204,0
2021-05-29,2107.0,1372,86,0
2021-05-30,2209.1429,2334,23,0
2021-05-31,2275.2857,1745,150,0
2021-06-01,2304.8571,1268,46,0
2021-06-02,2394.7143,3683,90,0
2021-06-03,2429.4286,1960,122,0
2021-06-04,2392.8571,3858,13,0
2021-06-05,2419.4286,1642,2,0
2021-06-06,2430.7143,2391,45,0
2021-06-07,2376.2857,1484,24,6
2021-06-08,2419.2857,1590,25,0
2021-06-09,2316.8571,3047,9,0
2021-06-10,2355.4286,2283,69,0
2021-06-11,2462.2857,4535,84,0
2021-06-12,2491.8571,1834,17,0
2021-06-13,2549.8571,2762,80,0
2021-06-14,2550.0,1474,41,0
2021-06-15,2504.8571,1213,86,0
2021-06-16,2488.2857,2914,26,0
2021-06-17,2588.7143,2936,119,0
2021-06-18,2591.1429,4585,51,0
2021-06-19,2666.5714,2363,16,0
2021-06-20,2670.7143,2862,9,0
2021-06-21,2712.1429,1714,91,0
2021-06-22,2773.1429,1680,46,0
2021-06-23,2873.7143,3587,57,0
2021-06-24,2763.2857,2251,31,0
2021-06-25,2737.1429,4347,104,2
2021-06-26,2781.0,2631,55,0
2021-06-27,2723.7143,2446,24,0
2021-06-28,2721.1429,1773,14,0
2021-06-29,2709.2857,1580,63,0
2021-06-30,2751.1429,3914,23,0
2021-07-01,,,,
2021-07-02,,,,
2021-07-03,,,,
2021-07-04,,,,
2021-07-05,,,,
2021-07-06,,,,
2021-07-07,,,,
2021-07-08,,,,
