date,moving_avg,airport,seaport,not_specified
2021-04-07,1236.7143,1621,108,0
2021-04-08,1237.0,1272,7,0
2021-04-09,1197.5714,1680,22,0
2021-04-10,1198.5714,631,18,0
2021-04-11,1309.1429,2068,32,0
2021-04-12,1348.8571,819,38,0
2021-04-13,1286.4286,672,17,0
2021-04-14,1269.2857,1574,35,0
2021-04-15,1251.5714,1137,18,0
2021-04-16,1278.8571,1827,66,0
2021-04-17,1281.0,638,26,0
2021-04-18,1233.1429,1723,42,0
2021-04-19,1219.1429,740,19,0
2021-04-20,1239.7143,802,31,0
2021-04-21,1216.4286,1421,25,0
2021-04-22,1215.4286,1092,56,0
2021-04-23,1198.7143,1752,24,0
2021-04-24,1181.1429,536,5,0
2021-04-25,1191.0,1782,52,0
2021-04-26,1211.7143,890,14,0
2021-04-27,1239.2857,965,61,0
2021-04-28,1270.2857,1652,11,0
2021-04-29,1271.7143,1096,62,0
2021-04-30,1319.0,2083,24,0
2021-05-01,1332.2857,626,8,0
2021-05-02,1312.8571,1672,26,0
2021-05-03,1281.5714,642,43,0
2021-05-04,1249.8571,758,46,0
2021-05-05,1242.4286,1577,34,0
2021-05-06,1216.0,864,109,0
2021-05-07,1186.8571,1800,103,0
2021-05-08,1223.7143,866,26,0
2021-05-09,1233.7143,1716,52,0
2021-05-10,1287.8571,1036,28,0
2021-05-11,1331.7143,1094,16,1
2021-05-12,1388.5714,1964,45,0
2021-05-13,1400.2857,975,80,0
2021-05-14,1419.7143,1977,62,0
2021-05-15,1413.0,834,11,0
2021-05-16,1446.1429,1992,8,0
2021-05-17,1419.8571,861,19,0
2021-05-18,1365.4286,657,73,0
2021-05-19,1219.1429,980,5,0
2021-05-20,1132.5714,440,9,0
2021-05-21,1004.0,1122,17,0
2021-05-22,942.7143,405,11,0
2021-05-23,763.5714,743,3,0
2021-05-24,690.2857,363,4,0
2021-05-25,626.2857,275,7,0
2021-05-26,598.4286,782,8,0
2021-05-27,584.2857,349,1,0
2021-05-28,622.5714,1403,4,0
2021-05-29,610.2857,328,2,0
2021-05-30,629.8571,880,3,0
2021-05-31,620.5714,290,12,0
2021-06-01,646.7143,458,7,0
2021-06-02,639.1429,728,9,0
2021-06-03,636.4286,322,9,0
2021-06-04,581.8571,1022,3,0
2021-06-05,591.2857,396,0,0
2021-06-06,586.4286,834,15,0
2021-06-07,577.0,232,4,0
2021-06-08,556.8571,316,8,0
2021-06-09,533.7143,569,6,0
2021-06-10,536.2857,329,20,0
2021-06-11,582.1429,1331,15,0
2021-06-12,571.8571,313,11,0
2021-06-13,568.8571,827,1,0
2021-06-14,569.5714,216,25,0
2021-06-15,578.5714,338,49,0
2021-06-16,594.8571,668,21,0
2021-06-17,616.1429,436,62,0
2021-06-18,591.1429,1123,48,0
2021-06-19,595.7143,349,7,0
2021-06-20,617.5714,976,5,0
2021-06-21,630.5714,279,53,0
2021-06-22,626.1429,319,37,0
2021-06-23,642.8571,797,9,0
2021-06-24,631.7143,402,18,0
2021-06-25,678.5714,1463,35,1
2021-06-26,725.1429,658,24,0
2021-06-27,701.4286,800,15,0
2021-06-28,691.8571,253,12,0
2021-06-29,708.8571,436,39,0
2021-06-30,745.4286,1048,14,0
2021-07-01,,,,
2021-07-02,,,,
2021-07-03,,,,
2021-07-04,,,,
2021-07-05,,,,
