date,moving_avg,airport,seaport,not_specified
2021-04-07,1254.0,1918,79,0
2021-04-08,1232.1429,2065,51,0
2021-04-09,1368.4286,2304,51,0
2021-04-10,1426.2857,941,40,0
2021-04-11,1563.0,1808,46,0
2021-04-12,1684.0,1375,44,0
2021-04-13,1678.1429,1002,23,0
2021-04-14,1709.2857,2186,29,0
2021-04-15,1674.1429,1818,52,0
2021-04-16,1626.5714,1938,84,0
2021-04-17,1591.1429,705,28,0
2021-04-18,1469.1429,980,20,0
2021-04-19,1387.1429,824,21,0
2021-04-20,1349.8571,708,56,0
2021-04-21,1375.7143,2323,73,0
2021-04-22,1449.8571,2188,201,0
2021-04-23,1446.0,1925,70,0
2021-04-24,1462.0,772,73,0
2021-04-25,1469.2857,991,60,0
2021-04-26,1462.5714,741,57,0
2021-04-27,1447.4286,586,72,0
2021-04-28,1475.2857,2507,84,0
2021-04-29,1324.0,1287,43,0
2021-04-30,1334.1429,1992,74,0
2021-05-01,1318.8571,707,31,0
2021-05-02,1336.0,1163,8,0
2021-05-03,1341.7143,783,55,0
2021-05-04,1357.5714,655,114,0
2021-05-05,1245.7143,1740,68,0
2021-05-06,1283.4286,1393,201,0
2021-05-07,1263.1429,1707,217,0
2021-05-08,1299.2857,914,77,0
2021-05-09,1274.1429,940,55,0
2021-05-10,1295.8571,932,58,0
2021-05-11,1297.1429,685,93,0
2021-05-12,1262.4286,1525,40,0
2021-05-13,1213.4286,1171,80,0
2021-05-14,1173.0,1512,129,0
2021-05-15,1155.2857,790,77,0
2021-05-16,1207.2857,1351,8,0
2021-05-17,1227.5714,950,182,0
2021-05-18,1211.1429,634,29,0
2021-05-19,1261.1429,1868,47,0
2021-05-20,1324.8571,1648,49,0
2021-05-21,1415.0,2158,114,0
2021-05-22,1453.1429,1095,39,0
2021-05-23,1387.0,879,17,0
2021-05-24,1377.4286,1055,10,0
2021-05-25,1400.5714,759,66,0
2021-05-26,1463.2857,2277,77,0
2021-05-27,1433.5714,1428,61,0
2021-05-28,1497.5714,2520,200,0
2021-05-29,1496.7143,1044,84,0
2021-05-30,1579.2857,1454,20,0
2021-05-31,1654.7143,1455,138,0
2021-06-01,1658.1429,810,39,0
2021-06-02,1755.5714,2955,81,0
2021-06-03,1793.0,1638,113,0
2021-06-04,1811.0,2836,10,0
2021-06-05,1828.1429,1246,2,0
2021-06-06,1844.2857,1557,30,0
2021-06-07,1799.2857,1252,20,6
2021-06-08,1862.4286,1274,17,0
2021-06-09,1783.1429,2478,3,0
2021-06-10,1819.1429,1954,49,0
2021-06-11,1880.1429,3204,69,0
2021-06-12,1920.0,1521,6,0
2021-06-13,1981.0,1935,79,0
2021-06-14,1980.4286,1258,16,0
2021-06-15,1926.2857,875,37,0
2021-06-16,1893.4286,2246,5,0
2021-06-17,1972.5714,2500,57,0
2021-06-18,2000.0,3462,3,0
2021-06-19,2070.8571,2014,9,0
2021-06-20,2053.1429,1886,4,0
2021-06-21,2081.5714,1435,38,0
2021-06-22,2147.0,1361,9,0
2021-06-23,2230.8571,2790,48,0
2021-06-24,2131.5714,1849,13,0
2021-06-25,2058.5714,2884,69,1
2021-06-26,2055.8571,1973,31,0
2021-06-27,2022.2857,1646,9,0
2021-06-28,2029.2857,1520,2,0
2021-06-29,2000.4286,1144,24,0
2021-06-30,2005.7143,2866,9,0
2021-07-01,,,,
2021-07-02,,,,
2021-07-03,,,,
2021-07-04,,,,
2021-07-05,,,,
