age,total,week_-1,week_-2,week_-3,week_-4,week_-5,week_-6,week_-7,week_-8,week_-9,week_-10,week_-11,week_-12
0-4,5616,3647,1418,303,110,47,17,10,14,11,14,11,11
5-9,8853,5905,2108,498,192,83,8,3,7,6,16,5,9
10-14,6109,4100,1355,358,184,58,8,5,5,7,3,4,10
15-19,7051,4442,1431,550,253,162,105,33,15,18,10,14,9
20-24,12979,7626,2931,1013,574,249,137,118,62,49,64,50,64
25-29,15689,9051,3936,1237,516,238,127,123,86,78,93,88,68
30-34,14034,8161,3588,1050,406,210,116,114,79,63,70,60,72
35-39,12551,7606,3053,867,384,189,104,74,68,45,43,42,44
40-44,12070,7672,2796,790,314,153,72,57,48,28,31,36,45
45-49,8785,5712,1945,521,218,107,66,38,34,23,31,33,27
50-54,6940,4548,1496,425,175,103,56,28,18,12,16,27,18
55-59,6275,4132,1398,396,119,76,32,19,8,19,11,24,18
60-64,5654,3797,1241,316,108,54,26,16,19,8,12,20,22
65-69,4098,2779,837,251,73,50,18,18,12,12,9,12,16
70+,5204,3599,1055,327,80,52,18,14,13,6,8,12,5
