key,label,label_fr,label_zh
total,Total,Totaux,合計
week_-1,0-6 days ago,0-6 jours plus tôt,0-6天前
week_-2,7-13 days ago,7-13 jours plus tôt,7-13天前
week_-3,14-20 days ago,14-20 jours plus tôt,14-20天前
week_-4,21-27 days ago,21-27 jours plus tôt,21-27天前
week_-5,28-34 days ago,28-34 jours plus tôt,28-34天前
week_-6,35-41 days ago,35-41 jours plus tôt,35-41天前
week_-7,42-48 days ago,42-48 jours plus tôt,42-48天前
week_-8,49-55 days ago,49-55 jours plus tôt,49-55天前
week_-9,56-62 days ago,56-62 jours plus tôt,56-62天前
week_-10,63-69 days ago,63-69 jours plus tôt,63-69天前
week_-11,70-76 days ago,70-76 jours plus tôt,70-76天前
week_-12,77-83 days ago,77-83 jours plus tôt,77-83天前
