date,airport,quarantine,isolation,monitoring,hospital,overseas,no_data
2021-04-26,1,1,1,0,0,0,0
2021-04-27,0,1,1,0,0,0,0
2021-04-28,0,1,1,0,1,1,0
2021-04-29,1,3,3,0,0,0,0
2021-04-30,0,1,1,0,0,0,0
2021-05-01,0,1,0,0,1,0,0
2021-05-02,0,1,3,0,1,0,1
2021-05-03,1,1,1,0,0,0,1
2021-05-04,0,0,1,0,0,0,0
2021-05-05,0,1,1,0,1,1,0
2021-05-06,0,0,2,0,1,0,3
2021-05-07,0,0,5,0,1,0,2
2021-05-08,0,0,2,0,0,0,3
2021-05-09,0,0,5,1,6,0,1
2021-05-10,0,2,6,0,2,0,5
2021-05-11,0,0,3,0,0,0,7
2021-05-12,0,0,5,0,1,0,9
2021-05-13,0,0,1,0,2,0,28
2021-05-14,0,0,0,0,5,0,34
2021-05-15,0,2,0,0,3,0,41
2021-05-16,0,0,2,0,3,0,35
2021-05-17,0,0,5,0,3,0,32
2021-05-18,1,0,2,0,0,0,42
2021-05-19,0,0,2,0,3,0,38
2021-05-20,0,0,5,0,2,0,41
2021-05-21,0,0,4,0,3,0,50
2021-05-22,0,0,6,0,6,0,40
2021-05-23,0,0,7,0,3,0,40
2021-05-24,0,0,5,0,5,0,41
2021-05-25,0,0,8,0,2,0,42
2021-05-26,0,0,4,0,3,0,33
2021-05-27,0,1,0,0,2,0,36
2021-05-28,0,0,6,0,6,0,19
2021-05-29,0,1,8,0,5,0,14
2021-05-30,0,0,7,1,2,0,25
2021-05-31,0,0,5,0,3,0,24
2021-06-01,0,0,7,0,1,0,21
2021-06-02,0,0,1,0,0,0,9
2021-06-03,0,0,8,0,0,0,13
2021-06-04,0,0,1,0,1,0,16
2021-06-05,0,0,4,0,2,0,10
2021-06-06,0,0,3,0,0,0,14
2021-06-07,0,0,3,0,2,0,10
2021-06-08,0,0,2,0,2,0,19
2021-06-09,0,1,1,1,2,0,8
2021-06-10,0,0,4,0,1,0,8
2021-06-11,0,2,2,0,1,0,6
2021-06-12,0,0,3,0,1,0,6
2021-06-13,0,0,4,0,4,0,7
2021-06-14,0,0,0,0,2,0,5
2021-06-15,0,0,1,0,2,0,9
2021-06-16,0,0,0,1,0,0,8
2021-06-17,0,0,3,0,0,0,4
2021-06-18,0,0,3,0,1,0,5
2021-06-19,0,1,5,0,0,0,6
2021-06-20,0,0,2,0,1,0,2
2021-06-21,0,1,2,0,1,0,3
2021-06-22,0,0,2,0,0,0,7
2021-06-23,0,0,1,0,0,0,3
2021-06-24,0,0,1,0,0,0,6
2021-06-25,0,0,0,0,1,0,3
2021-06-26,0,0,0,0,0,0,2
2021-06-27,0,0,0,0,1,0,3
2021-06-28,0,0,0,0,1,0,1
2021-06-29,0,0,1,0,0,0,3
2021-06-30,1,0,0,0,1,0,1
2021-07-01,0,1,1,0,0,0,0
2021-07-02,1,1,0,0,2,0,0
2021-07-03,0,0,2,0,0,0,0
2021-07-04,0,1,2,0,0,0,0
2021-07-05,1,0,0,0,0,0,0
2021-07-06,0,0,0,0,0,0,0
2021-07-07,0,0,0,0,0,0,0
2021-07-08,0,1,0,0,2,0,0
2021-07-09,0,0,0,0,0,0,1
2021-07-10,0,1,0,0,0,0,1
2021-07-11,3,0,0,0,0,0,1
2021-07-12,0,0,0,0,0,0,0
2021-07-13,0,1,0,0,1,0,0
2021-07-14,0,0,0,0,0,0,0
2021-07-15,0,0,1,0,1,0,0
2021-07-16,1,1,0,0,0,0,1
2021-07-17,0,1,0,0,0,0,0
2021-07-18,0,1,0,0,0,0,0
2021-07-19,0,2,0,0,0,0,0
2021-07-20,0,2,0,0,0,0,1
2021-07-21,0,1,0,0,0,0,1
2021-07-22,0,0,0,0,0,0,0
2021-07-23,0,0,0,0,0,0,0
2021-07-24,0,0,0,0,0,0,0
