date,moving_avg,airport,quarantine,isolation,monitoring,hospital,overseas,no_data
2021-04-09,2.1429,0,1,0,0,3,0,0
2021-04-10,1.5714,0,2,0,0,0,0,0
2021-04-11,1.4286,0,1,0,0,0,0,0
2021-04-12,1.4286,0,1,0,0,0,0,0
2021-04-13,1.7143,0,4,0,0,0,0,0
2021-04-14,2.4286,0,3,0,0,2,0,0
2021-04-15,2.5714,0,0,1,0,0,0,0
2021-04-16,2.2857,1,0,0,0,1,0,0
2021-04-17,2.2857,0,2,0,0,0,0,0
2021-04-18,2.2857,1,0,0,0,0,0,0
2021-04-19,2.5714,0,2,0,0,1,0,0
2021-04-20,2.2857,0,0,0,0,2,0,0
2021-04-21,2.1429,0,2,0,0,2,0,0
2021-04-22,2.5714,0,3,0,0,1,0,0
2021-04-23,2.8571,0,1,1,0,2,0,0
2021-04-24,3.5714,0,2,1,0,4,0,0
2021-04-25,3.8571,0,1,2,0,0,0,0
2021-04-26,4.0,2,1,1,0,0,0,0
2021-04-27,4.5714,1,0,5,0,0,0,0
2021-04-28,4.8571,0,1,3,0,2,0,0
2021-04-29,5.0,0,2,1,0,2,0,0
2021-04-30,5.4286,0,4,0,0,3,0,0
2021-05-01,5.0,0,1,1,0,2,0,0
2021-05-02,5.2857,0,0,4,0,1,0,0
2021-05-03,5.8571,0,4,1,0,3,0,0
2021-05-04,6.1429,1,4,1,0,2,0,0
2021-05-05,6.2857,0,6,0,0,1,0,0
2021-05-06,7.4286,1,11,0,0,1,0,0
2021-05-07,7.1429,0,3,0,0,2,0,0
2021-05-08,7.2857,0,1,2,0,2,0,0
2021-05-09,6.7143,0,0,0,0,1,0,0
2021-05-10,7.7143,2,5,4,0,2,2,0
2021-05-11,8.1429,2,2,5,0,2,0,0
2021-05-12,10.1429,1,3,14,0,3,0,0
2021-05-13,11.8571,6,1,9,1,8,0,0
2021-05-14,16.0,0,4,28,0,2,0,0
2021-05-15,41.7143,0,0,1,0,2,0,182
2021-05-16,70.7143,0,1,2,0,0,0,201
2021-05-17,116.2857,0,0,1,0,2,0,331
2021-05-18,149.4286,1,4,4,0,1,0,233
2021-05-19,185.4286,0,5,7,0,6,0,255
2021-05-20,223.7143,0,10,1,0,3,0,279
2021-05-21,263.7143,0,2,6,0,2,0,304
2021-05-22,340.4286,0,0,6,0,10,0,706
2021-05-23,376.1429,0,2,14,0,5,0,433
2021-05-24,413.2857,1,4,6,0,4,0,579
2021-05-25,456.1429,0,1,21,0,9,0,512
2021-05-26,507.7143,0,1,16,0,11,1,605
2021-05-27,561.4286,0,3,8,0,8,0,650
2021-05-28,595.7143,1,1,15,0,1,0,536
2021-05-29,562.5714,0,6,6,0,4,0,474
2021-05-30,548.4286,0,0,28,0,1,0,326
2021-05-31,513.5714,0,4,13,0,4,0,329
2021-06-01,483.2857,0,0,19,0,13,0,299
2021-06-02,470.8571,0,0,15,1,13,0,518
2021-06-03,458.1429,0,0,22,0,8,0,550
2021-06-04,444.5714,0,1,7,0,11,0,440
2021-06-05,446.5714,0,0,29,0,2,0,473
2021-06-06,441.7143,0,0,15,0,6,0,300
2021-06-07,420.8571,0,1,3,0,2,0,198
2021-06-08,404.8571,0,0,5,0,8,0,206
2021-06-09,365.7143,0,1,12,1,5,0,254
2021-06-10,320.7143,0,1,22,0,3,0,239
2021-06-11,296.0,0,0,11,0,19,0,256
2021-06-12,259.7143,0,1,8,0,13,0,228
2021-06-13,238.8571,0,0,4,0,7,0,164
2021-06-14,236.0,0,0,8,0,7,0,169
2021-06-15,224.0,0,2,6,0,5,0,122
2021-06-16,209.1429,0,0,6,1,3,0,159
2021-06-17,196.2857,0,0,11,0,2,0,162
2021-06-18,182.0,1,0,1,0,4,0,180
2021-06-19,164.5714,0,1,7,0,1,0,119
2021-06-20,155.1429,0,1,11,0,2,0,95
2021-06-21,139.4286,0,0,3,0,1,0,70
2021-06-22,131.2857,0,1,0,0,0,0,77
2021-06-23,122.0,0,0,13,0,2,0,89
2021-06-24,115.5714,0,1,16,0,2,0,111
2021-06-25,99.8571,0,0,4,1,0,0,71
2021-06-26,93.0,0,2,1,0,0,0,77
2021-06-27,90.1429,0,1,11,0,1,0,76
2021-06-28,88.0,0,0,2,0,1,0,56
2021-06-29,84.5714,0,0,3,0,3,0,48
2021-06-30,77.7143,0,1,1,0,1,0,53
2021-07-01,66.2857,0,0,0,0,2,0,48
2021-07-02,63.7143,0,0,6,0,7,0,45
2021-07-03,63.7143,0,3,3,0,1,0,73
2021-07-04,56.5714,2,0,0,0,0,0,37
2021-07-05,52.5714,1,2,7,0,1,0,20
2021-07-06,49.0,1,1,0,0,0,0,27
2021-07-07,46.7143,1,0,0,0,0,0,39
