date,imported,linked,unlinked,fleet,plane,unknown
2021-08-24,5,1,0,0,0,0
2021-08-25,1,0,0,0,0,0
2021-08-26,6,2,0,0,0,0
2021-08-27,7,0,0,0,0,0
2021-08-28,6,0,0,0,0,0
2021-08-29,11,12,0,0,0,0
2021-08-30,5,3,0,0,0,0
2021-08-31,1,3,0,0,0,0
2021-09-01,5,1,0,0,0,0
2021-09-02,4,1,0,0,0,0
2021-09-03,4,2,0,0,0,0
2021-09-04,1,0,0,0,0,0
2021-09-05,4,2,0,0,0,0
2021-09-06,7,9,0,0,0,0
2021-09-07,4,8,0,0,0,0
2021-09-08,2,7,0,0,0,0
2021-09-09,2,4,0,0,0,0
2021-09-10,5,2,0,0,0,0
2021-09-11,5,0,0,0,0,0
2021-09-12,11,3,0,0,0,0
2021-09-13,3,2,0,0,0,0
2021-09-14,3,2,0,0,0,0
2021-09-15,4,1,0,0,0,0
2021-09-16,10,2,0,0,0,0
2021-09-17,6,2,0,0,0,0
2021-09-18,6,0,0,0,0,0
2021-09-19,11,1,0,0,0,0
2021-09-20,4,2,0,0,0,0
2021-09-21,5,0,0,0,0,0
2021-09-22,6,1,0,0,0,0
2021-09-23,9,0,0,0,0,0
2021-09-24,7,1,0,0,0,0
2021-09-25,5,0,0,0,0,0
2021-09-26,8,0,0,0,0,0
2021-09-27,9,0,0,0,0,0
2021-09-28,6,1,0,0,0,0
2021-09-29,10,1,0,0,0,0
2021-09-30,7,0,0,0,0,0
2021-10-01,11,0,0,0,0,0
2021-10-02,10,0,0,0,0,0
2021-10-03,6,0,0,0,0,0
2021-10-04,5,0,0,0,0,0
2021-10-05,7,0,0,0,0,0
2021-10-06,5,0,0,0,0,0
2021-10-07,4,0,0,0,0,0
2021-10-08,12,0,0,0,0,0
2021-10-09,3,1,0,0,0,0
2021-10-10,7,0,0,0,0,0
2021-10-11,10,1,0,0,0,0
2021-10-12,4,0,0,0,0,0
2021-10-13,4,0,0,0,0,0
2021-10-14,8,0,0,0,0,0
2021-10-15,4,0,0,0,0,0
2021-10-16,10,1,0,0,0,0
2021-10-17,1,0,0,0,0,0
2021-10-18,0,0,0,0,0,0
2021-10-19,5,1,0,0,0,0
2021-10-20,4,0,0,0,0,0
2021-10-21,2,0,0,0,0,0
2021-10-22,6,2,0,0,0,0
2021-10-23,7,0,0,0,0,0
2021-10-24,4,0,0,0,0,0
2021-10-25,6,2,0,0,0,0
2021-10-26,4,0,0,0,0,0
2021-10-27,8,0,0,0,0,0
2021-10-28,6,0,0,0,0,0
2021-10-29,5,0,0,0,0,0
2021-10-30,7,0,0,0,0,0
2021-10-31,6,0,0,0,0,0
2021-11-01,5,0,0,0,0,0
2021-11-02,4,0,0,0,0,0
2021-11-03,7,0,0,0,0,0
2021-11-04,1,1,0,0,0,0
2021-11-05,6,0,0,0,0,0
2021-11-06,2,0,0,0,0,0
2021-11-07,4,0,0,0,0,0
2021-11-08,3,0,0,0,0,0
2021-11-09,6,0,0,0,0,0
2021-11-10,5,0,0,0,0,0
2021-11-11,9,0,0,0,0,0
2021-11-12,10,0,0,0,0,0
2021-11-13,4,0,0,0,0,0
2021-11-14,8,0,0,0,0,0
2021-11-15,9,0,0,0,0,0
2021-11-16,2,0,0,0,0,0
2021-11-17,5,0,0,0,0,0
2021-11-18,3,0,0,0,0,0
2021-11-19,10,0,0,0,0,0
2021-11-20,4,0,0,0,0,0
2021-11-21,9,0,0,0,0,0
