date,inst_CFR,cumul_CFR
2022-09-03,0.001382,0.001854
2022-09-04,0.001379,0.001849
2022-09-05,0.001403,0.001846
2022-09-06,0.001335,0.001838
2022-09-07,0.001333,0.001829
2022-09-08,0.001265,0.001823
2022-09-09,0.00134,0.001821
2022-09-10,0.001248,0.001815
2022-09-11,0.001182,0.00181
2022-09-12,0.00113,0.001807
2022-09-13,0.001071,0.001795
2022-09-14,0.001088,0.001786
2022-09-15,0.001183,0.001782
2022-09-16,0.001102,0.001777
2022-09-17,0.001129,0.001772
2022-09-18,0.001146,0.001767
2022-09-19,0.001127,0.001764
2022-09-20,0.001156,0.001755
2022-09-21,0.001162,0.001748
2022-09-22,0.001156,0.001745
2022-09-23,0.001146,0.001741
2022-09-24,0.001184,0.001738
2022-09-25,0.001116,0.001733
2022-09-26,0.001176,0.001734
2022-09-27,0.001142,0.001725
2022-09-28,0.001108,0.001718
2022-09-29,0.001072,0.001715
2022-09-30,0.001075,0.001711
2022-10-01,0.001054,0.001707
2022-10-02,0.00116,0.001705
2022-10-03,0.001108,0.001702
2022-10-04,0.001131,0.001694
2022-10-05,0.001173,0.001687
2022-10-06,0.001192,0.001684
2022-10-07,0.001202,0.001679
2022-10-08,0.0013,0.001679
2022-10-09,0.001295,0.001678
2022-10-10,0.001355,0.001678
2022-10-11,0.001361,0.001673
2022-10-12,0.001306,0.001666
2022-10-13,0.00119,0.001658
2022-10-14,0.001267,0.001658
2022-10-15,0.00125,0.001658
2022-10-16,0.001245,0.001658
2022-10-17,0.001207,0.001658
2022-10-18,0.001191,0.001653
2022-10-19,0.00118,0.001648
2022-10-20,0.00137,0.001652
2022-10-21,0.001359,0.001654
2022-10-22,0.001287,0.001653
2022-10-23,0.00132,0.001654
2022-10-24,0.00136,0.001657
2022-10-25,0.001358,0.001654
2022-10-26,0.001401,0.001652
2022-10-27,0.001379,0.001655
2022-10-28,0.001325,0.001655
2022-10-29,0.001417,0.001658
2022-10-30,0.001436,0.001661
2022-10-31,0.001463,0.001664
2022-11-01,0.001545,0.001662
2022-11-02,0.001609,0.001662
2022-11-03,0.001645,0.001666
2022-11-04,0.001747,0.00167
2022-11-05,0.001729,0.001673
2022-11-06,0.001655,0.001674
2022-11-07,0.001585,0.001674
2022-11-08,0.001487,0.001671
2022-11-09,0.001555,0.001674
2022-11-10,0.001514,0.001678
2022-11-11,0.001488,0.001681
2022-11-12,0.001481,0.001685
2022-11-13,0.001573,0.001688
2022-11-14,0.00165,0.00169
2022-11-15,0.001821,0.001691
2022-11-16,0.001895,0.001695
2022-11-17,0.002014,0.0017
2022-11-18,0.002067,0.001704
2022-11-19,0.002127,0.001707
2022-11-20,0.002038,0.001707
2022-11-21,0.002072,0.001708
2022-11-22,0.002251,0.001711
2022-11-23,0.00233,0.001716
2022-11-24,0.002125,0.001716
2022-11-25,0.002071,0.001718
2022-11-26,0.001948,0.00172
2022-11-27,0.002165,0.001722
2022-11-28,,
2022-11-29,,
2022-11-30,,
2022-12-01,,
