difference,all,imported,indigenous,fleet
0,0,0,0,0
1,7,7,0,0
2,25,25,0,0
3,25,25,0,0
4,8,8,0,0
5,13,13,0,0
6,37,37,0,0
7,3,3,0,0
8,3,3,0,0
9,3,3,0,0
10,2,2,0,0
11,1,1,0,0
12,2,2,0,0
13,3,3,0,0
14,17,17,0,0
15,64,64,0,0
16,17,17,0,0
17,16,16,0,0
18,14,14,0,0
19,1,1,0,0
20,1,1,0,0
21,3,3,0,0
22,0,0,0,0
23,3,3,0,0
24,3,3,0,0
25,2,2,0,0
26,1,1,0,0
27,1,1,0,0
28,2,2,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,1,1,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,1,1,0,0
