date,hospitalized
2021-09-14,383.0
2021-09-15,388.0
2021-09-16,400.0
2021-09-17,408.0
2021-09-18,414.0
2021-09-19,426.0
2021-09-20,431.0
2021-09-21,436.0
2021-09-22,443.0
2021-09-23,452.0
2021-09-24,460.0
2021-09-25,464.0
2021-09-26,472.0
2021-09-27,481.0
2021-09-28,487.0
2021-09-29,497.0
2021-09-30,504.0
2021-10-01,515.0
2021-10-02,524.0
2021-10-03,530.0
2021-10-04,534.0
2021-10-05,541.0
2021-10-06,546.0
2021-10-07,550.0
2021-10-08,562.0
2021-10-09,566.0
2021-10-10,573.0
2021-10-11,584.0
2021-10-12,588.0
2021-10-13,592.0
2021-10-14,600.0
2021-10-15,604.0
2021-10-16,615.0
2021-10-17,616.0
2021-10-18,616.0
2021-10-19,622.0
2021-10-20,626.0
2021-10-21,628.0
2021-10-22,635.0
2021-10-23,642.0
2021-10-24,646.0
2021-10-25,654.0
2021-10-26,658.0
2021-10-27,666.0
2021-10-28,672.0
2021-10-29,677.0
2021-10-30,684.0
2021-10-31,690.0
2021-11-01,695.0
2021-11-02,699.0
2021-11-03,706.0
2021-11-04,708.0
2021-11-05,714.0
2021-11-06,716.0
2021-11-07,720.0
2021-11-08,723.0
2021-11-09,729.0
2021-11-10,734.0
2021-11-11,743.0
2021-11-12,753.0
2021-11-13,757.0
2021-11-14,765.0
2021-11-15,774.0
2021-11-16,776.0
2021-11-17,781.0
2021-11-18,784.0
2021-11-19,794.0
2021-11-20,798.0
2021-11-21,807.0
2021-11-22,810.0
2021-11-23,817.0
2021-11-24,822.0
2021-11-25,832.0
2021-11-26,844.0
2021-11-27,856.0
2021-11-28,866.0
2021-11-29,874.0
2021-11-30,879.0
2021-12-01,887.0
2021-12-02,904.0
2021-12-03,915.0
2021-12-04,926.0
2021-12-05,930.0
2021-12-06,940.0
2021-12-07,961.0
2021-12-08,966.0
2021-12-09,983.0
2021-12-10,999.0
2021-12-11,1009.0
2021-12-12,
