date,total,70+,65-69,60-64,55-59,50-54,45-49,40-44,35-39,30-34,25-29,20-24,15-19,10-14,5-9,0-4
2021-11-21,0.15,0.0,0.0,0.06,0.0,0.0,0.0,0.1,0.16,0.51,0.56,0.47,0.43,0.0,0.09,0.0
2021-11-22,0.17,0.04,0.0,0.06,0.0,0.0,0.0,0.15,0.21,0.44,0.5,0.6,0.61,0.0,0.09,0.0
2021-11-23,0.17,0.04,0.0,0.12,0.05,0.0,0.0,0.1,0.21,0.32,0.56,0.54,0.69,0.0,0.09,0.0
2021-11-24,0.2,0.04,0.0,0.12,0.05,0.0,0.06,0.1,0.21,0.38,0.69,0.67,0.78,0.0,0.09,0.0
2021-11-25,0.21,0.04,0.0,0.12,0.05,0.0,0.17,0.15,0.26,0.38,0.69,0.67,0.61,0.0,0.09,0.0
2021-11-26,0.25,0.04,0.07,0.12,0.05,0.0,0.23,0.15,0.26,0.51,0.81,0.6,0.87,0.0,0.09,0.0
2021-11-27,0.25,0.04,0.07,0.06,0.05,0.0,0.23,0.15,0.21,0.57,0.69,0.6,1.3,0.0,0.0,0.0
2021-11-28,0.27,0.04,0.07,0.12,0.05,0.0,0.23,0.1,0.26,0.57,0.69,0.67,1.56,0.0,0.0,0.0
2021-11-29,0.26,0.0,0.07,0.12,0.05,0.0,0.23,0.15,0.21,0.63,0.81,0.54,1.39,0.0,0.0,0.0
2021-11-30,0.28,0.0,0.07,0.06,0.0,0.0,0.23,0.25,0.21,0.69,0.81,0.67,1.3,0.1,0.0,0.0
2021-12-01,0.31,0.0,0.07,0.06,0.0,0.06,0.17,0.4,0.26,0.63,0.81,0.87,1.39,0.1,0.0,0.0
2021-12-02,0.3,0.0,0.07,0.06,0.0,0.06,0.06,0.4,0.37,0.76,0.63,1.0,1.21,0.1,0.0,0.0
2021-12-03,0.29,0.0,0.0,0.06,0.0,0.11,0.0,0.4,0.42,0.57,0.63,1.0,1.21,0.1,0.09,0.0
2021-12-04,0.27,0.0,0.0,0.12,0.0,0.11,0.06,0.4,0.42,0.38,0.69,0.94,0.78,0.1,0.09,0.0
2021-12-05,0.28,0.0,0.0,0.12,0.0,0.11,0.06,0.45,0.48,0.44,0.75,0.94,0.61,0.1,0.09,0.0
2021-12-06,0.34,0.0,0.0,0.18,0.0,0.11,0.06,0.35,0.63,0.82,1.0,1.2,0.61,0.1,0.09,0.0
2021-12-07,0.33,0.04,0.0,0.18,0.0,0.11,0.06,0.25,0.63,0.76,1.06,1.14,0.61,0.0,0.09,0.0
2021-12-08,0.33,0.04,0.0,0.18,0.0,0.17,0.06,0.1,0.58,0.76,1.0,1.2,0.78,0.0,0.09,0.0
2021-12-09,0.35,0.04,0.0,0.24,0.0,0.17,0.06,0.05,0.53,0.69,1.31,1.14,1.13,0.0,0.09,0.0
2021-12-10,0.35,0.09,0.0,0.3,0.0,0.11,0.11,0.05,0.58,0.82,1.13,1.2,0.95,0.0,0.0,0.0
2021-12-11,0.36,0.09,0.0,0.24,0.0,0.11,0.06,0.05,0.58,0.82,1.25,1.27,1.04,0.0,0.0,0.0
2021-12-12,0.34,0.09,0.0,0.18,0.0,0.11,0.11,0.05,0.53,0.76,1.25,1.14,0.95,0.0,0.0,0.0
2021-12-13,0.29,0.09,0.0,0.12,0.11,0.17,0.11,0.15,0.42,0.38,1.0,0.87,1.04,0.0,0.0,0.0
2021-12-14,0.3,0.04,0.0,0.12,0.11,0.17,0.17,0.15,0.37,0.44,1.0,0.94,1.04,0.0,0.0,0.0
2021-12-15,0.28,0.09,0.0,0.12,0.11,0.17,0.28,0.2,0.42,0.51,1.0,0.54,0.78,0.0,0.0,0.0
2021-12-16,0.28,0.09,0.0,0.3,0.11,0.22,0.28,0.25,0.37,0.38,0.69,0.67,0.69,0.0,0.0,0.0
2021-12-17,0.29,0.04,0.0,0.36,0.11,0.44,0.23,0.3,0.26,0.32,0.75,0.67,0.78,0.0,0.0,0.0
2021-12-18,0.29,0.04,0.0,0.36,0.11,0.44,0.28,0.3,0.26,0.44,0.56,0.67,0.78,0.0,0.0,0.0
2021-12-19,0.31,0.04,0.0,0.36,0.16,0.5,0.28,0.25,0.21,0.57,0.75,0.67,0.87,0.0,0.0,0.0
2021-12-20,0.31,0.04,0.0,0.36,0.05,0.55,0.4,0.25,0.16,0.57,0.69,0.8,0.78,0.0,0.0,0.0
2021-12-21,0.35,0.04,0.0,0.36,0.05,0.55,0.51,0.3,0.16,0.69,0.88,0.8,0.78,0.0,0.0,0.0
2021-12-22,0.35,0.0,0.0,0.42,0.05,0.44,0.51,0.3,0.11,0.57,0.88,1.0,0.78,0.21,0.0,0.0
2021-12-23,0.37,0.0,0.0,0.36,0.05,0.55,0.62,0.3,0.11,0.82,1.0,0.87,0.61,0.21,0.0,0.0
2021-12-24,0.39,0.0,0.07,0.24,0.16,0.33,0.68,0.3,0.26,0.82,1.13,0.94,0.69,0.21,0.0,0.0
2021-12-25,0.47,0.04,0.07,0.24,0.27,0.33,0.62,0.4,0.32,1.01,1.31,1.34,0.69,0.31,0.0,0.0
2021-12-26,0.49,0.04,0.07,0.36,0.27,0.39,0.57,0.4,0.37,1.07,1.19,1.54,0.61,0.41,0.0,0.0
2021-12-27,0.53,0.17,0.14,0.36,0.27,0.28,0.51,0.45,0.42,1.26,1.19,1.61,0.61,0.51,0.09,0.0
2021-12-28,0.53,0.21,0.14,0.48,0.27,0.39,0.4,0.4,0.58,1.26,0.88,1.47,0.69,0.62,0.09,0.0
2021-12-29,0.57,0.21,0.21,0.42,0.38,0.61,0.34,0.55,0.69,1.39,1.13,1.2,0.69,0.41,0.09,0.0
2021-12-30,0.66,0.26,0.35,0.36,0.49,0.61,0.28,0.55,1.06,1.89,1.19,1.47,0.61,0.41,0.09,0.0
2021-12-31,0.67,0.3,0.28,0.36,0.44,0.66,0.4,0.55,1.11,2.08,1.25,1.4,0.35,0.41,0.09,0.0
2022-01-01,0.65,0.26,0.35,0.42,0.38,0.66,0.57,0.45,1.21,2.15,1.13,1.0,0.26,0.31,0.09,0.11
2022-01-02,0.7,0.3,0.41,0.48,0.44,0.66,0.74,0.5,1.21,2.15,1.44,0.8,0.17,0.21,0.19,0.22
2022-01-03,0.75,0.3,0.48,0.48,0.49,0.83,0.85,0.64,1.27,2.08,1.5,0.87,0.17,0.1,0.09,0.43
2022-01-04,0.7,0.26,0.48,0.36,0.6,0.72,0.8,0.64,1.11,1.89,1.5,0.87,0.09,0.0,0.09,0.43
