age,label,label_fr,label_zh
total,Nationalwide,National,全國
70+,70+ yo,70+ ans,70+歲
65-69,65-69 yo,65-69 ans,65-69歲
60-64,60-64 yo,60-64 ans,60-64歲
55-59,55-59 yo,55-59 ans,55-59歲
50-54,50-54 yo,50-54 ans,50-54歲
45-49,45-49 yo,45-49 ans,45-49歲
40-44,40-44 yo,40-44 ans,40-44歲
35-39,35-39 yo,35-39 ans,35-39歲
30-34,30-34 yo,30-34 ans,30-34歲
25-29,25-29 yo,25-29 ans,25-29歲
20-24,20-24 yo,20-24 ans,20-24歲
15-19,15-19 yo,15-19 ans,15-19歲
10-14,10-14 yo,10-14 ans,10-14歲
5-9,5-9 yo,5-9 ans,5-9歲
0-4,0-4 yo,0-4 ans,0-4歲
