date,total,Keelung,Taipei,New_Taipei,Taoyuan,Hsinchu,Hsinchu_C,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Chiayi_C,Tainan,Kaohsiung,Pingtung,Yilan,Hualien,Taitung,Penghu,Kinmen,Matsu
2022-05-09,1109.05,2492.22,1833.96,2397.54,1807.83,794.66,575.4,360.89,522.71,239.65,258.21,345.12,228.08,282.33,403.81,443.84,458.64,1121.71,1237.62,579.73,253.05,84.56,432.53
2022-05-10,1281.83,2793.39,1998.04,2776.21,2086.75,1014.56,780.0,462.22,621.69,294.57,317.79,392.18,265.73,352.26,477.72,541.03,546.38,1310.93,1422.14,689.76,320.6,101.0,479.71
2022-05-11,1432.1,3041.86,2141.74,3140.68,2320.7,1154.49,917.66,562.26,690.04,341.22,362.79,442.47,311.95,383.34,552.92,618.39,612.22,1415.57,1609.12,779.44,351.04,130.75,487.57
2022-05-12,1554.62,3195.94,2277.78,3414.26,2463.49,1346.25,968.75,646.34,752.84,396.85,395.01,472.17,344.22,431.45,625.61,689.55,693.47,1578.36,1788.12,863.12,410.02,161.29,550.49
2022-05-13,1637.58,3293.28,2304.08,3566.32,2579.71,1513.25,1144.34,701.77,817.31,443.35,437.17,508.34,384.26,477.33,688.68,751.01,751.6,1780.37,1797.33,925.99,430.0,234.1,495.44
2022-05-14,1741.31,3510.56,2430.63,3695.01,2764.91,1728.73,1336.44,791.54,875.54,508.49,483.18,549.96,418.32,509.52,748.33,820.01,813.88,1999.78,1923.51,965.75,474.71,309.26,408.93
2022-05-15,1832.09,3567.3,2513.24,3845.12,2868.93,1884.4,1452.23,912.14,957.09,574.42,538.91,584.22,461.55,556.51,808.36,905.05,845.94,2132.39,1936.72,997.19,504.2,389.91,424.66
2022-05-16,1945.6,3680.24,2563.06,4006.32,3058.34,2163.38,1587.66,1054.96,1045.63,652.47,625.86,600.1,534.26,656.79,877.27,1013.7,947.88,2269.41,2110.49,1090.57,570.79,430.62,519.03
2022-05-17,2009.45,3757.42,2620.36,4070.19,2990.56,2272.53,1631.84,1113.7,1124.84,722.41,683.21,650.39,588.84,703.78,970.24,1130.07,1045.16,2382.42,2188.78,1212.62,617.41,503.43,503.3
2022-05-18,2117.57,3951.83,2671.32,4098.37,3163.51,2528.69,1875.03,1248.44,1256.52,821.39,799.95,717.01,643.62,817.38,1100.46,1255.92,1174.63,2595.65,2220.71,1356.86,698.27,559.81,636.99
2022-05-19,2203.55,3960.71,2645.22,4124.74,3267.09,2734.44,2130.49,1349.21,1379.36,906.2,886.09,778.62,714.93,868.81,1226.53,1399.97,1303.98,2781.14,2274.75,1484.0,742.03,600.52,566.22
2022-05-20,2291.37,3917.95,2672.08,4176.14,3321.03,2871.18,2209.92,1524.15,1502.34,1038.23,989.86,852.44,783.46,979.45,1334.09,1543.27,1437.48,2841.06,2400.32,1563.51,816.23,595.82,495.44
2022-05-21,2337.1,3831.9,2591.22,4118.46,3403.27,2941.95,2279.97,1667.33,1611.73,1113.05,1073.97,892.29,849.59,1068.99,1451.53,1668.0,1545.78,2822.77,2437.17,1660.6,868.56,591.91,1030.2
