county,label,label_fr,label_zh
total,Nationalwide,National,全國
Keelung,Keelung,Keelung,基隆
Taipei,Taipei,Taipei,台北
New_Taipei,New Taipei,Nouveau Taipei,新北
Taoyuan,Taoyuan,Taoyuan,桃園
Hsinchu,Hsinchu County,Comté de Hsinchu,竹縣
Hsinchu_C,Hsinchu City,Ville de Hsinchu,竹市
Miaoli,Miaoli,Miaoli,苗栗
Taichung,Taichung,Taichung,台中
Changhua,Changhua,Changhua,彰化
Nantou,Nantou,Nantou,南投
Yunlin,Yunlin,Yunlin,雲林
Chiayi,Chiayi County,Comté de Chiayi,嘉縣
Chiayi_C,Chiayi City,Ville de Chiayi,嘉市
Tainan,Tainan,Tainan,台南
Kaohsiung,Kaohsiung,Kaohsiung,高雄
Pingtung,Pingtung,Pingtung,屏東
Yilan,Yilan,Yilan,宜蘭
Hualien,Hualien,Hualien,花蓮
Taitung,Taitung,Taitung,台東
Penghu,Penghu,Penghu,澎湖
Kinmen,Kinmen,Kinmen,金門
Matsu,Matsu,Matsu,馬祖
