county,total,week_-1,week_-2,week_-3,week_-4,week_-5,week_-6,week_-7,week_-8,week_-9,week_-10,week_-11,week_-12
total,1698555,110563,191151,118220,136407,163816,183799,148826,112021,103999,98158,101653,114468
Keelung,25786,2055,3760,2247,2326,2544,2763,1964,1367,1191,1127,1261,1548
Taipei,164953,9382,16917,11899,14692,17542,20327,16316,11547,9959,8147,8680,9811
New_Taipei,326649,21463,37901,24778,28905,33961,38348,30544,22420,17974,16029,16505,18649
Taoyuan,189253,12574,22554,13154,15326,17645,19744,17145,12997,11855,10864,10977,12213
Hsinchu,55579,3528,6231,3520,4248,5204,6420,5567,4050,3493,3396,3332,3512
Hsinchu_C,47180,2655,4573,2912,3639,4503,5501,4937,3415,3229,2981,2958,3132
Miaoli,43180,2814,5026,3000,3419,4110,4496,3633,2760,2773,2705,2762,2916
Taichung,218597,13636,23100,13685,17071,21544,24480,19265,14405,14085,13432,13784,15112
Changhua,78693,5367,8462,5172,5429,6595,8218,6580,5119,5313,5534,5630,5715
Nantou,25501,1780,2900,1727,1830,2175,2562,2114,1536,1656,1659,1732,1824
Yunlin,33896,2083,3843,2181,2362,2883,3171,2530,2144,2229,2374,2420,2717
Chiayi,24779,1458,2597,1473,1668,2384,2568,2002,1616,1608,1681,1723,1942
Chiayi_C,16076,920,1698,1091,1117,1495,1643,1247,986,1044,1004,1102,1305
Tainan,138888,8865,15356,9702,10912,13080,14949,11920,8433,8098,7310,8573,10618
Kaohsiung,206726,13765,23417,14616,16372,19557,19555,15590,12829,12974,12942,13106,15574
Pingtung,39878,2842,4429,2484,2626,3447,3359,2598,2422,2594,2907,3017,3571
Yilan,25667,2374,3518,1947,1936,2279,2332,2019,1507,1415,1474,1535,1687
Hualien,18059,1602,2538,1309,1134,1208,1379,1209,1061,1246,1343,1377,1431
Taitung,9727,775,1190,650,680,751,856,694,629,604,693,719,746
Penghu,3345,294,487,236,220,300,368,300,270,215,160,152,170
Kinmen,5738,301,613,404,439,570,707,628,496,433,379,274,248
Matsu,405,30,41,33,56,39,53,24,12,11,17,34,27
