county,total,week_-1,week_-2,week_-3,week_-4,week_-5,week_-6,week_-7,week_8,week_-9,week_-10,week_-11,week_-12
Keelung,0,61,49,77,61,17,1,0,0,0,0,0,266
Taipei,0,301,744,1041,1385,518,3,3,0,0,0,0,3995
New_Taipei,0,607,1228,1665,1682,576,14,6,0,0,0,0,5778
Taoyuan,0,82,108,165,144,51,2,3,5,0,0,0,560
Hsinchu,0,20,13,12,9,2,0,0,0,0,0,0,56
Hsinchu_C,0,6,7,7,9,3,0,0,0,0,0,0,32
Miaoli,0,135,273,30,6,1,0,0,0,0,0,0,445
Taichung,0,10,25,80,54,7,0,0,0,0,0,0,176
Changhua,0,27,48,65,52,58,0,0,0,0,0,0,250
Nantou,0,2,8,7,13,0,0,0,0,0,0,0,30
Yunlin,0,4,5,2,8,1,0,0,0,0,0,0,20
Chiayi,0,1,5,11,1,0,0,0,0,0,0,0,18
Chiayi_C,0,0,2,5,2,0,0,0,0,0,0,0,9
Tainan,0,4,7,10,18,2,0,0,0,0,0,0,41
Kaohsiung,0,1,8,24,19,10,0,0,0,0,0,0,62
Pingtung,0,0,6,4,23,0,0,0,0,0,0,0,33
Yilan,0,8,14,21,30,13,8,0,0,0,0,0,94
Hualien,0,19,2,30,6,0,0,0,0,0,0,0,57
Taitung,0,1,0,18,3,0,0,0,0,0,0,0,22
Penghu,0,0,3,2,0,0,0,0,0,0,0,0,5
Kinmen,0,0,0,0,0,0,0,0,0,0,0,0,0
Matsu,0,0,0,3,1,0,0,0,0,0,0,0,4
