symptom,trav_hist,corr,count
asymptomatic,Philippines,0.191,59
cough,Philippines,-0.1941,4
fever,Philippines,-0.0931,7
sneezing,Philippines,-0.1354,3
dysnosmia,Philippines,-0.153,1
dysgeusia,Philippines,-0.0826,2
throatache,Philippines,-0.1308,1
dyspnea,Philippines,0.0017,3
headache,Philippines,-0.1486,0
fatigue,Philippines,-0.0342,2
asymptomatic,Indonesia,0.2043,34
cough,Indonesia,-0.1288,2
fever,Indonesia,-0.1609,1
sneezing,Indonesia,-0.1131,1
dysnosmia,Indonesia,-0.1267,0
dysgeusia,Indonesia,-0.1151,0
throatache,Indonesia,-0.0563,1
dyspnea,Indonesia,-0.1024,0
headache,Indonesia,-0.0258,1
fatigue,Indonesia,-0.0955,0
asymptomatic,India,-0.0275,21
cough,India,0.1011,7
fever,India,-0.0534,3
sneezing,India,0.1515,6
dysnosmia,India,0.1216,4
dysgeusia,India,0.0892,3
throatache,India,0.0892,3
dyspnea,India,-0.0197,1
headache,India,-0.0844,0
fatigue,India,0.0665,2
asymptomatic,Japan,-0.2077,2
cough,Japan,0.0624,2
fever,Japan,0.1413,3
sneezing,Japan,-0.0663,0
dysnosmia,Japan,-0.0533,0
dysgeusia,Japan,-0.0483,0
throatache,Japan,0.0689,1
dyspnea,Japan,0.0874,1
headache,Japan,0.0989,1
fatigue,Japan,0.2379,2
asymptomatic,USA,-0.1093,2
cough,USA,0.2109,3
fever,USA,0.0286,1
sneezing,USA,0.1722,2
dysnosmia,USA,0.0933,1
dysgeusia,USA,0.1092,1
throatache,USA,-0.0379,0
dyspnea,USA,-0.0337,0
headache,USA,-0.0315,0
fatigue,USA,-0.0315,0
asymptomatic,UK,-0.0657,2
cough,UK,0.1468,2
fever,UK,0.1513,2
sneezing,UK,0.0786,1
dysnosmia,UK,0.1133,1
dysgeusia,UK,0.1302,1
throatache,UK,0.1302,1
dyspnea,UK,-0.0301,0
headache,UK,-0.0281,0
fatigue,UK,0.1664,1
asymptomatic,Egypt,-0.1943,0
cough,Egypt,0.1863,2
fever,Egypt,-0.0504,0
sneezing,Egypt,0.1039,1
dysnosmia,Egypt,-0.0322,0
dysgeusia,Egypt,-0.0292,0
throatache,Egypt,0.1597,1
dyspnea,Egypt,0.1841,1
headache,Egypt,0.1998,1
fatigue,Egypt,-0.0242,0
asymptomatic,Canada,0.0808,3
cough,Canada,-0.0515,0
fever,Canada,-0.0504,0
sneezing,Canada,-0.0401,0
dysnosmia,Canada,-0.0322,0
dysgeusia,Canada,-0.0292,0
throatache,Canada,-0.0292,0
dyspnea,Canada,-0.026,0
headache,Canada,-0.0242,0
fatigue,Canada,-0.0242,0
asymptomatic,Netherlands,0.0808,3
cough,Netherlands,-0.0515,0
fever,Netherlands,-0.0504,0
sneezing,Netherlands,-0.0401,0
dysnosmia,Netherlands,-0.0322,0
dysgeusia,Netherlands,-0.0292,0
throatache,Netherlands,-0.0292,0
dyspnea,Netherlands,-0.026,0
headache,Netherlands,-0.0242,0
fatigue,Netherlands,-0.0242,0
asymptomatic,Kazakhstan,-0.0462,1
cough,Kazakhstan,0.1033,1
fever,Kazakhstan,-0.041,0
sneezing,Kazakhstan,-0.0326,0
dysnosmia,Kazakhstan,-0.0262,0
dysgeusia,Kazakhstan,-0.0238,0
throatache,Kazakhstan,-0.0238,0
dyspnea,Kazakhstan,0.2355,1
headache,Kazakhstan,-0.0197,0
fatigue,Kazakhstan,-0.0197,0
