symptom,trav_hist,value,label
asymptomatic,Philippines,0.2067527729737926,+21%
cough,Philippines,-0.17033732063823387,-17%
fever,Philippines,-0.08431962427259126,-8%
dysnosmia,Philippines,-0.035513040515612146,-4%
throatache,Philippines,-0.12463835699180609,-12%
dysgeusia,Philippines,0.057119356069626794,+6%
sneezing,Philippines,-0.1579597007357577,-16%
headache,Philippines,-0.04383275373525692,-4%
diarrhea,Philippines,-0.14380637019563322,-14%
dyspnea,Philippines,0.10442060933319544,+10%
asymptomatic,Indonesia,0.1976992499193693,+20%
cough,Indonesia,-0.1735747396418912,-17%
fever,Indonesia,-0.03223516539690438,-3%
dysnosmia,Indonesia,-0.116533200389732,-12%
throatache,Indonesia,-0.09811973854152009,-10%
dysgeusia,Indonesia,-0.0915197635780034,-9%
sneezing,Indonesia,-0.09151976357800322,-9%
headache,Indonesia,-0.04366934116882014,-4%
diarrhea,Indonesia,-0.10213445915499815,-10%
dyspnea,Indonesia,-0.08006105806586651,-8%
asymptomatic,USA,-0.11319217688765539,-11%
cough,USA,0.010219250343291256,+1%
fever,USA,0.025695513275810208,+3%
dysnosmia,USA,0.03307466003041758,+3%
throatache,USA,0.174439643361238,+17%
dysgeusia,USA,0.06698938453032344,+7%
sneezing,USA,0.006895966054591927,+1%
headache,USA,-0.009997500937109473,-1%
diarrhea,USA,0.16080699534396115,+16%
dyspnea,USA,-0.06354464059473942,-6%
asymptomatic,UAE,0.0382225000636742,+4%
cough,UAE,0.023421491141858868,+2%
fever,UAE,-0.08421668532353041,-8%
dysnosmia,UAE,-0.08183363164378521,-8%
throatache,UAE,-0.07441812167952261,-7%
dysgeusia,UAE,-0.07184026689225989,-7%
sneezing,UAE,-0.0718402668922599,-7%
headache,UAE,0.056502025672148695,+6%
diarrhea,UAE,-0.05140471049370238,-5%
dyspnea,UAE,-0.04029507323722851,-4%
asymptomatic,UK,0.020514439072850867,+2%
cough,UK,-0.03245017408446099,-3%
fever,UK,0.0823205503697992,+8%
dysnosmia,UK,0.005432336233514073,+1%
throatache,UK,-0.0703960654392037,-7%
dysgeusia,UK,-0.0679575352774455,-7%
sneezing,UK,-0.06795753527744552,-7%
headache,UK,0.06513409961685827,+7%
diarrhea,UK,0.07496578310876185,+7%
dyspnea,UK,-0.038117256233651794,-4%
asymptomatic,Brazil,-0.0542414781655114,-5%
cough,Brazil,-0.09467621366622993,-9%
fever,Brazil,0.010766015931435958,+1%
dysnosmia,Brazil,-0.07277477067903951,-7%
throatache,Brazil,0.028436781745317115,+3%
dysgeusia,Brazil,-0.06388765649999402,-6%
sneezing,Brazil,-0.06388765649999396,-6%
headache,Brazil,-0.0486264539083864,-5%
diarrhea,Brazil,-0.04571428571428571,-5%
dyspnea,Brazil,-0.03583446873162335,-4%
asymptomatic,France,-0.07710067728006843,-8%
cough,France,0.10686916227490688,+11%
fever,France,-0.05870785280031351,-6%
dysnosmia,France,0.05284317995128445,+5%
throatache,France,0.06679193024438969,+7%
dysgeusia,France,-0.050080192513437934,-5%
sneezing,France,0.19431114695213988,+19%
headache,France,-0.0381172562336518,-4%
diarrhea,France,0.12810822571555422,+13%
dyspnea,France,-0.028089887640449344,-3%
asymptomatic,Paraguay,0.11629889808580238,+12%
cough,Paraguay,-0.06619396441161546,-7%
fever,Paraguay,-0.05236301874330905,-5%
dysnosmia,Paraguay,-0.05088131848380056,-5%
throatache,Paraguay,-0.04627061116662064,-5%
dysgeusia,Paraguay,-0.04466779032388113,-4%
sneezing,Paraguay,-0.04466779032388112,-4%
headache,Paraguay,-0.03399774489104751,-3%
diarrhea,Paraguay,-0.03196166898204977,-3%
dyspnea,Paraguay,-0.02505408123198209,-3%
asymptomatic,Egypt,-0.19214600553306385,-19%
cough,Egypt,0.33758921849923945,+34%
fever,Egypt,0.06741738663201051,+7%
dysnosmia,Egypt,-0.05088131848380067,-5%
throatache,Egypt,0.21833944644249056,+22%
dysgeusia,Egypt,-0.04466779032388105,-4%
sneezing,Egypt,0.22780573065179302,+23%
headache,Egypt,0.13882412497177735,+14%
diarrhea,Egypt,0.333599920000145,+33%
dyspnea,Egypt,-0.0250540812319821,-3%
asymptomatic,South Africa,-0.07714775158228018,-8%
cough,South Africa,0.05907173488241946,+6%
fever,South Africa,-0.04522156316461307,-5%
dysnosmia,South Africa,-0.04394194248031266,-4%
throatache,South Africa,0.2647353968386551,+26%
dysgeusia,South Africa,-0.03857583749052283,-4%
sneezing,South Africa,0.11829923497093732,+12%
headache,South Africa,-0.029361010975735305,-3%
diarrhea,South Africa,-0.027602622373694045,-3%
dyspnea,South Africa,-0.021637116120395778,-2%
