symptom,trav_hist,value,label
asymptomatic,Philippines,0.38923752378735643,57
cough,Philippines,-0.19907320169960926,2
throatache,Philippines,-0.1969144772086743,1
sneezing,Philippines,-0.20809245333697893,0
fever,Philippines,-0.13554272598587527,2
dysnosmia,Philippines,-0.15740180805787865,1
dysgeusia,Philippines,-0.09332356403405838,1
headache,Philippines,-0.12584088917093358,0
fatigue,Philippines,-0.11836769041821031,0
diarrhea,Philippines,-0.11046623560600768,0
asymptomatic,Indonesia,0.251770787597385,42
cough,Indonesia,-0.12965877160882675,3
throatache,Indonesia,-0.16376085730804416,1
sneezing,Indonesia,-0.10874155320026385,2
fever,Indonesia,-0.13924643381699264,1
dysnosmia,Indonesia,-0.12866493310890612,1
dysgeusia,Indonesia,-0.07086799492819615,1
headache,Indonesia,-0.10882728231804788,0
fatigue,Indonesia,-0.10236445520486014,0
diarrhea,Indonesia,-0.09553127197454536,0
asymptomatic,USA,-0.37612271726518043,11
cough,USA,0.2764725588121181,15
throatache,USA,0.27156223480263386,13
sneezing,USA,0.13323481783497435,8
fever,USA,0.18135750584493812,9
dysnosmia,USA,0.24439204757752156,10
dysgeusia,USA,0.2036016785281907,6
headache,USA,-0.04247615787482743,1
fatigue,USA,0.15019167290318852,4
diarrhea,USA,0.10757254481848871,3
asymptomatic,UK,-0.12838750728180962,7
cough,UK,-0.02454177663334466,2
throatache,UK,-0.003019780411753657,2
sneezing,UK,0.013703316948424278,2
fever,UK,0.18830019422844715,5
dysnosmia,UK,-0.0310287852799177,1
dysgeusia,UK,-0.0654363795264134,0
headache,UK,0.19868427198830918,3
fatigue,UK,0.12631048406490555,2
diarrhea,UK,0.04519593473629414,1
asymptomatic,UAE,-0.050999692731308964,4
cough,UAE,0.12332667689245912,3
throatache,UAE,-0.0715944916786764,0
sneezing,UAE,-0.06541459903906667,0
fever,UAE,-0.06381739540308569,0
dysnosmia,UAE,-0.06054701574661488,0
dysgeusia,UAE,-0.043939405402008504,0
headache,UAE,0.08296302567216167,1
fatigue,UAE,-0.037209302325581305,0
diarrhea,UAE,-0.034725452046165034,0
asymptomatic,Brazil,-0.10129491997677414,2
cough,Brazil,-0.06929883405692558,0
throatache,Brazil,0.023238838892838568,1
sneezing,Brazil,-0.05638903707551807,0
fever,Brazil,0.03792508222799109,1
dysnosmia,Brazil,-0.05219305729763524,0
dysgeusia,Brazil,-0.03787687758829413,0
headache,Brazil,-0.034100451271939315,0
fatigue,Brazil,-0.03207535869994854,0
diarrhea,Brazil,-0.029934217004462558,0
asymptomatic,Russia,0.05394918840880669,4
cough,Russia,-0.06311563047484037,0
throatache,Russia,-0.05620961384860708,0
sneezing,Russia,-0.051357712944592376,0
fever,Russia,-0.05010373100392827,0
dysnosmia,Russia,0.05846942806431302,1
dysgeusia,Russia,-0.03449730492492518,0
headache,Russia,-0.031057831070246414,0
fatigue,Russia,-0.029213427824643007,0
diarrhea,Russia,-0.027263329963897513,0
asymptomatic,Myanmar,0.034164209851519314,3
cough,Myanmar,0.03882894304135064,1
throatache,Myanmar,-0.050160491655484744,0
sneezing,Myanmar,-0.04583073882237311,0
fever,Myanmar,0.06859182312807759,1
dysnosmia,Myanmar,-0.04242041541063308,0
dysgeusia,Myanmar,-0.03078480098589552,0
headache,Myanmar,-0.027715473734305822,0
fatigue,Myanmar,-0.02606956003243237,0
diarrhea,Myanmar,-0.024329326275716618,0
asymptomatic,India,0.10405979514407757,4
cough,India,-0.05632330199404695,0
throatache,India,-0.050160491655484994,0
sneezing,India,-0.045830738822373096,0
fever,India,-0.04471170692793154,0
dysnosmia,India,-0.042420415410633,0
dysgeusia,India,-0.03078480098589559,0
headache,India,-0.027715473734305815,0
fatigue,India,-0.026069560032432413,0
diarrhea,India,-0.02432932627571665,0
asymptomatic,Egypt,-0.10562696073359569,1
cough,Egypt,-0.05632330199404696,0
throatache,Egypt,0.26055588721043393,3
sneezing,Egypt,0.2874384380490115,3
fever,Egypt,-0.04471170692793159,0
dysnosmia,Egypt,-0.04242041541063291,0
dysgeusia,Egypt,-0.03078480098589558,0
headache,Egypt,0.48733041316154124,3
fatigue,Egypt,-0.02606956003243238,0
diarrhea,Egypt,-0.024329326275716667,0
