key,count,label,label_fr,label_zh
N_total,13944,,,
N_imported,248,,,
N_data,195,,,
Philippines,71,Philippines,Philippines,菲律賓
Indonesia,37,Indonesia,Indonésie,印尼
India,31,India,Inde,印度
Japan,9,Japan,Japon,日本
USA,6,USA,États-Unis,美國
UK,5,UK,Royaume-Uni,英國
Egypt,3,Egypt,Égypte,埃及
Canada,3,Canada,Canada,加拿大
Netherlands,3,Netherlands,Pays-Bas,荷蘭
Kazakhstan,2,Kazakhstan,Kazakhstan,哈薩克
asymptomatic,139,Asymptomatic,Asymptomatique,無症狀
cough,29,Cough,Toux,咳嗽
fever,26,Fever,Fièvre,發燒
sneezing,17,Sneezing,Éternuement,鼻腔症狀
dysnosmia,12,Dysnosmia,Dysosmie,嗅覺異常
throatache,10,Throatache,Mal de gorge,喉嚨症狀
dysgeusia,9,Dysgeusia,Dysgueusie,味覺異常
fatigue,8,Fatigue,Fatigue,倦怠
headache,7,Headache,Mal de tête,頭痛
dyspnea,7,Dyspnea,Dyspnée,呼吸困難
