label,count,label_zh,label_fr
N_total,305,合計,Total
N_imported,304,境外移入總數,Importés
N_data,280,有資料案例數,Données complètes
Indonesia,126,印尼,Indonésie
Philippines,60,菲律賓,Philippines
USA,40,美國,États-Unis
UK,13,英國,Royaume-Uni
Russia,5,俄羅斯,Russie
India,4,印度,Inde
Egypt,4,埃及,Égypte
France,3,法國,France
Turkey,3,土耳其,Turquie
Germany,3,德國,Allemagne
asymptomatic,175,無症狀,asymptomatique
sneezing,42,鼻腔症狀,éternuement
cough,41,咳嗽,toux
throatache,35,喉嚨症狀,mal de gorge
fever,30,發燒,fièvre
dysnosmia,29,嗅覺異常,dysosmie
dysgeusia,19,味覺異常,dysgueusie
soreness,17,痠痛,myalgie
fatigue,16,倦怠,fatigue
headache,16,頭痛,mal de tête
