date,interpolated,total,AZ,Moderna,Medigen,Pfizer,Novavax,total_avg,AZ_avg,Moderna_avg,Medigen_avg,Pfizer_avg,Novavax_avg
2022-04-13,0,99660,1327,86129,11941,263,0,91120.1429,1107.2857,81021.7143,8749.8571,241.2857,0.0
2022-04-14,0,109461,1811,94382,12682,586,0,93668.2857,1108.8571,82932.2857,9272.7143,354.4286,0.0
2022-04-15,0,164920,1814,148731,13686,689,0,98490.5714,1204.4286,87196.2857,9757.8571,332.0,0.0
2022-04-16,1,102788,582,96104,5799,301,0,104757.7143,1221.8571,93357.5714,9855.5714,322.4286,0.0
2022-04-17,-1,102788,583,96105,5800,302,0,111024.8571,1239.4286,99519.0,9953.4286,313.0,0.0
2022-04-18,0,144525,1750,127156,15396,223,0,116857.2857,1318.7143,104602.0,10594.5714,342.0,0.0
2022-04-19,0,115642,1828,100787,12478,549,0,119969.1429,1385.0,107056.2857,11111.7143,416.1429,0.0
2022-04-20,0,124290,1892,104413,17422,563,0,123487.7143,1465.7143,109668.2857,11894.7143,459.0,0.0
2022-04-21,0,141917,2530,115947,23316,124,0,128124.2857,1568.4286,112749.0,13413.8571,393.0,0.0
2022-04-22,0,167573,2586,143146,21676,165,0,128503.2857,1678.7143,111951.1429,14555.2857,318.1429,0.0
2022-04-23,1,63420,962,51064,11394,0,0,122879.2857,1733.0,105516.8571,15354.5714,275.1429,0.0
2022-04-24,-1,63421,962,51065,11394,0,0,117255.4286,1787.1429,99082.5714,16153.7143,232.0,0.0
2022-04-25,0,123259,1838,93883,25648,1890,0,114217.4286,1799.7143,94329.2857,17618.2857,470.1429,0.0
2022-04-26,0,96746,2198,71740,22594,214,0,111518.0,1852.5714,90179.7143,19063.4286,422.2857,0.0
2022-04-27,0,102459,2512,71030,29206,-289,0,108399.2857,1941.1429,85410.7143,20746.8571,300.5714,0.0
2022-04-28,0,102305,2647,75941,23567,150,0,102740.4286,1957.8571,79695.5714,20782.7143,304.2857,0.0
2022-04-29,0,121002,2336,97677,20812,177,0,96087.4286,1922.1429,73200.0,20659.2857,306.0,0.0
2022-04-30,1,46342,1242,36723,8545,-168,0,93647.7143,1962.1429,71151.2857,20252.2857,282.0,0.0
2022-05-01,-1,46343,1243,36723,8545,-168,0,91208.0,2002.2857,69102.4286,19845.2857,258.0,0.0
2022-05-02,0,73844,1773,56083,15907,81,0,84148.7143,1993.0,63702.4286,18453.7143,-0.4286,0.0
2022-05-03,0,78911,1786,63046,14100,-21,0,81600.8571,1934.1429,62460.4286,17240.2857,-34.0,0.0
2022-05-04,0,128365,1697,112363,14161,144,0,85301.7143,1817.7143,68365.1429,15091.0,27.8571,0.0
2022-05-05,0,100221,1316,85669,13193,43,0,85004.0,1627.5714,69754.8571,13609.0,12.5714,0.0
2022-05-06,0,126783,1179,114300,11495,-191,0,85829.8571,1462.2857,72129.5714,12278.0,-40.0,0.0
2022-05-07,1,50430,822,44169,5305,133,0,86413.8571,1402.2857,73193.2857,11815.1429,3.0,0.0
2022-05-08,-1,50431,822,44170,5306,134,0,86997.8571,1342.1429,74257.1429,11352.4286,46.1429,0.0
2022-05-09,0,78060,1046,67652,9542,-180,0,87600.1429,1238.2857,75909.8571,10443.1429,8.8571,0.0
2022-05-10,0,74509,1179,65274,7995,61,0,86971.2857,1151.5714,76228.1429,9571.0,20.5714,0.0
