key,value_1,value_2,value_3,label,label_fr,label_zh
total,91.5,85.5,71.7,Nationalwide,National,全國
Keelung,91.4,86.2,73.1,Keelung,Keelung,基隆
Taipei,89.6,84.3,71.3,Taipei,Taipei,台北
New_Taipei,90.5,85.1,71.6,New Taipei,Nouveau Taipei,新北
Taoyuan,92.9,87.1,72.5,Taoyuan,Taoyuan,桃園
Hsinchu,92.5,85.4,69.5,Hsinchu County,Comté de Hsinchu,竹縣
Hsinchu_C,92.1,84.7,70.5,Hsinchu City,Ville de Hsinchu,竹市
Miaoli,92.2,85.0,70.6,Miaoli,Miaoli,苗栗
Taichung,92.1,86.0,72.9,Taichung,Taichung,台中
Changhua,93.4,87.8,72.9,Changhua,Changhua,彰化
Nantou,92.0,86.1,71.1,Nantou,Nantou,南投
Yunlin,92.4,86.5,71.3,Yunlin,Yunlin,雲林
Chiayi,92.1,86.2,72.0,Chiayi County,Comté de Chiayi,嘉縣
Chiayi_C,91.3,84.9,71.2,Chiayi City,Ville de Chiayi,嘉市
Tainan,91.9,85.1,71.9,Tainan,Tainan,台南
Kaohsiung,91.8,85.8,72.9,Kaohsiung,Kaohsiung,高雄
Pingtung,91.0,84.6,69.8,Pingtung,Pingtung,屏東
Yilan,91.5,84.9,72.2,Yilan,Yilan,宜蘭
Hualien,88.2,81.8,65.8,Hualien,Hualien,花蓮
Taitung,86.6,79.3,63.1,Taitung,Taitung,台東
Penghu,91.2,86.7,74.6,Penghu,Penghu,澎湖
Kinmen,90.8,86.4,74.3,Kinmen,Kinmen,金門
Matsu,93.5,89.6,80.4,Matsu,Matsu,馬祖
