date,interpolated,ppl_vacc_rate,ppl_fully_vacc_rate,ppl_vacc_3_rate,ppl_vacc_4_rate
2022-12-11,1,0.9249,0.8727,0.734,0.1097
2022-12-12,0,0.9249,0.8727,0.734,0.1097
2022-12-13,0,0.9249,0.8728,0.734,0.1097
2022-12-14,0,0.9249,0.8729,0.7341,0.1098
2022-12-15,0,0.925,0.873,0.7343,0.1098
2022-12-16,0,0.9251,0.8734,0.7346,0.1099
2022-12-17,1,0.9251,0.8734,0.7346,0.11
2022-12-18,1,0.9251,0.8734,0.7347,0.11
2022-12-19,0,0.9251,0.8735,0.7347,0.11
2022-12-20,0,0.9251,0.8736,0.7349,0.11
2022-12-21,0,0.9252,0.8737,0.7351,0.11
2022-12-22,0,0.9252,0.8738,0.7353,0.1101
2022-12-23,0,0.9253,0.8741,0.7356,0.1102
2022-12-24,1,0.9253,0.8741,0.7356,0.1102
2022-12-25,1,0.9253,0.8741,0.7357,0.1102
2022-12-26,0,0.9253,0.8742,0.7357,0.1103
2022-12-27,0,0.9254,0.8743,0.7358,0.1103
2022-12-28,0,0.9254,0.8744,0.736,0.1104
2022-12-29,0,0.9254,0.8745,0.7361,0.1105
2022-12-30,1,0.9255,0.8746,0.7361,0.1105
2022-12-31,1,0.9255,0.8746,0.7362,0.1106
2023-01-01,1,0.9255,0.8747,0.7363,0.1106
2023-01-02,1,0.9256,0.8748,0.7363,0.1107
2023-01-03,0,0.9256,0.8749,0.7364,0.1107
2023-01-04,0,0.9257,0.875,0.7365,0.1108
2023-01-05,0,0.9257,0.8751,0.7366,0.1109
2023-01-06,0,0.9258,0.8753,0.7367,0.111
2023-01-07,0,0.9258,0.8755,0.7367,0.1111
2023-01-08,1,0.9259,0.8755,0.7368,0.1111
2023-01-09,0,0.9259,0.8755,0.7368,0.1112
2023-01-10,0,0.9259,0.8757,0.7369,0.1112
2023-01-11,0,0.926,0.8758,0.7369,0.1113
2023-01-12,0,0.9261,0.876,0.737,0.1114
2023-01-13,0,0.9262,0.8763,0.7372,0.1117
2023-01-14,1,0.9262,0.8764,0.7372,0.1118
2023-01-15,1,0.9262,0.8764,0.7372,0.1118
2023-01-16,0,0.9262,0.8765,0.7373,0.1119
2023-01-17,0,0.9263,0.8766,0.7373,0.112
2023-01-18,0,0.9264,0.8768,0.7374,0.112
2023-01-19,1,0.9264,0.8769,0.7375,0.1122
2023-01-20,0,0.9265,0.8771,0.7376,0.1123
2023-01-21,1,0.9265,0.8771,0.7376,0.1123
2023-01-22,1,0.9265,0.8771,0.7376,0.1123
2023-01-23,1,0.9265,0.8771,0.7376,0.1123
2023-01-24,1,0.9265,0.8771,0.7376,0.1123
2023-01-25,1,0.9265,0.8771,0.7376,0.1123
2023-01-26,1,0.9265,0.8771,0.7376,0.1123
2023-01-27,1,0.9265,0.8771,0.7376,0.1123
2023-01-28,1,0.9265,0.8771,0.7376,0.1123
2023-01-29,1,0.9265,0.8771,0.7376,0.1123
2023-01-30,0,0.9265,0.8771,0.7376,0.1123
2023-01-31,0,0.9265,0.8772,0.7377,0.1123
2023-02-01,0,0.9265,0.8773,0.7377,0.1124
2023-02-02,0,0.9266,0.8773,0.7378,0.1124
2023-02-03,0,0.9266,0.8774,0.7378,0.1124
2023-02-04,0,0.9266,0.8775,0.7379,0.1125
2023-02-05,1,0.9266,0.8775,0.7379,0.1125
2023-02-06,0,0.9266,0.8776,0.7379,0.1125
2023-02-07,0,0.9267,0.8777,0.738,0.1126
2023-02-08,0,0.9267,0.8778,0.738,0.1126
2023-02-09,0,0.9267,0.8778,0.7381,0.1126
2023-02-10,0,0.9268,0.8781,0.7382,0.1128
2023-02-11,1,0.9268,0.8781,0.7382,0.1128
2023-02-12,1,0.9268,0.8781,0.7382,0.1128
2023-02-13,0,0.9268,0.8781,0.7382,0.1128
2023-02-14,0,0.9268,0.8782,0.7383,0.1128
2023-02-15,1,0.9268,0.8782,0.7383,0.1129
2023-02-16,0,0.9269,0.8783,0.7384,0.1129
2023-02-17,0,0.9269,0.8785,0.7385,0.113
2023-02-18,1,0.9269,0.8785,0.7385,0.113
2023-02-19,1,0.9269,0.8785,0.7385,0.113
2023-02-20,0,0.9269,0.8785,0.7385,0.1131
2023-02-21,0,0.927,0.8786,0.7386,0.1131
2023-02-22,0,0.927,0.8787,0.7386,0.1131
2023-02-23,0,0.927,0.8787,0.7386,0.1132
2023-02-24,0,0.9271,0.879,0.7389,0.1134
2023-02-25,1,0.9271,0.879,0.7389,0.1134
2023-02-26,1,0.9271,0.879,0.7389,0.1134
2023-02-27,1,0.9271,0.879,0.7389,0.1134
2023-02-28,1,0.9271,0.879,0.7389,0.1134
2023-03-01,1,0.9271,0.879,0.7389,0.1134
2023-03-02,0,0.9271,0.879,0.7389,0.1134
2023-03-03,0,0.9272,0.8792,0.739,0.1135
2023-03-04,1,0.9272,0.8792,0.739,0.1135
2023-03-05,1,0.9272,0.8792,0.739,0.1135
2023-03-06,0,0.9272,0.8792,0.739,0.1135
2023-03-07,0,0.9272,0.8792,0.739,0.1136
2023-03-08,0,0.9272,0.8793,0.7391,0.1136
2023-03-09,,,,,
2023-03-10,,,,,
