date,entry,exit,total,entry_avg,exit_avg,total_avg
2020-01-01,74280,81440,155720,10611.4286,11634.2857,22245.7143
2020-01-02,70216,77575,147791,20642.2857,22716.4286,43358.7143
2020-01-03,67140,76508,143648,30233.7143,33646.1429,63879.8571
2020-01-04,67426,73056,140482,39866.0,44082.7143,83948.7143
2020-01-05,73388,82128,155516,50350.0,55815.2857,106165.2857
2020-01-06,64143,70905,135048,59513.2857,65944.5714,125457.8571
2020-01-07,62543,60599,123142,68448.0,74601.5714,143049.5714
2020-01-08,66095,53168,119263,67278.7143,70562.7143,137841.4286
2020-01-09,78991,51556,130547,68532.2857,66845.7143,135378.0
2020-01-10,91679,61510,153189,72037.8571,64703.1429,136741.0
2020-01-11,68865,79201,148066,72243.4286,65581.0,137824.4286
2020-01-12,58395,95803,154198,70101.5714,67534.5714,137636.1429
2020-01-13,52437,87293,139730,68429.2857,69875.7143,138305.0
2020-01-14,55641,83565,139206,67443.2857,73156.5714,140599.8571
2020-01-15,64887,82792,147679,67270.7143,77388.5714,144659.2857
2020-01-16,69449,79551,149000,65907.5714,81387.8571,147295.4286
2020-01-17,79091,86520,165611,64109.2857,84960.7143,149070.0
2020-01-18,80578,86665,167243,65782.5714,86027.0,151809.5714
2020-01-19,80254,86096,166350,68905.2857,84640.2857,153545.5714
2020-01-20,77561,78927,156488,72494.4286,83445.1429,155939.5714
2020-01-21,80794,88561,169355,76087.7143,84158.8571,160246.5714
2020-01-22,88033,91638,179671,79394.2857,85422.5714,164816.8571
2020-01-23,87221,91885,179106,81933.1429,87184.5714,169117.7143
2020-01-24,75875,79559,155434,81473.7143,86190.1429,167663.8571
2020-01-25,62596,74858,137454,78904.8571,84503.4286,163408.2857
2020-01-26,69022,78498,147520,77300.2857,83418.0,160718.2857
2020-01-27,75533,80962,156495,77010.5714,83708.7143,160719.2857
2020-01-28,82415,81280,163695,77242.1429,82668.5714,159910.7143
2020-01-29,88489,82905,171394,77307.2857,81421.0,158728.2857
2020-01-30,73869,73724,147593,75399.8571,78826.5714,154226.4286
2020-01-31,74601,75117,149718,75217.8571,78192.0,153409.8571
2020-02-01,72159,67114,139273,76584.0,77085.7143,153669.7143
2020-02-02,78055,70556,148611,77874.4286,75951.1429,153825.5714
2020-02-03,68430,60373,128803,76859.7143,73009.8571,149869.5714
2020-02-04,66117,57593,123710,74531.4286,69626.0,144157.4286
2020-02-05,61370,52547,113917,70657.2857,65289.1429,135946.4286
2020-02-06,57931,46233,104164,68380.4286,61361.8571,129742.2857
2020-02-07,54738,44923,99661,65542.8571,57048.4286,122591.2857
